Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs
2026-01-01 18:43:39,15.994,neoburnz,57.143,18.669,6,16,1,3.406,38,60,58.333,53.846,13,20,64,112,4,1,0,77.273,44.118,39.286,44,2,3,34,10,3,2,3.273
2026-01-01 18:43:39,13.769,legrandort,40,10.945,1,8,0,3.781,17,55,37.037,33.333,6,9,32,80,2,3,0,92.308,14.815,32.5,26,4,0,24,2,1,0,3.269
2026-01-01 18:43:39,9.65,Tsui,37.5,10.743,2,8,0,3.767,15,40,48.148,27.273,9,6,30,80,2,3,0,52.941,33.333,21.25,17,3,2,9,8,3,0,2.941
2026-01-01 18:43:39,11.669,Vigard,35.897,7.607,2,18,0,4.595,15,34.483,26.829,44.681,8,6,42,117,2,3,0,76.19,13.333,35.897,42,4,4,32,10,3,1,4.095
2026-01-01 18:43:39,9.125,onai,35.897,8.174,3,18,0,4.452,16,27.586,36.585,40.426,6,9,42,117,2,3,0,80.952,26.042,17.949,21,1,2,17,4,1,2,4.381
2026-01-01 18:43:39,10,lezzado,34.783,11.642,7,14,0,3.656,19,34.783,37.5,32.432,9,5,32,92,3,2,0,75,13.333,34.783,32,4,5,24,8,1,0,2.594
2026-01-01 18:43:39,7.459,Spitzell,33.696,10.054,5,14,0,3.935,16,30.435,34.375,35.135,8,5,31,92,3,2,0,74.286,8.772,38.043,35,4,3,26,9,1,0,3
2026-01-01 18:43:39,13.215,icefeed2,33.333,6.961,2,18,1,4.59,14,44.828,24.39,34.043,5,5,39,117,2,3,0,68.293,14.474,35.043,41,2,1,28,13,5,1,3.78
2026-01-01 18:43:39,10.879,Spartric,32.323,10.837,4,21,0,3.25,19,64.706,31.111,18.919,4,13,32,99,1,4,0,71.795,6.667,39.394,39,5,4,28,11,3,1,2.641
2026-01-01 18:43:39,10,Shiku,30,6.857,2,8,0,4.292,8,60,29.63,12.121,6,0,24,80,2,3,0,61.29,10.204,38.75,31,2,4,19,12,0,0,3.323
2026-01-01 18:43:39,3.82,2skr,29.915,6.589,2,18,0,4.6,14,31.034,17.073,40.426,6,6,35,117,2,3,0,71.875,14.118,27.35,32,13,3,23,9,0,0,3.156
2026-01-01 18:43:39,9.379,MahiruShiina,29.63,9.096,4,19,0,3.656,15,25,33.333,28.889,6,8,32,108,3,2,0,51.064,13.115,43.519,47,6,12,24,23,4,1,2.149
2026-01-01 18:43:39,3.768,Catge,29.464,5.821,2,16,0,4.606,8,32,31.25,25.641,7,0,33,112,4,1,0,81.25,8.75,28.571,32,2,1,26,6,2,0,3.906
2026-01-01 18:43:39,11.943,IDeja,29.464,6.05,0,16,2,4.242,13,28,33.333,25.641,3,5,33,112,4,1,0,63.889,13.158,32.143,36,2,3,23,13,2,0,3.194
2026-01-01 18:43:39,7.912,ss_r_white_pony,28.205,11.025,7,13,0,3.455,14,15,21.429,43.333,9,3,22,78,3,1,0,73.684,13.559,24.359,19,6,4,14,5,1,0,1.632
2026-01-01 18:43:39,7.205,Dav1d1,25,9.289,5,19,0,3.222,18,20.833,28.205,24.444,6,10,27,108,3,2,0,75,3.947,29.63,32,8,3,24,8,3,0,2.656
2026-01-01 18:43:39,5.987,zokie,24.107,4.366,0,16,1,4.741,7,44,22.917,12.821,4,3,27,112,4,1,0,57.143,13.095,25,28,0,2,16,12,5,0,3.714
2026-01-01 18:43:39,7.677,chommy,23.148,8.473,6,19,0,3.32,16,12.5,20.513,31.111,7,8,25,108,3,2,0,90,7.955,18.519,20,6,0,18,2,0,0,2.65
2026-01-01 18:43:39,4.311,Skychael,22.5,5.836,1,8,0,4.167,8,25,25.926,18.182,5,1,18,80,2,3,0,68.421,8.197,23.75,19,3,0,13,6,2,0,3.632
2026-01-01 18:43:39,13.593,Porte,22.222,6.524,3,19,0,3.833,12,16.667,23.077,24.444,5,5,24,108,3,2,0,76.19,9.195,19.444,21,3,1,16,5,0,0,3.143
2026-01-01 18:43:39,16.617,Lakumix,21.212,9.361,6,21,0,2.619,16,23.529,13.333,29.73,7,7,21,99,1,4,0,66.667,8.974,21.212,21,6,4,14,7,0,2,2.095
2026-01-01 18:43:39,5.905,AnotherWish,18.182,6.992,4,21,0,3,12,11.765,20,18.919,5,4,18,99,1,4,0,48.387,4.412,31.313,31,3,7,15,16,2,0,2.032
2026-01-01 18:43:39,10.41,Maki04,14.286,3.666,0,1,0,4.5,1,0,25,14.286,0,1,2,14,0,1,0,20,11.111,35.714,5,1,0,1,4,2,0,1.6
2026-01-01 18:43:39,10,MisheruDesu,14.13,3.214,1,14,4,4.462,6,17.391,15.625,10.811,1,2,13,92,3,2,0,57.143,1.408,22.826,21,1,1,12,9,4,0,3.143
2026-01-01 18:43:39,4.405,xeyz,12.121,2.267,0,21,0,4.333,3,11.765,15.556,8.108,0,1,12,99,1,4,0,19.355,0,62.626,62,2,10,12,50,13,0,2.129
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-14 14:47:02,17.183,neoburnz,48.78,13.383,4,12,0,4.017,28,50,53.333,42.553,8,14,60,123,3,2,0,73.81,35.802,34.146,42,2,4,31,11,2,3,3.738
2026-01-14 14:47:02,10,civiltwlight,46.392,15.105,8,12,0,3.644,22,72.222,46.875,36.17,9,11,45,97,1,4,0,62.5,41.096,24.742,24,10,3,15,9,3,1,1.75
2026-01-14 14:47:02,9.582,AnnaYanami,46.341,12.477,5,12,0,4.14,24,50,48.333,42.553,12,5,57,123,3,2,0,86.667,33.333,24.39,30,4,3,26,4,1,1,3.467
2026-01-14 14:47:02,15.305,ShiinaMahiru,45.263,11.102,2,11,0,4.326,19,23.077,47.059,50,8,5,43,95,4,1,0,83.333,36.364,18.947,18,4,2,15,3,1,0,3.778
2026-01-14 14:47:02,9.035,Tsui,44.211,14.252,6,11,0,3.857,22,61.538,41.176,41.667,13,6,42,95,4,1,0,58.333,39.437,25.263,24,7,3,14,10,2,3,2.417
2026-01-14 14:47:02,15.426,Lika,43.81,15.942,10,15,0,3.587,26,47.059,40.541,45.098,16,6,46,105,4,1,0,83.871,27.027,29.524,31,11,2,26,5,1,0,2.71
2026-01-14 14:47:02,8.223,sssthnoob,42.276,10.41,4,9,0,4.154,17,51.852,34.884,43.396,5,7,52,123,2,2,1,81.818,10.294,44.715,55,6,2,45,10,3,0,3.8
2026-01-14 14:47:02,6.191,PotassiumF,37.398,9.447,4,12,0,4.239,19,25,40,38.298,8,2,46,123,3,2,0,72,13.699,40.65,50,4,3,36,14,0,0,3.48
2026-01-14 14:47:02,8.85,JuliAless64,36.842,9.952,3,11,0,4.286,15,30.769,32.353,41.667,9,6,35,95,4,1,0,63.415,16.667,43.158,41,6,1,26,15,5,0,3.073
2026-01-14 14:47:02,13.217,IDeja,35.772,10.022,3,9,1,3.841,19,40.741,32.558,35.849,3,10,44,123,2,2,1,78.261,10.39,37.398,46,9,3,36,10,1,0,3.587
2026-01-14 14:47:02,13.935,tapumomo,35.772,9.896,3,9,0,3.977,18,48.148,41.86,24.528,6,9,44,123,2,2,1,75.676,18.605,30.081,37,7,1,28,9,1,0,3.324
