Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
1,2026-03-26 11:37:47,11.519,atsui,31.776,10.926,9,15,0,3.147,19,13.636,25,54.545,12,6,34,107,2,4,0,80,23.913,14.019,15,4,0,12,3,1,3,2.267,22
4,2026-03-27 16:16:34,19.258,watashiii,53.982,17.502,7,9,1,3.671,37,71.429,60.784,50,14,22,70,136,11,5,0,72.917,43.939,55.752,70,15,11,42,29,7,2,3.143,30
12,2026-03-27 16:16:34,12.425,KaoriMaeda,46.667,17.246,10,14,1,4.0,34,60.87,52.632,52.381,17,9,56,120,18,13,0,76.19,35.294,40.449,44,9,7,32,16,6,3,3.176,25
20,2026-02-07 07:17:50,13.241,kar72,60.465,15.546,6,10,0,4.0,29,65.217,67.857,50,10,11,78,129,1,5,0,79.167,49.383,37.209,48,5,3,38,10,0,0,3.292,40
27,2026-03-29 12:20:12,12.878,Deafness,58.394,19.707,11,14,0,3.9,35,61.538,73.077,47.5,22,15,80,137,9,3,0,64.948,42.5,70.803,97,9,13,63,34,5,1,2.969,17
28,2026-02-17 17:45:45,18.403,FORTNAYT,60.0,19.937,13,16,0,3.449,47,75,70.588,40.909,20,21,83,145,8,3,0,92.683,48.113,35.652,41,8,2,38,7,1,5,3.049,51
33,2026-03-27 16:16:34,16.171,Tsui,58.333,18.566,8,9,1,3.857,40,80.645,61.364,61.111,20,22,71,138,48,34,0,91.667,55,33.333,46,11,3,32,14,4,4,3.417,55
36,2026-03-29 12:20:12,7.492,anonimus_opinion,34.653,6.52,0,14,0,4.6,12,66.667,37.5,18.605,4,2,35,101,1,5,0,47.826,23.636,45.545,46,5,6,22,24,7,0,3.174,13
44,2026-03-31 01:25:22,15.808,Nicole,38.983,10.536,2,8,2,4.476,22,64.706,37.037,41.667,8,15,46,118,16,5,0,71.429,28.916,39.13,45,5,3,27,18,4,1,4.214,24
51,2026-01-28 16:33:45,10.0,Chata,42.969,11.482,6,11,0,3.873,28,25.714,47.5,50.943,11,10,55,128,2,4,0,78.571,25.581,32.812,42,6,2,33,9,2,0,3.381,22
52,2026-03-22 15:41:48,16.186,Thaleko,58.065,18.084,6,10,0,3.426,28,52.941,65.854,51.429,11,13,54,93,2,3,0,80.645,46.774,33.333,31,3,3,25,6,1,1,2.903,29
58,2026-01-14 14:47:02,15.426,Lika,43.81,15.942,10,15,0,3.587,26,47.059,40.541,45.098,16,6,46,105,4,1,0,83.871,27.027,29.524,31,11,2,26,5,1,0,2.71,20
59,2026-03-27 16:16:34,20.276,neoburnz,57.463,18.669,6,8,1,4.017,38,66.667,65.116,64.912,13,20,77,134,26,21,0,87.179,44.118,45.082,55,10,4,42,16,4,3,3.738,35
67,2026-03-29 12:20:12,10.7,DKing20,38.272,9.999,2,8,0,4.341,17,41.667,48,31.481,7,7,41,130,7,9,0,82.143,19.608,34.568,31,2,1,25,6,2,1,3.929,16
70,2026-01-24 03:16:34,10.572,MahiruShiina,30.435,9.096,4,20,0,4.5,16,28.571,33.333,32.787,11,8,42,138,11,6,0,55.172,6.25,50,69,8,12,35,34,9,1,3.174,8
77,2026-01-24 02:07:38,11.923,neptune,48.031,16.223,4,8,1,3.541,36,44.828,36.842,65.854,8,17,61,127,4,2,0,82.609,28.395,36.22,46,10,1,38,8,3,0,3.109,23
79,2026-01-14 14:47:02,8.85,JuliAless64,36.842,9.952,3,11,0,4.286,15,30.769,32.353,41.667,9,6,35,95,4,1,0,63.415,16.667,43.158,41,6,1,26,15,5,0,3.073,9
80,2026-03-20 14:15:20,12.134,moosepi,36.22,10.153,4,23,0,4.043,22,33.333,34.426,41.026,8,9,46,127,3,3,0,53.704,23.288,42.52,54,10,6,29,25,8,0,2.704,17
82,2026-03-27 16:16:34,17.557,ShiinaMahiru,59.292,20.405,9,12,1,4.326,38,40.909,57.143,71.429,17,12,67,113,10,5,0,88.571,46.154,30.973,35,7,2,31,6,2,3,3.778,36
88,2026-01-25 15:18:28,15.649,Emdiel,41.176,12.19,2,14,2,3.857,20,43.478,36.667,42.857,8,12,42,121,6,5,0,71.429,7.692,48.039,56,6,6,35,25,3,0,3.214,7
97,2026-03-26 11:37:47,9.198,chaabdu92,33.333,9.242,5,25,0,3.545,23,50,22.222,35.417,10,10,44,132,5,1,0,69.231,18.28,29.545,39,6,5,27,12,3,2,2.897,17
102,2026-03-22 15:41:48,10.21,MoltenAshes,34.568,7.52,0,8,0,4.179,11,29.412,48,28.205,3,5,28,81,2,3,0,65.625,14.286,39.506,32,2,4,21,11,2,0,3.438,7
112,2026-01-24 03:16:34,12.792,Legitted,35.593,9.307,5,10,0,4.167,14,52,36,25.581,8,7,42,118,3,3,0,82.609,24.211,19.492,23,3,2,19,4,0,1,3.261,23
113,2026-03-27 16:16:34,9.881,Maki04,45.217,11.985,6,9,0,4.279,24,66.667,43.548,48.936,10,12,61,143,10,6,0,68.75,29.87,51.485,66,8,10,38,28,6,1,3.604,23
114,2026-03-22 15:41:48,8.987,Mayottatoki,40.187,9.612,1,14,0,4.023,16,41.667,38.636,41.026,7,7,43,107,2,3,0,70,22.388,37.383,40,2,4,28,12,2,0,2.9,15
119,2026-03-27 16:16:34,14.542,Fumiii,41.379,10.012,3,15,0,4.139,16,35.294,51.515,35.135,5,8,36,99,2,7,1,71.429,7.273,44.444,44,6,7,25,20,5,0,3.2,11
121,2026-03-29 12:20:12,16.364,Janoxx,30.682,12.845,10,9,2,3.778,9,50,8.163,8.333,11,8,27,107,13,20,0,88.235,9.474,9.722,18,10,3,15,3,1,0,2.5,12
125,2026-03-31 01:25:22,10.0,paperyoshi10,36.036,8.257,1,1,0,3.925,14,95.455,19.231,24.324,4,7,40,111,4,2,0,90.323,15,27.928,31,2,0,28,3,2,0,3.452,12
128,2026-02-07 07:17:50,13.659,apurplenose,60.417,21.143,8,6,0,3.814,36,59.259,69.697,60.526,13,20,70,145,13,4,0,89.362,34.831,48.958,59,8,2,48,11,3,1,3.596,31
133,2026-03-22 15:41:48,7.542,ChrisLefko,32.632,7.897,2,9,1,4.794,9,68.421,26.087,25.714,4,8,34,144,9,12,0,52.273,22.807,42.718,53,5,8,23,33,7,0,3.524,14
134,2026-02-07 07:17:50,14.467,Jakemonkey,44.604,12.465,4,18,0,3.806,27,58.065,48.148,33.333,9,12,62,139,4,2,0,88.571,29.808,25.18,35,9,3,31,4,0,0,3.229,31
144,2026-03-31 01:25:22,10.365,liljakatsuragi,35.385,9.947,3,6,1,4.065,21,47.059,27.778,40.741,11,11,46,130,7,5,0,66.667,20,40.769,53,9,5,33,20,4,1,3.377,17
146,2026-01-22 02:29:21,14.206,tapumomo,35.772,11.94,7,9,0,3.977,22,48.148,41.86,35.556,15,9,44,123,7,3,1,79.412,18.605,30.081,37,9,4,28,9,1,2,3.324,16
148,2026-03-29 12:20:12,10.972,uy5gf,28.571,9.585,7,28,0,4.692,16,22.727,32.759,29.091,10,7,39,144,8,10,0,55,7.143,41.667,60,14,11,33,27,7,0,3.067,11
149,2026-03-27 16:16:34,10.0,Zozo,38.542,12.83,3,15,0,3.27,23,25,29.73,51.163,5,18,37,96,2,3,0,83.333,18.182,31.25,30,7,2,25,5,1,0,3.0,12
150,2026-03-22 15:41:48,9.744,Bommie,36.364,9.025,3,7,0,4.125,18,30,25,55.263,8,10,38,115,4,6,0,63.043,8.772,52.273,58,5,3,33,25,9,0,3.543,5
155,2026-02-17 17:45:45,10.0,Unborned,18.852,3.55,1,9,0,4.522,4,33.333,9.804,22,2,0,23,122,4,1,0,42.857,6.25,34.426,42,6,3,18,24,6,0,3.262,5
159,2026-03-27 16:16:34,13.769,legrandort,40.0,10.945,4,9,0,4.286,17,55,37.838,51.351,10,9,39,125,19,30,0,93.103,8.989,32.5,37,10,2,32,8,3,1,4.138,17
160,2026-03-27 16:16:34,4.311,Skychael,29.508,8.946,6,9,4,4.444,9,71.429,36.842,40,10,8,36,134,13,23,0,73.333,8.197,28.358,38,10,6,22,18,5,1,3.632,14
164,2026-03-29 12:20:12,4.16,IAmAsianNoob,28.947,7.037,3,8,1,4.394,14,33.333,29.167,38.095,9,5,34,121,11,6,0,84.848,7.143,28.947,33,6,1,28,7,1,0,3.667,12
169,2026-02-22 14:11:03,5.726,yashadox,17.582,5.593,2,12,1,3.688,7,37.5,19.048,6.061,3,4,16,91,1,4,0,51.724,1.613,31.868,29,8,4,15,14,2,0,2.966,1
170,2026-03-27 16:16:34,8.358,hubcioskubcio,18.269,4.367,2,9,1,4.684,8,26.316,23.333,9.302,4,3,21,134,7,9,0,73.913,8.333,19.231,23,6,4,17,8,5,0,3.826,7
171,2026-03-31 01:25:22,2.824,JustAWeirdo,18.812,4.525,1,7,0,3.895,8,22.222,13.889,21.277,4,2,19,101,2,4,0,64.706,9.524,16.832,17,2,1,11,6,1,0,3.235,8
172,2026-03-26 11:37:47,6.383,oolli,32.353,9.171,4,23,1,4.167,21,30.769,42.105,27.083,11,7,44,136,10,2,0,66.667,7.595,45.865,61,8,8,39,22,5,1,3.456,6
176,2026-03-29 12:20:12,12.282,Spitzell,45.545,12.246,8,9,1,4.417,24,66.667,52,44.643,12,9,50,138,32,29,0,85.185,8.772,45.545,51,9,4,39,14,6,1,3.83,20
201,2026-02-22 14:11:03,17.131,rorf,36.29,10.662,5,20,1,4.194,21,52,40.741,31.373,11,15,45,124,10,7,0,83.871,18.841,30.645,38,9,5,31,8,4,0,3.053,14
205,2026-02-20 09:11:44,8.491,sssthnoob,42.276,15.363,9,9,0,4.154,29,51.852,41.463,47.368,12,15,52,123,8,7,1,84.615,5.797,44.715,55,6,2,45,10,4,0,3.8,11
221,2026-01-28 16:33:45,19.887,Neumann,56.028,18.035,10,8,1,4.034,35,66.667,51.667,56.14,14,17,79,141,7,10,0,88.525,31.25,43.262,61,11,3,54,8,4,1,3.676,28
223,2026-01-24 03:16:34,10.081,VuhrCulls,35.135,10.014,6,8,0,3.821,18,42.857,33.333,42,9,9,39,123,3,9,0,88.235,6.944,35.135,39,6,2,34,5,2,1,3.5,5
225,2026-03-27 16:16:34,5.37,MythAndroid,25.234,5.761,2,25,0,4.895,9,47.059,22.222,24.39,5,4,31,132,16,10,0,57.895,7.246,52.688,62,9,12,29,36,6,1,3.368,5
238,2026-01-28 16:33:45,13.782,Progenitor,49.593,17.141,10,18,1,4.361,30,58.065,63.889,41.667,14,12,62,126,11,6,0,88.095,29.762,43.089,53,9,4,42,11,4,1,3.547,25
241,2026-03-22 15:41:48,15.127,yasashiikumo,38.462,11.558,4,8,1,4.6,20,43.478,53.191,9.524,8,9,43,125,18,19,0,71.875,22.472,41.346,43,6,4,30,13,4,2,4.07,20
247,2026-03-26 11:37:47,9.08,Shadow,44.348,12.382,4,9,1,4.118,25,41.176,43.396,46.809,9,13,51,115,13,14,0,82.759,20,39.13,45,9,4,37,8,3,1,3.833,14
249,2026-01-25 15:18:28,10.0,dio,23.762,6.975,0,11,0,3.583,13,47.368,23.404,11.429,6,4,24,101,2,3,0,58.824,5.97,33.663,34,2,2,20,14,2,0,3.235,4
259,2026-03-29 12:20:12,14.434,Patoche49,39.583,11.887,5,9,2,4.698,24,61.111,45.455,45.614,10,13,53,134,30,27,0,92.5,9.877,37.5,40,5,3,37,7,5,1,4.575,21
260,2026-01-01 18:43:39,5.905,AnotherWish,18.182,6.992,4,21,0,3.0,12,11.765,20,18.919,5,4,18,99,1,4,0,48.387,4.412,31.313,31,3,7,15,16,2,0,2.032,3
268,2026-02-20 09:11:44,12.7,civiltwlight,52.518,16.348,9,18,1,4.156,35,83.871,58.333,40.625,15,16,73,145,16,12,0,83.333,48.305,24.742,31,10,7,19,12,3,2,3.0,57
269,2026-03-27 16:16:34,13.215,icefeed2,36.567,8.155,3,9,2,4.618,9,52.632,38,37.5,7,7,49,134,18,35,0,95.652,7.042,40.299,54,5,6,37,17,5,1,4.348,12
274,2026-03-20 14:15:20,16.426,Mami,36.806,10.717,7,28,0,4.057,21,31.034,39.437,36.364,9,11,53,144,3,3,0,67.742,28.319,21.528,31,7,5,21,10,3,2,3.032,32
277,2026-01-28 16:33:45,12.605,chemist,32.593,8.104,6,9,0,4.182,16,44.444,28.205,28.333,8,16,44,135,5,6,0,90.909,21.239,16.296,22,8,1,20,2,1,1,3.0,24
285,2026-01-28 16:33:45,6.997,miiarad,40.0,13.742,6,16,1,4.592,25,35.484,47.222,43.59,8,18,49,123,6,6,0,80.769,26.582,28.455,35,9,2,27,8,3,0,3.771,22
286,2026-01-21 19:41:45,16.617,Lakumix,34.579,10.569,6,21,1,3.568,18,52.632,25.49,37.838,12,11,37,107,4,11,1,83.333,8.974,28.972,31,8,4,24,7,2,2,2.645,13
289,2026-01-24 03:16:34,8.755,Provenance,36.066,11.938,6,10,0,3.545,24,38.095,39.13,32.727,10,8,44,122,4,2,0,71.429,21.839,28.689,35,11,4,25,10,3,0,2.486,19
291,2026-03-22 15:41:48,10.457,ss_r_white_pony,36.585,11.025,7,9,0,4.0,22,33.333,41.176,43.333,9,12,38,116,12,7,0,90,19.355,26.724,31,6,4,26,5,1,0,3.0,12
307,2026-03-31 01:25:22,11.63,kaededayo,46.847,13.623,4,11,0,4.159,25,63.636,40.385,45.946,8,13,52,117,9,3,0,92.593,22.857,36.937,41,9,0,36,5,2,0,3.444,19
311,2026-03-29 12:20:12,9.35,beautiful,38.462,9.133,3,14,0,4.14,20,45.833,44.231,29.63,9,6,50,130,4,2,0,83.333,31.25,13.846,18,2,1,15,3,0,2,3.444,35
322,2026-03-27 16:16:34,10.055,Catge,39.669,9.576,5,9,1,5.065,9,57.895,40.351,41.176,8,13,56,143,56,30,1,93.75,8.75,35.664,51,7,7,38,13,3,1,4.516,18
326,2026-03-11 15:46:26,14.134,pomo,38.318,11.638,7,18,0,3.595,20,38.71,36.585,46.341,10,9,41,126,5,5,0,67.308,9.756,48.598,52,9,8,35,17,3,0,3.023,8
330,2026-01-22 02:29:21,10.0,_nadeshiko,27.586,9.909,6,17,1,3.438,18,42.857,29.825,20,10,7,32,116,5,1,0,69.565,17.204,19.828,23,8,3,16,7,1,1,2.174,16
334,2026-03-31 01:25:22,4.749,2skr,29.915,13.402,10,9,2,4.6,7,9.524,30.303,40.426,12,7,39,141,31,30,0,81.481,9.091,27.778,35,13,5,26,10,3,1,3.429,13
335,2026-03-31 01:25:22,4.405,xeyz,18.182,4.366,1,7,1,5.769,9,32,8.511,9.677,3,5,20,126,14,35,0,24.658,6.061,78.947,89,9,12,18,77,17,0,3.186,2
344,2026-02-07 07:17:50,10.458,Naizuri,36.607,7.559,2,10,0,4.488,11,42.857,31.111,39.13,3,5,41,112,2,4,0,64.516,25.926,27.679,31,3,1,20,11,1,1,3.258,21
348,2026-03-31 01:25:22,11.606,Heleos,38.614,11.86,5,7,2,4.111,24,55.556,41.667,30.357,10,6,45,145,9,9,0,85.714,18.182,34.653,35,8,2,30,10,2,0,3.371,20
349,2026-03-31 01:25:22,16.426,Porte,45.545,15.35,7,9,1,4.05,30,61.111,47.222,40,13,12,46,136,29,26,0,90.909,9.195,32.673,34,14,5,30,11,2,1,3.143,17
356,2026-03-20 14:15:20,11.409,Isekaijoucho,32.54,10.132,2,23,1,4.73,9,31.579,34.043,35.417,6,10,41,145,12,15,0,57.447,9.783,45.455,53,4,7,28,28,7,0,3.792,14
357,2026-03-31 01:25:22,11.927,chommy,35.0,11.813,8,9,1,4.591,9,7.143,8.889,47.619,14,8,43,134,59,46,0,96.296,9.821,25,29,11,2,26,5,2,3,4.316,21
358,2026-02-22 14:11:03,12.675,mangoss,45.6,13.377,6,8,1,4.31,30,60.714,41.818,48.837,13,15,58,138,17,16,0,83.019,24.59,44.545,53,9,6,44,16,4,2,3.585,20
367,2026-01-25 15:18:28,6.513,PotassiumF,37.398,9.447,4,14,0,4.242,19,30.435,40,38.776,8,2,46,123,5,5,0,72,13.699,40.65,50,6,4,36,14,3,0,3.48,10
368,2026-03-26 11:37:47,3.542,arpia97,23.364,6.262,0,15,0,3.6,13,22.727,23.077,24.242,3,7,25,107,2,4,0,43.182,9.524,41.121,44,1,7,19,25,7,0,2.205,6
373,2026-02-07 07:17:50,10.0,harges,41.071,10.301,4,10,0,4.109,16,52.381,42.222,34.783,6,5,46,112,2,4,0,86.667,24.39,26.786,30,5,0,26,4,0,2,4.0,20
376,2026-03-27 16:16:34,9.363,qwecocacola,38.835,10.017,4,9,1,4.568,9,51.724,48.78,39.216,11,10,46,125,21,21,0,96.154,23.077,31.068,37,4,3,32,6,3,2,4.462,20
378,2026-02-20 09:11:44,8.815,erzakuran,6.186,1.965,1,14,2,3.5,3,4.348,6.25,8.511,1,1,6,97,1,9,0,44.444,2.326,11.34,11,4,2,4,7,2,0,2.909,2
379,2026-03-27 16:16:34,10.596,CipherKai,59.69,14.976,4,8,0,4.359,31,69.565,60.714,54,8,20,77,129,10,12,0,82.857,32.203,54.264,70,5,4,58,17,5,0,3.721,19
382,2026-02-22 14:11:03,10.0,Shiku,30.0,6.857,2,8,0,4.333,8,60,33.333,12.5,6,4,24,80,3,7,0,61.29,12.195,43.056,31,3,4,19,15,6,0,3.323,5
394,2026-03-29 12:20:12,10.727,Komari,43.846,11.13,4,14,0,4.0,26,35.294,46.154,46.296,10,8,57,130,5,6,0,76.19,28.409,33.333,42,2,2,32,10,4,1,3.929,25
395,2026-01-24 03:16:34,6.792,LordGrond,24.138,7.46,4,16,2,3.686,18,35.294,15.873,37.5,9,5,35,145,5,7,0,77.778,8.642,24.828,36,7,4,28,10,4,0,3.194,7
399,2026-03-27 16:16:34,10.193,ElJuanchi,29.808,9.968,7,9,3,4.7,9,22.222,40,29.545,8,10,33,143,23,26,0,89.474,9.474,30.769,33,7,2,25,15,4,0,4.1,15
401,2026-03-29 12:20:12,10.879,Spartric,32.323,10.837,6,9,2,4.593,9,64.706,35.185,9.756,10,13,44,145,25,36,0,71.795,9.091,45.545,62,10,7,37,28,10,1,3.758,11
403,2026-03-31 01:25:22,11.464,AnnaYanami,49.107,14.159,8,8,0,4.235,25,77.273,57.576,52.174,12,13,57,123,16,18,0,92.857,33.721,30.631,34,7,3,31,4,2,1,3.618,31
405,2026-03-26 11:37:47,5.648,anicomi,27.2,7.093,2,7,3,4.524,9,39.286,26.786,23.256,5,7,34,128,17,26,1,66.667,9.836,35.593,44,6,5,29,20,5,0,3.815,7
410,2026-02-07 07:17:50,8.122,FoopyPoopy,14.729,3.35,1,13,1,4.842,7,17.391,16.071,12.821,2,2,19,129,1,11,0,58.824,4.545,24.806,32,7,1,18,14,2,0,4.0,4
411,2026-03-31 01:25:22,17.345,FayeurS,76.984,27.334,15,8,0,3.667,64,96,78,70.213,25,30,97,126,16,5,0,98.077,68.182,49.565,57,7,5,51,8,1,5,3.458,46
413,2026-03-29 12:20:12,8.431,zokie,40.187,11.006,5,16,1,4.741,7,60,29.545,41.463,11,11,43,112,17,9,0,77.778,27.5,32.632,31,5,3,21,12,5,1,3.714,22
417,2026-02-12 13:17:48,10.907,YellowRose,25.833,5.118,1,11,0,4.129,11,36.667,26.829,18.367,7,2,31,120,1,5,0,43.75,13.889,40,48,5,6,21,27,9,0,2.875,10
419,2026-03-26 11:37:47,11.821,keysha18,40.426,11.091,5,8,1,4.571,9,55.556,41.667,44.737,9,13,57,144,27,39,0,90.909,9.375,31.387,44,4,4,40,13,4,3,3.81,24
426,2026-02-07 07:17:50,10.0,brandon_K,9.302,1.218,0,10,1,5.333,3,17.391,7.143,8,0,2,12,129,1,5,0,55.556,5.833,6.977,9,0,0,5,4,1,0,3.556,7
429,2026-03-31 01:25:22,10.0,Nunuchu42,5.941,1.859,0,7,1,3.167,4,11.111,5.556,4.255,2,1,6,101,2,4,0,42.857,0,13.861,14,0,2,6,8,2,0,2.429,0
430,2026-03-29 12:20:12,7.541,HaruUrara,30.357,9.633,6,13,0,3.559,16,18.182,40,29.091,10,7,34,112,3,3,0,67.742,16.049,27.679,31,6,4,21,10,1,1,2.581,13
431,2026-03-29 12:20:12,11.478,Luna,28.571,6.281,2,23,1,5.04,5,5.263,32.692,25.926,6,6,38,137,12,12,0,75.862,21.101,23.762,29,5,4,22,9,4,1,3.897,23
432,2026-03-26 11:37:47,13.495,IDeja,35.772,10.022,7,9,2,4.242,19,40.741,33.333,35.849,12,10,44,132,11,4,1,78.261,7.955,37.398,46,11,5,36,14,2,0,3.587,10
433,2026-01-01 18:43:39,11.669,Vigard,35.897,7.607,2,18,0,4.595,15,34.483,26.829,44.681,8,6,42,117,2,3,0,76.19,13.333,35.897,42,4,4,32,10,3,1,4.095,10
437,2026-01-24 03:16:34,10.0,Loomi,25.41,7.388,4,10,1,3.935,13,14.286,26.087,29.091,8,2,31,122,4,2,0,80.556,2.326,29.508,36,5,0,29,7,1,1,3.583,2
441,2026-03-31 01:25:22,7.438,Dav1d1,34.615,10.439,5,9,1,4.531,9,29.412,30.303,45.161,11,10,40,125,19,20,0,91.892,9.195,37.179,37,8,3,34,10,4,0,4.214,8
443,2026-03-31 01:25:22,11.314,Loirinzz,31.579,8.955,3,9,0,3.774,14,33.333,31.481,38.235,8,5,31,126,6,5,0,85.185,8.081,35.789,34,5,2,27,7,2,0,3.481,8
