Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Player ID,Offlist hit
2026-01-02 19:30:28,16.5,watashiii,46.154,19.212,7,11,0,3.119,27,60,46.341,42.5,14,13,42,91,4,2,0,56.098,38,45.055,41,6,7,23,18,1,1,2.073,4,19
2026-01-11 00:25:47,17.48,watashiii,39.683,19.595,8,6,0,2.24,22,70,38.462,29.63,9,11,25,63,3,2,0,54.839,25,49.206,31,7,5,17,14,9,2,1.581,4,8
2026-03-07 08:42:40,17.901,watashiii,40.8,20.337,10,15,0,2.98,34,50,46.939,32.143,13,19,51,125,2,4,0,56.897,26.866,46.4,58,5,6,33,25,10,1,2.31,4,18
2026-03-26 17:04:19,16.697,watashiii,54.369,23.973,11,13,0,2.929,36,68.182,53.488,47.368,19,13,56,103,4,2,0,67.273,39.583,53.398,55,9,7,37,18,6,2,2.327,4,19
2026-01-02 19:30:28,18.295,Stunar,48.361,18.178,8,17,0,3.373,38,54.167,48.649,45.902,17,10,59,122,6,0,0,79.487,33.735,31.967,39,13,6,31,8,0,0,2.667,7,28
2026-01-30 15:47:47,16.474,KaoriMaeda,38.824,14.353,5,20,0,3.152,22,37.5,38.235,40,8,10,33,85,2,3,0,69.565,27.419,27.059,23,2,4,16,7,3,2,2.217,12,17
2026-03-07 08:42:40,16.044,KaoriMaeda,44.0,17.047,6,16,0,3.545,32,53.571,39.344,44.262,11,12,66,150,6,0,0,70.69,27.174,38.667,58,5,5,41,17,2,1,2.759,12,25
2026-02-07 20:15:05,12.008,kar72,34.444,13.259,8,19,0,3.0,20,31.25,41.304,25,10,9,31,90,3,3,0,58.065,22.034,34.444,31,4,4,18,13,6,0,1.742,20,13
2026-01-11 00:25:47,15.016,PoolNoodle,53.704,18.785,7,23,0,3.138,39,61.538,47.826,57.143,14,16,58,108,4,1,0,93.75,46.739,14.815,16,3,1,15,1,0,4,2.0,21,43
2026-03-26 17:04:19,16.318,PoolNoodle,53.398,17.577,3,9,0,3.564,28,53.846,52.174,54.545,9,17,55,103,1,5,0,80,48.864,14.563,15,4,2,12,3,1,1,2.6,21,43
2026-03-07 08:42:40,12.0,asleep,28.455,7.576,1,17,0,4.4,9,27.273,33.333,24.528,3,6,35,123,3,3,0,65.217,20,18.699,23,4,3,15,8,3,1,3.087,26,20
2026-02-07 20:15:05,17.277,FORTNAYT,55.118,18.891,8,21,0,3.214,45,60,65.625,39.583,14,23,70,127,1,5,0,75.758,47.872,25.984,33,3,3,25,8,0,4,3.0,28,45
2026-03-07 08:42:40,16.013,FORTNAYT,50.407,18.451,6,17,0,3.694,28,68.182,64.583,30.189,10,13,62,123,3,3,0,87.097,38.043,25.203,31,4,1,27,4,0,1,3.161,28,35
2026-03-12 17:29:54,15.713,FORTNAYT,43.939,14.539,8,20,0,3.138,35,57.895,57.143,29.688,12,15,58,132,4,2,0,75.676,31.579,28.03,37,10,7,28,9,1,2,2.081,28,30
2026-01-22 15:56:12,15.0,Tsui,40.196,16.893,6,11,0,2.927,28,58.333,36.364,32.353,11,13,41,102,3,3,0,50,36.486,27.451,28,6,5,14,14,1,4,2.286,33,27
2026-01-30 15:47:47,14.116,Tsui,50.588,16.981,5,9,0,3.419,25,50,38.889,62.857,11,12,43,85,3,2,0,77.273,41.27,25.882,22,4,1,17,5,1,3,3.409,33,26
2026-03-07 08:42:40,18.0,YuriMeguri,36.667,12.589,3,16,0,3.782,26,46.429,42.623,26.23,5,15,55,150,6,0,0,51.562,25.581,42.667,64,5,6,33,31,5,0,2.672,34,22
2026-03-07 08:42:40,13.0,Renzou,26.389,10.479,5,24,0,3.658,17,28.125,19.231,31.667,8,8,38,144,1,5,0,50,14.583,33.333,48,9,9,24,24,2,0,2.25,47,14
2026-01-11 00:25:47,13.0,Chata,26.667,11.921,6,9,0,2.562,11,35.714,25,22.727,6,3,16,60,2,3,0,46.154,11.765,43.333,26,10,5,12,14,6,0,1.923,51,4
2026-03-26 17:04:19,11.309,YoshiApelao,21.488,8.03,4,18,0,3.423,15,33.333,18.182,20,6,7,26,121,5,1,0,70.833,9.278,19.835,24,7,3,17,7,2,0,3.0,53,9
2026-04-24 11:23:13,10.826,Lika,30.556,10.551,15,25,0,2.091,27,47.368,17.778,36.364,20,5,33,108,6,0,0,76.923,15.854,24.074,26,15,5,20,6,0,1,1.269,58,13
2026-06-01 17:54:10,13.361,Lika,26.415,9.203,5,30,0,3.5,18,21.429,21.951,31.373,12,2,28,106,3,3,0,71.429,15.294,19.811,21,9,5,15,6,0,0,2.571,58,13
2026-01-08 15:39:44,15.538,neoburnz,43.86,13.963,4,15,0,3.54,28,63.636,34.091,43.75,9,17,50,114,2,4,0,81.081,25.974,32.456,37,6,1,30,7,1,1,3.595,59,20
2026-01-30 15:47:47,10.723,MahiruShiina,25.882,7.505,2,20,1,3.636,12,25,29.412,22.857,4,2,22,85,2,3,0,43.75,2.703,56.471,48,7,10,21,27,7,0,2.208,70,1
2026-01-11 00:25:47,13.0,neptune,40.26,15.947,5,15,0,2.839,23,8.333,37.838,57.143,13,4,31,77,4,1,0,70.968,19.565,40.26,31,5,4,22,9,4,1,2.129,77,9
2026-01-30 15:47:47,15.343,neptune,41.121,15.277,7,23,0,3.159,28,45.455,45,37.5,11,11,44,107,1,4,0,74.359,22.059,36.449,39,8,6,29,10,3,1,2.205,77,15
2026-03-07 08:42:40,13.95,neptune,29.861,9.575,1,24,0,3.953,18,18.75,28.846,36.667,4,10,43,144,1,5,0,54.545,19,30.556,44,4,7,24,20,1,0,2.841,77,19
2026-03-12 17:29:54,12.737,neptune,36.364,12.234,8,20,0,3.062,29,15.789,30.612,46.875,11,12,48,132,4,2,0,65.306,19.277,37.121,49,10,5,32,17,5,0,2.245,77,16
2026-01-08 15:39:44,13.943,ShiinaMahiru,44.898,13.493,6,10,0,3.75,20,45,56.098,32.432,9,4,44,98,2,4,0,80.645,28.358,31.633,31,0,2,25,6,1,0,3.161,82,19
2026-03-26 17:04:19,13.291,ShiinaMahiru,43.802,15.613,5,18,0,3.415,30,33.333,49.091,42.222,9,13,53,121,5,1,0,75.676,29.762,30.579,37,11,3,28,9,3,0,2.486,82,25
2026-02-07 20:15:05,12.987,Comete,23.404,5.728,2,17,1,4.182,8,23.529,25,21.951,2,4,22,94,3,3,0,46.512,3.922,45.745,43,1,5,20,23,7,0,2.93,98,2
2026-01-02 19:30:28,5.792,Janoxx,11.475,5.017,2,17,3,3.214,10,16.667,8.108,11.475,7,2,14,122,6,0,0,75,4.545,9.836,12,10,2,9,3,0,0,1.833,121,5
2026-01-11 00:25:47,7.833,Janoxx,16.883,8.823,6,15,1,2.154,11,33.333,13.514,14.286,7,4,13,77,4,1,0,76.923,4.688,16.883,13,9,3,10,3,0,0,1.154,121,3
