lotte_616, old rank: 50.0, new rank: 62.48, diff: 12.48
Orfey, old rank: 97.85, new rank: 104.78, diff: 6.93
Thaleko, old rank: 118.66, new rank: 124.26, diff: 5.6
Diukes, old rank: 127.94, new rank: 132.51, diff: 4.57
yasashiikumo, old rank: 93.69, new rank: 95.79, diff: 2.1
FoopyPoopy, old rank: 65.64, new rank: 67.7, diff: 2.06
Shiku, old rank: 71.8, new rank: 73.85, diff: 2.05
MapleSyyrup, old rank: 67.38, new rank: 69.43, diff: 2.05
Poppysr, old rank: 83.52, new rank: 85.56, diff: 2.04
Tvaz, old rank: 81.57, new rank: 83.61, diff: 2.04
xeyz, old rank: 81.07, new rank: 83.11, diff: 2.04
Heleos, old rank: 80.31, new rank: 82.35, diff: 2.04
OkitaNobu, old rank: 76.06, new rank: 78.1, diff: 2.04
Unborned, old rank: 74.42, new rank: 76.46, diff: 2.04
Neumann, old rank: 93.1, new rank: 95.13, diff: 2.03
cafezinho, old rank: 89.26, new rank: 91.29, diff: 2.03
AnnaYanami, old rank: 88.31, new rank: 90.34, diff: 2.03
kabao, old rank: 87.26, new rank: 89.29, diff: 2.03
fiftypercentweeb, old rank: 85.74, new rank: 87.77, diff: 2.03
HaruUrara, old rank: 98.97, new rank: 100.99, diff: 2.02
Chata, old rank: 94.13, new rank: 96.15, diff: 2.02
Provenance, old rank: 91.44, new rank: 93.46, diff: 2.02
Janoxx, old rank: 89.22, new rank: 91.24, diff: 2.02
Baikinman, old rank: 110.54, new rank: 112.55, diff: 2.01
kaededayo, old rank: 107.23, new rank: 109.24, diff: 2.01
Flato, old rank: 96.26, new rank: 98.27, diff: 2.01
Pile, old rank: 95.96, new rank: 97.97, diff: 2.01
Mami, old rank: 114.69, new rank: 116.69, diff: 2.0
Alkios, old rank: 113.0, new rank: 115.0, diff: 2.0
Nicole, old rank: 112.04, new rank: 114.04, diff: 2.0
mrwolf2, old rank: 121.87, new rank: 123.86, diff: 1.99
Sniparook, old rank: 134.35, new rank: 136.33, diff: 1.98
kar72, old rank: 132.24, new rank: 134.22, diff: 1.98
comfv, old rank: 129.28, new rank: 131.26, diff: 1.98
Miki_Hoshii, old rank: 139.03, new rank: 141.0, diff: 1.97
Saiki, old rank: 93.24, new rank: 94.78, diff: 1.54
mahzrunner, old rank: 85.14, new rank: 85.77, diff: 0.63
Hejsan, old rank: 113.9, new rank: 114.43, diff: 0.53
Dry, old rank: 110.78, new rank: 111.03, diff: 0.25
koroshiya, old rank: 134.41, new rank: 133.93, diff: -0.48
Milar, old rank: 118.69, new rank: 115.49, diff: -3.2
chaabdu92, old rank: 100.0, new rank: 94.58, diff: -5.42
md22, old rank: 105.0, new rank: 92.23, diff: -12.77
