# Full PV List:
ID: 27 | Deafness played like a 126.81. (Current rank 126.81, Δ0.0)
ID: 38 | Diukes played like a 112.55. (Current rank 112.55, Δ0.0)
ID: 76 | comfv played like a 111.57. (Current rank 111.57, Δ0.0)
ID: 84 | Alkios played like a 102.24. (Current rank 102.24, Δ0.0)
ID: 98 | Comete played like a 95.78. (Current rank 95.78, Δ0.0)
ID: 102 | MoltenAshes played like a 71.85. (Current rank 71.85, Δ0.0)
ID: 106 | cafezinho played like a 88.73. (Current rank 88.73, Δ0.0)
ID: 115 | Saiki played like a 78.88. (Current rank 78.88, Δ0.0)
ID: 121 | Janoxx played like a 77.21. (Current rank 77.21, Δ0.0)
ID: 143 | mahzrunner played like a 67.56. (Current rank 67.56, Δ0.0)
ID: 160 | Skychael played like a 82.16. (Current rank 82.16, Δ0.0)
ID: 169 | yashadox played like a 73.89. (Current rank 73.89, Δ0.0)
ID: 175 | Kirox played like a 79.33. (Current rank 79.33, Δ0.0)
ID: 181 | Yolowolf75 played like a 73.57. (Current rank 73.57, Δ0.0)
ID: 228 | Dry played like a 95.36. (Current rank 95.36, Δ0.0)
ID: 241 | yasashiikumo played like a 79.1. (Current rank 79.1, Δ0.0)
ID: 259 | Patoche49 played like a 51.96. (Current rank 51.96, Δ0.0)
ID: 311 | beautiful played like a 97.87. (Current rank 97.87, Δ0.0)
ID: 327 | Flato played like a 71.42. (Current rank 71.42, Δ0.0)
ID: 343 | inta played like a 53.52. (Current rank 53.52, Δ0.0)
ID: 347 | Selaph played like a 88.49. (Current rank 88.49, Δ0.0)
ID: 361 | Theaddist played like a 81.81. (Current rank 81.81, Δ0.0)
ID: 387 | ponbot played like a 69.26. (Current rank 69.26, Δ0.0)
ID: 400 | Vr0003 played like a 61.57. (Current rank 61.57, Δ0.0)
ID: 410 | FoopyPoopy played like a 41.12. (Current rank 41.12, Δ0.0)
ID: 480 | Tugia played like a 65.1. (Current rank 65.1, Δ0.0)
ID: 502 | Bewm played like a 52.82. (Current rank 52.82, Δ0.0)
ID: 505 | MaikaSasaki played like a 66.25. (Current rank 66.25, Δ0.0)
ID: 506 | tmokenc played like a 97.86. (Current rank 97.86, Δ0.0)

# MVPS:
:first_place: Deafness. Played like a 126.81 rank (Current Rank: 126.81, Δ0.0)
:second_place: ID: Diukes. Played like a 112.55 rank (Current Rank: 112.55, Δ0.0)
:third_place: ID: comfv. Played like a 111.57 rank (Current Rank: 111.57, Δ0.0)
