Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE
2026-02-05 22:26:52,16,Thaleko,58.282,13.668,3,19,0,4.558,30,65.079,54,0,9,22,95,163,4,2,0
2026-02-05 22:26:52,16,kar72,55.782,15.955,8,25,1,4.171,33,60.87,53.465,0,16,17,82,147,4,2,0
2026-02-05 22:26:52,14,Baikinman,51.471,13.837,5,17,2,4.257,30,83.051,27.273,0,9,15,70,136,1,5,0
2026-02-05 22:26:52,15,Alkios,49.342,12.69,4,17,0,4.467,27,67.241,38.298,0,9,13,75,152,3,3,0
2026-02-05 22:26:52,13,Nicole,44.853,12.975,7,17,1,4.279,26,55.932,36.364,0,11,6,61,136,1,5,0
2026-02-05 22:26:52,13,Mami,44.218,10.301,4,25,0,4.615,20,45.652,43.564,0,12,4,65,147,4,2,0
2026-02-05 22:26:52,11,Flato,38.158,8.357,4,17,1,4.845,16,56.897,26.596,0,6,6,58,152,3,3,0
2026-02-05 22:26:52,9.5,fiftypercentweeb,34.969,6.261,0,19,1,5.07,14,41.27,31,0,1,5,57,163,4,2,0
2026-02-05 22:26:52,10,cafezinho,34.559,6.993,4,17,0,4.979,12,42.373,28.571,0,4,3,47,136,1,5,0
2026-02-05 22:26:52,9,Provenance,33.742,7.36,6,19,2,5.055,12,44.444,27,0,8,3,55,163,4,2,0
2026-02-05 22:26:52,11,Dry,33.553,8.058,4,17,2,4.745,16,41.379,28.723,0,8,7,51,152,3,3,0
2026-02-05 22:26:52,9.5,Saiki,31.288,7.071,5,19,1,5.02,13,31.746,31,0,8,4,51,163,4,2,0
2026-02-05 22:26:52,6.5,Heleos,30.263,4.169,0,17,1,5.478,5,43.103,22.34,0,1,4,46,152,3,3,0
2026-02-05 22:26:52,7,mahzrunner,26.531,4.513,3,25,0,5.359,7,32.609,23.762,0,5,0,39,147,4,2,0
2026-02-05 22:26:52,6.5,kabao,25.17,4.525,2,25,1,5.297,8,36.957,19.802,0,6,1,37,147,4,2,0
2026-02-05 22:26:52,6,FoopyPoopy,8.824,1.348,1,17,6,5.917,3,11.864,6.494,0,2,0,12,136,1,5,0
