Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Player ID
2026-03-08 22:30:18,150.58,watashiii,71.963,272.681,11,11,0,3.182,52,0,71.963,0,19,26,77,107,2,3,0,4
2026-03-22 21:57:25,154.55,watashiii,75.281,360.265,23,11,0,2.478,53,0,75.281,0,28,27,67,89,3,3,0,4
2026-03-29 21:23:51,158.73,watashiii,79.054,254.578,12,6,1,3.923,54,0,79.054,0,20,34,117,148,2,4,0,4
2026-04-05 21:17:36,105.0,Hejsan,37.391,99.317,3,14,1,4.186,19,0,37.391,0,9,6,43,115,5,1,0,8
2026-06-29 21:18:49,141.0,shadowpandax,74.194,205.66,4,3,0,3.457,28,0,74.194,0,6,16,46,62,2,1,0,9
2026-03-08 22:30:18,111.19,kar72,45.455,131.72,2,8,0,3.78,22,0,45.455,0,7,10,50,110,4,1,0,20
2026-03-29 21:23:51,113.62,kar72,53.374,105.299,2,15,0,4.816,24,0,53.374,0,9,8,87,163,3,2,1,20
2026-05-28 21:29:04,103.21,kar72,54.11,83.965,1,18,0,4.734,20,0,54.11,0,4,7,79,146,3,3,0,20
2026-03-08 22:30:18,107.46,PoolNoodle,40.909,110.771,2,8,0,3.933,18,0,40.909,0,6,8,45,110,4,1,0,21
2026-03-29 21:23:51,111.0,asleep,49.39,101.783,4,12,0,4.84,22,0,49.39,0,8,7,81,164,3,3,0,26
2026-03-08 22:30:18,128.0,Tsui,58.088,146.221,2,10,0,4.253,34,0,58.088,0,8,18,79,136,3,2,0,33
2026-04-05 21:17:36,110.0,claydoll1091,41.791,96.68,5,15,0,4.5,18,0,41.791,0,10,9,56,134,2,4,0,37
2026-03-08 22:30:18,114.47,Diukes,49.153,161.223,5,13,0,3.707,32,0,49.153,0,9,17,58,118,2,2,1,38
2026-03-15 16:27:21,116.81,Diukes,58.462,167.534,7,13,0,3.987,37,0,58.462,0,13,14,76,130,4,2,0,38
2026-03-22 21:57:25,119.79,Diukes,33.708,134.317,6,15,0,2.867,20,0,33.708,0,8,11,30,89,1,5,0,38
2026-03-29 21:23:51,110.767,Diukes,57.317,126.044,2,12,0,4.638,29,0,57.317,0,6,14,94,164,3,3,0,38
2026-04-05 21:17:36,112.107,Diukes,45.714,135.346,3,21,1,3.828,34,0,45.714,0,9,19,64,140,4,2,0,38
2026-05-28 21:29:04,111.033,Diukes,63.699,160.114,12,18,0,4.0,41,0,63.699,0,15,18,93,146,3,3,0,38
2026-06-29 21:18:49,112.361,Diukes,64.516,179.34,3,3,1,3.45,23,0,64.516,0,6,14,40,62,1,2,0,38
2026-07-04 20:11:01,113.949,Diukes,47.458,130.014,3,4,0,3.643,16,0,47.458,0,3,7,28,59,2,1,0,38
2026-07-28 20:22:25,113.854,Diukes,58.333,138.112,4,2,0,4.262,15,0,58.333,0,5,13,42,72,1,2,0,38
2026-03-08 22:30:18,131.92,koroshiya,55.455,172.124,6,15,0,3.852,32,0,55.455,0,8,15,61,110,1,3,1,41
2026-03-15 16:27:21,131.52,koroshiya,67.424,220.604,8,11,0,3.719,52,0,67.424,0,15,32,89,132,2,4,0,41
2026-03-29 21:23:51,133.89,koroshiya,63.871,165.629,5,11,0,4.232,35,0,63.871,0,12,20,99,155,3,2,1,41
2026-04-05 21:17:36,125.569,koroshiya,59.292,188.772,3,12,0,3.493,37,0,59.292,0,14,18,67,113,1,5,0,41
2026-05-28 21:29:04,121.397,koroshiya,65.455,158.556,8,19,0,3.991,50,0,65.455,0,11,38,108,165,2,4,0,41
