Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples
4,watashiii,75.433,15.333,0.333,3.194,22.333,29.0,114.667,7,10,0,3
8,Hejsan,37.391,3.0,1.0,4.186,9.0,6.0,115.0,5,1,0,1
9,shadowpandax,74.194,4.0,0.0,3.457,6.0,16.0,62.0,2,1,0,1
20,kar72,50.98,1.667,0.0,4.443,6.667,8.333,139.667,10,6,1,3
21,PoolNoodle,40.909,2.0,0.0,3.933,6.0,8.0,110.0,4,1,0,1
26,asleep,49.39,4.0,0.0,4.84,8.0,7.0,164.0,3,3,0,1
33,Tsui,58.088,2.0,0.0,4.253,8.0,18.0,136.0,3,2,0,1
37,claydoll1091,41.791,5.0,0.0,4.5,10.0,9.0,134.0,2,4,0,1
38,Diukes,53.151,5.0,0.222,3.82,8.222,14.111,108.889,21,22,1,9
41,koroshiya,63.049,5.0,0.0,3.801,10.0,21.429,115.143,12,21,2,7
44,Nicole,39.512,2.5,0.0,4.625,6.5,5.5,146.0,6,5,1,2
50,Sniparook,51.261,4.0,0.0,3.984,8.0,22.0,119.0,2,3,0,1
52,Thaleko,49.211,3.0,0.0,4.452,8.0,10.667,139.333,8,7,2,3
70,MahiruShiina,27.612,2.0,0.0,4.892,6.0,3.0,134.0,2,4,0,1
76,comfv,35.12,1.0,0.6,4.286,5.6,5.2,100.4,10,13,1,5
79,JuliAless64,38.236,2.167,0.167,4.659,4.667,5.5,113.667,13,16,0,6
81,Pile,32.174,3.0,1.0,4.595,5.0,3.0,115.0,5,1,0,1
82,ShiinaMahiru,33.884,6.0,0.0,4.293,8.0,6.0,121.0,3,3,0,1
84,Alkios,35.686,1.25,0.5,4.506,3.75,3.0,91.0,7,9,2,4
91,Baikinman,21.488,0.0,1.0,5.0,3.0,3.0,121.0,3,3,0,1
103,mrwolf2,40.714,7.0,0.0,3.895,13.0,10.0,140.0,4,2,0,1
106,cafezinho,40.309,3.0,0.5,4.478,5.0,8.5,136.0,6,6,0,2
112,Legitted,29.231,0.0,0.0,4.447,3.0,4.0,130.0,2,3,0,1
115,Saiki,20.592,0.875,1.875,4.698,2.5,2.0,111.375,21,19,1,8
119,Fumiii,24.439,1.0,0.0,4.924,1.333,2.333,120.333,11,6,0,3
121,Janoxx,16.204,0.8,1.4,4.762,2.8,1.6,105.4,10,16,0,5
134,Jakemonkey,26.298,0.5,0.0,4.4,0.5,3.0,60.5,3,3,0,2
143,mahzrunner,28.972,0.0,0.0,4.097,5.0,1.0,107.0,2,3,0,1
160,Skychael,28.462,1.0,0.0,5.027,4.0,3.0,130.0,4,2,0,1
169,yashadox,22.705,0.0,0.5,5.281,0.5,2.0,70.5,1,5,1,2
221,Neumann,26.471,1.0,3.0,5.25,2.0,3.0,136.0,3,2,0,1
228,Dry,37.081,4.0,1.0,3.866,6.444,9.333,108.222,26,17,2,9
238,Progenitor,28.764,1.0,0.25,4.813,4.0,2.75,100.25,10,9,2,4
241,yasashiikumo,33.967,1.333,0.444,4.719,3.556,3.111,114.889,25,18,2,9
247,Shadow,8.065,1.0,2.0,4.8,1.0,0.0,62.0,2,1,0,1
248,eternity,31.818,5.0,2.0,3.4,10.0,7.0,110.0,4,1,0,1
259,Patoche49,19.114,0.333,0.333,5.599,2.0,0.333,117.333,7,6,2,3
260,AnotherWish,23.228,1.0,4.5,4.677,3.0,2.0,108.5,5,4,1,2
268,civiltwlight,49.587,7.0,0.0,3.75,12.0,14.0,121.0,3,3,0,1
274,Mami,43.902,4.0,0.0,4.944,4.0,7.0,164.0,3,3,0,1
276,hmsuis,32.967,0.667,0.0,5.064,3.667,2.333,129.0,8,10,0,3
277,chemist,24.793,0.0,1.0,4.9,1.0,5.0,121.0,3,3,0,1
282,akatsuki,72.667,16.0,0.0,3.275,20.0,42.0,150.0,3,3,0,1
289,Provenance,23.558,3.333,0.333,4.146,5.333,1.333,90.0,5,9,0,3
311,beautiful,40.299,2.0,0.0,4.648,7.0,8.0,134.0,2,4,0,1
330,_nadeshiko,24.088,4.0,1.0,4.879,6.0,2.0,137.0,3,3,0,1
335,xeyz,22.002,0.5,1.5,4.8,2.0,3.0,117.5,4,8,0,2
343,inta,17.293,1.0,1.0,5.0,3.0,1.0,133.0,4,2,0,1
347,Selaph,30.061,3.0,3.0,5.061,6.0,3.0,163.0,3,2,1,1
349,Porte,16.667,0.0,2.0,4.88,2.0,3.0,150.0,3,3,0,1
388,Tsuni,7.865,0.0,0.0,5.0,2.0,0.0,89.0,3,3,0,1
400,Vr0003,19.355,0.0,0.0,4.667,1.0,1.0,62.0,1,2,0,1
403,AnnaYanami,21.037,2.0,0.0,4.361,6.0,1.5,104.0,5,6,0,2
410,FoopyPoopy,6.758,0.0,0.5,5.643,0.5,0.0,79.0,3,6,1,2
416,OkitaNobu,20.0,1.0,3.0,5.0,3.0,1.0,110.0,1,3,1,1
430,HaruUrara,32.089,2.0,1.0,4.8,4.5,4.5,125.5,4,7,0,2
506,tmokenc,43.609,3.0,1.0,3.793,6.0,14.0,133.0,4,2,0,1
