Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
4,watashiii,146.71,0.489,0.754,0.006,0.333,0.687,22.333,29.0,114.667,10,13,0,3,7,10,0,146.71
8,Hejsan,92.49,0.308,0.374,0.001,1.0,0.545,9.0,6.0,115.0,5,1,0,1,5,1,0,92.49
9,shadowpandax,141.45,0.472,0.742,0.003,0.0,0.649,6.0,16.0,62.0,2,1,0,1,2,1,0,141.45
20,kar72,103.12,0.344,0.51,0.001,0.0,0.508,6.667,8.333,139.667,17,11,1,3,10,6,1,103.12
21,PoolNoodle,99.68,0.332,0.409,0.001,0.0,0.581,6.0,8.0,110.0,6,5,0,1,4,1,0,99.68
26,asleep,95.98,0.32,0.494,0.001,0.0,0.451,8.0,7.0,164.0,3,3,0,1,3,3,0,95.98
33,Tsui,113.25,0.377,0.581,0.001,0.0,0.535,8.0,18.0,136.0,3,2,0,1,3,2,0,113.25
37,claydoll1091,92.79,0.309,0.418,0.002,0.0,0.5,10.0,9.0,134.0,2,4,0,1,2,4,0,92.79
38,Diukes,114.22,0.381,0.532,0.002,0.222,0.597,8.222,14.111,108.889,28,32,2,9,21,22,1,114.22
41,koroshiya,124.87,0.416,0.63,0.002,0.0,0.6,10.0,21.429,115.143,20,31,2,7,12,21,2,124.87
44,Nicole,88.57,0.295,0.395,0.001,0.0,0.482,6.5,5.5,146.0,6,5,1,2,6,5,1,88.57
50,Sniparook,109.9,0.366,0.513,0.001,0.0,0.574,8.0,22.0,119.0,6,5,0,1,2,3,0,109.9
52,Thaleko,101.18,0.337,0.492,0.001,0.0,0.507,8.0,10.667,139.333,8,7,2,3,8,7,2,101.18
70,MahiruShiina,72.35,0.241,0.276,0.001,0.0,0.444,6.0,3.0,134.0,8,4,0,1,2,4,0,72.35
76,comfv,88.65,0.295,0.351,0.0,0.6,0.531,5.6,5.2,100.4,10,13,1,5,10,13,1,88.65
79,JuliAless64,86.76,0.289,0.382,0.001,0.167,0.477,4.667,5.5,113.667,17,24,0,6,13,16,0,86.76
81,Pile,81.32,0.271,0.322,0.001,1.0,0.486,5.0,3.0,115.0,7,5,0,1,5,1,0,81.32
82,ShiinaMahiru,87.42,0.291,0.339,0.002,0.0,0.53,8.0,6.0,121.0,3,3,0,1,3,3,0,87.42
84,Alkios,86.19,0.287,0.357,0.001,0.5,0.499,3.75,3.0,91.0,7,9,2,4,7,9,2,86.19
91,Baikinman,64.35,0.214,0.215,0.0,1.0,0.429,3.0,3.0,121.0,7,5,0,1,3,3,0,64.35
103,mrwolf2,100.14,0.334,0.407,0.002,0.0,0.586,13.0,10.0,140.0,11,7,0,1,4,2,0,100.14
106,cafezinho,91.47,0.305,0.403,0.001,0.5,0.503,5.0,8.5,136.0,18,11,1,2,6,6,0,91.47
112,Legitted,80.18,0.267,0.292,0.0,0.0,0.508,3.0,4.0,130.0,2,3,0,1,2,3,0,80.18
115,Saiki,67.65,0.225,0.206,0.0,1.875,0.472,2.5,2.0,111.375,25,33,1,8,21,19,1,67.65
119,Fumiii,68.54,0.228,0.244,0.0,0.0,0.439,1.333,2.333,120.333,11,6,0,3,11,6,0,68.54
121,Janoxx,62.15,0.207,0.162,0.0,1.4,0.463,2.8,1.6,105.4,12,20,0,5,10,16,0,62.15
134,Jakemonkey,77.79,0.259,0.263,0.0,0.0,0.514,0.5,3.0,60.5,5,7,0,2,3,3,0,77.79
143,mahzrunner,84.78,0.283,0.29,0.0,0.0,0.558,5.0,1.0,107.0,2,3,0,1,2,3,0,84.78
160,Skychael,71.33,0.238,0.285,0.0,0.0,0.425,4.0,3.0,130.0,4,2,0,1,4,2,0,71.33
169,yashadox,61.71,0.206,0.227,0.0,0.5,0.388,0.5,2.0,70.5,3,9,1,2,1,5,1,61.71
221,Neumann,66.13,0.22,0.265,0.0,3.0,0.393,2.0,3.0,136.0,9,2,0,1,3,2,0,66.13
228,Dry,96.67,0.322,0.371,0.002,1.0,0.591,6.444,9.333,108.222,35,26,2,9,26,17,2,96.67
238,Progenitor,74.63,0.249,0.288,0.0,0.25,0.455,4.0,2.75,100.25,15,16,2,4,10,9,2,74.63
241,yasashiikumo,81.41,0.271,0.34,0.001,0.444,0.469,3.556,3.111,114.889,39,27,3,9,25,18,2,81.41
247,Shadow,53.11,0.177,0.081,0.001,2.0,0.457,1.0,0.0,62.0,2,1,0,1,2,1,0,53.11
248,eternity,97.67,0.326,0.318,0.002,2.0,0.657,10.0,7.0,110.0,4,1,0,1,4,1,0,97.67
259,Patoche49,53.52,0.178,0.191,0.0,0.333,0.343,2.0,0.333,117.333,9,10,2,3,7,6,2,53.52
260,AnotherWish,70.71,0.236,0.232,0.0,4.5,0.475,3.0,2.0,108.5,5,4,1,2,5,4,1,70.71
268,civiltwlight,111.51,0.372,0.496,0.003,0.0,0.607,12.0,14.0,121.0,3,3,0,1,3,3,0,111.51
274,Mami,88.77,0.296,0.439,0.001,0.0,0.437,4.0,7.0,164.0,3,3,0,1,3,3,0,88.77
276,hmsuis,75.53,0.252,0.33,0.0,0.0,0.419,3.667,2.333,129.0,8,10,0,3,8,10,0,75.53
277,chemist,69.21,0.231,0.248,0.0,1.0,0.443,1.0,5.0,121.0,3,3,0,1,3,3,0,69.21
282,akatsuki,142.57,0.475,0.727,0.005,0.0,0.675,20.0,42.0,150.0,3,3,0,1,3,3,0,142.57
289,Provenance,78.57,0.262,0.236,0.002,0.333,0.551,5.333,1.333,90.0,10,15,1,3,5,9,0,78.57
311,beautiful,89.07,0.297,0.403,0.001,0.0,0.479,7.0,8.0,134.0,2,4,0,1,2,4,0,89.07
330,_nadeshiko,68.89,0.23,0.241,0.001,1.0,0.446,6.0,2.0,137.0,3,3,0,1,3,3,0,68.89
335,xeyz,67.69,0.226,0.22,0.0,1.5,0.457,2.0,3.0,117.5,8,10,0,2,4,8,0,67.69
343,inta,59.98,0.2,0.173,0.0,1.0,0.429,3.0,1.0,133.0,4,2,0,1,4,2,0,59.98
347,Selaph,72.58,0.242,0.301,0.001,3.0,0.42,6.0,3.0,163.0,3,2,1,1,3,2,1,72.58
349,Porte,60.96,0.203,0.167,0.0,2.0,0.446,2.0,3.0,150.0,3,3,0,1,3,3,0,60.96
388,Tsuni,50.04,0.167,0.079,0.0,0.0,0.429,2.0,0.0,89.0,3,3,0,1,3,3,0,50.04
400,Vr0003,66.75,0.222,0.194,0.0,0.0,0.476,1.0,1.0,62.0,1,2,0,1,1,2,0,66.75
403,AnnaYanami,72.86,0.243,0.21,0.001,0.0,0.52,6.0,1.5,104.0,12,10,1,2,5,6,0,72.86
410,FoopyPoopy,39.93,0.133,0.068,0.0,0.5,0.337,0.5,0.0,79.0,8,13,1,2,3,6,1,39.93
416,OkitaNobu,62.82,0.209,0.2,0.0,3.0,0.429,3.0,1.0,110.0,1,3,1,1,1,3,1,62.82
430,HaruUrara,78.33,0.261,0.321,0.001,1.0,0.457,4.5,4.5,125.5,4,7,0,2,4,7,0,78.33
506,tmokenc,104.48,0.348,0.436,0.001,1.0,0.601,6.0,14.0,133.0,4,2,0,1,4,2,0,104.48
