Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE
4,2026-06-26 21:44:29,157.82,watashiii,70.068,296.323,20,22,0,3.958,66,0,0,70.068,24,39,120,188,7,16,1
16,2026-06-03 21:55:49,90.0,yahallonyanpasu,36.552,114.703,10,36,2,3.245,33,0,0,36.552,17,13,53,145,4,2,0
20,2026-06-26 21:44:29,92.76,kar72,42.143,78.381,3,29,1,4.973,21,0,0,42.143,7,13,74,187,11,6,1
21,2026-06-26 21:44:29,132.8,PoolNoodle,63.492,142.199,15,26,1,4.099,53,0,0,63.492,18,32,91,153,5,13,0
27,2026-06-18 22:03:41,105.0,Deafness,58.333,125.941,5,15,0,4.469,32,0,0,58.333,12,14,98,168,3,3,0
30,2026-06-26 21:44:29,100.0,revel,37.952,63.825,2,22,0,4.698,15,0,0,37.952,5,5,63,166,2,4,0
33,2026-03-07 22:02:31,126.54,Tsui,42.222,101.184,6,47,1,4.25,38,0,0,42.222,13,18,76,180,12,6,0
34,2026-06-03 21:55:49,140.0,YuriMeguri,52.586,156.504,14,23,0,3.904,31,0,0,52.586,16,14,61,116,5,7,0
37,2026-01-04 22:04:34,9.915,claydoll1091,30.675,8.186,6,42,1,4.32,19,0,0,30.675,9,8,50,163,3,3,0
38,2026-05-24 17:59:02,90.0,Diukes,19.463,43.502,3,41,0,4.448,8,0,0,19.463,4,1,29,149,2,4,0
46,2026-07-28 21:54:59,107.63,Orfey,34.028,105.334,14,48,2,3.818,30,0,0,34.028,17,15,49,149,14,15,1
47,2026-06-26 21:44:29,92.5,Renzou,31.783,61.104,2,15,0,4.756,13,0,0,31.783,5,8,41,129,5,1,0
49,2026-06-18 22:03:41,100.06,accelerator11,44.92,133.26,15,33,2,4.2,40,0,0,44.92,19,21,84,187,19,10,1
50,2026-06-26 21:44:29,130.0,Sniparook,48.062,118.869,6,46,0,4.862,30,0,0,48.062,10,21,80,168,13,9,2
51,2026-06-06 18:20:43,120.97,Chata,53.521,181.235,16,33,0,4.0,41,0,0,53.521,20,17,76,163,19,4,1
52,2026-06-06 18:20:43,105.0,Thaleko,47.205,121.121,11,33,0,4.0,34,0,0,47.205,21,11,76,161,4,2,0
58,2026-06-06 18:20:43,95.0,Lika,35.772,90.946,4,20,1,3.955,22,0,0,35.772,11,8,44,123,2,4,0
59,2026-07-05 15:51:11,118.3,neoburnz,48.78,125.98,6,48,0,5.0,32,0,0,48.78,15,16,69,168,19,12,3
64,2026-05-24 17:59:02,130.0,Yokipi,38.926,127.68,9,41,1,3.552,30,0,0,38.926,12,11,58,149,2,4,0
66,2026-06-26 21:44:29,83.26,bamboo,41.176,72.067,4,33,0,4.746,18,0,0,41.176,7,7,63,163,11,7,0
70,2026-06-18 22:03:41,90.76,MahiruShiina,37.805,69.503,11,38,2,5.089,35,0,0,37.805,18,13,62,188,8,21,1
72,2026-06-26 21:44:29,80.0,ruuka,33.333,61.914,1,15,2,4.651,14,0,0,33.333,7,4,43,129,5,1,0
77,2026-06-26 21:44:29,86.86,neptune,39.227,55.919,2,47,0,5.137,22,0,0,39.227,5,14,71,181,6,11,1
78,2026-06-26 21:44:29,91.19,doomchicken,35.294,67.334,7,36,1,4.776,24,0,0,35.294,11,9,54,153,5,6,1
79,2026-06-18 22:03:41,100.0,JuliAless64,37.433,115.812,3,25,0,5.029,23,0,0,37.433,9,10,70,187,9,8,1
82,2026-05-24 17:59:02,110.0,ShiinaMahiru,37.736,77.668,0,48,0,4.567,21,0,0,37.736,8,7,60,159,2,3,1
84,2026-01-04 22:04:34,12.52,Alkios,30.0,7.654,3,47,0,4.315,22,0,0,30,10,7,54,180,4,2,0
87,2026-06-06 18:20:43,105.0,Beokros,29.268,61.16,4,46,1,4.75,9,0,0,29.268,4,5,36,156,3,7,2
91,2026-07-28 21:54:59,95.57,Baikinman,32.593,75.499,7,45,0,4.238,23,0,0,32.593,11,12,44,145,10,8,0
98,2026-01-04 22:04:34,9.598,Comete,24.39,5.896,1,38,0,4.225,16,0,0,24.39,6,3,40,164,1,5,0
103,2026-06-26 21:44:29,85.22,mrwolf2,31.429,54.237,5,28,2,5.136,15,0,0,31.429,6,5,46,155,6,6,0
104,2026-03-07 22:02:31,111.26,joey,31.373,62.114,8,36,1,4.211,23,0,0,31.373,11,9,48,153,6,11,1
106,2026-02-06 06:03:08,13.0,cafezinho,30.37,10.019,2,29,1,4.268,17,0,0,30.37,4,10,41,135,5,1,0
