Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Player ID
2026-02-06 06:03:08,21.0,watashiii,56.198,27.503,14,22,0,3.221,40,0,0,56.198,19,16,68,121,3,3,0,4
2026-03-07 22:02:31,157.82,watashiii,70.068,296.323,20,22,0,3.049,66,0,0,70.068,24,39,103,147,0,6,0,4
2026-06-18 22:03:41,134.67,watashiii,63.83,179.995,15,15,0,3.958,57,0,0,63.83,18,28,120,188,2,3,1,4
2026-06-26 21:44:29,131.0,watashiii,65.06,194.408,19,22,0,3.583,57,0,0,65.06,24,31,108,166,2,4,0,4
2026-06-03 21:55:49,90.0,yahallonyanpasu,36.552,114.703,10,36,2,3.245,33,0,0,36.552,17,13,53,145,4,2,0,16
2026-02-06 06:03:08,15.5,kar72,37.037,12.691,3,29,0,4.14,21,0,0,37.037,5,9,50,135,5,1,0,20
2026-06-18 22:03:41,92.76,kar72,39.572,63.901,2,19,1,4.973,17,0,0,39.572,3,13,74,187,4,1,1,20
2026-06-26 21:44:29,88.27,kar72,42.143,78.381,3,21,0,4.78,19,0,0,42.143,7,8,59,140,2,4,0,20
2026-02-06 06:03:08,21.562,PoolNoodle,57.143,27.109,11,23,1,3.171,47,0,0,57.143,17,31,76,133,0,6,0,21
2026-06-26 21:44:29,132.8,PoolNoodle,59.477,142.199,9,16,0,4.099,40,0,0,59.477,14,20,91,153,3,3,0,21
2026-06-18 22:03:41,105.0,Deafness,58.333,125.941,5,15,0,4.469,32,0,0,58.333,12,14,98,168,3,3,0,27
2026-06-26 21:44:29,100.0,revel,37.952,63.825,2,22,0,4.698,15,0,0,37.952,5,5,63,166,2,4,0,30
2026-03-07 22:02:31,126.54,Tsui,39.437,101.184,2,26,1,4.25,22,0,0,39.437,7,7,56,142,6,0,0,33
2026-03-07 22:02:31,140.0,YuriMeguri,46.429,143.076,6,23,0,3.904,24,0,0,46.429,8,13,52,112,3,3,0,34
2026-06-03 21:55:49,106.06,YuriMeguri,52.586,156.504,14,22,0,3.443,31,0,0,52.586,16,14,61,116,2,4,0,34
2026-05-24 17:59:02,90.0,Diukes,19.463,43.502,3,41,0,4.448,8,0,0,19.463,4,1,29,149,2,4,0,38
2026-03-07 22:02:31,104.75,Orfey,30.4,105.334,3,25,1,3.605,21,0,0,30.4,7,15,38,125,3,3,0,46
2026-05-24 17:59:02,107.63,Orfey,30.201,91.121,4,41,1,3.6,26,0,0,30.201,6,9,45,149,2,4,0,46
2026-06-06 18:20:43,90.34,Orfey,22.222,54.446,1,25,1,3.818,10,0,0,22.222,4,4,22,99,2,4,0,46
2026-07-28 21:54:59,88.17,Orfey,34.028,100.471,14,48,2,3.286,30,0,0,34.028,17,11,49,144,3,2,1,46
