Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples
4,watashiii,63.789,17.0,0.0,3.453,21.25,28.5,155.5,7,16,1,4
16,yahallonyanpasu,36.552,10.0,2.0,3.245,17.0,13.0,145.0,4,2,0,1
20,kar72,39.584,2.667,0.333,4.631,5.0,10.0,154.0,11,6,1,3
21,PoolNoodle,60.037,11.667,0.333,3.398,16.333,27.667,137.333,5,13,0,3
27,Deafness,58.333,5.0,0.0,4.469,12.0,14.0,168.0,3,3,0,1
30,revel,37.952,2.0,0.0,4.698,5.0,5.0,166.0,2,4,0,1
33,Tsui,41.004,4.333,0.333,3.95,10.667,12.0,151.667,12,6,0,3
34,YuriMeguri,49.508,10.0,0.0,3.673,12.0,13.5,114.0,5,7,0,2
37,claydoll1091,30.675,6.0,1.0,4.32,9.0,8.0,163.0,3,3,0,1
38,Diukes,19.463,3.0,0.0,4.448,4.0,1.0,149.0,2,4,0,1
46,Orfey,26.157,3.75,1.0,3.652,6.75,8.25,126.5,11,13,0,4
47,Renzou,31.783,2.0,0.0,4.756,5.0,8.0,129.0,5,1,0,1
49,accelerator11,40.281,10.6,1.0,3.855,14.6,10.6,150.0,19,10,1,5
50,Sniparook,43.249,4.75,0.0,4.184,7.5,15.25,150.0,13,9,2,4
51,Chata,44.405,10.0,0.0,3.851,13.75,12.5,148.5,19,4,1,4
52,Thaleko,47.205,11.0,0.0,4.0,21.0,11.0,161.0,4,2,0,1
58,Lika,35.772,4.0,1.0,3.955,11.0,8.0,123.0,2,4,0,1
59,neoburnz,42.821,4.5,0.0,4.23,8.833,9.0,146.333,19,12,3,6
64,Yokipi,38.926,9.0,1.0,3.552,12.0,11.0,149.0,2,4,0,1
66,bamboo,36.233,2.667,0.0,4.63,5.667,5.333,152.0,11,7,0,3
70,MahiruShiina,28.268,3.6,0.8,4.095,6.6,6.8,143.8,8,21,1,5
72,ruuka,33.333,1.0,2.0,4.651,7.0,4.0,129.0,5,1,0,1
77,neptune,36.875,1.333,0.0,4.889,4.0,8.0,161.333,6,11,1,3
78,doomchicken,35.147,4.5,0.5,4.453,8.5,8.5,146.5,5,6,1,2
79,JuliAless64,35.664,2.333,0.0,4.383,7.333,6.333,142.667,9,8,1,3
82,ShiinaMahiru,37.736,0.0,0.0,4.567,8.0,7.0,159.0,2,3,1,1
84,Alkios,30.0,3.0,0.0,4.315,10.0,7.0,180.0,4,2,0,1
87,Beokros,26.172,3.5,0.5,4.458,4.0,4.5,139.5,3,7,2,2
91,Baikinman,30.78,4.5,0.0,3.926,8.0,8.5,140.0,7,5,0,2
98,Comete,24.39,1.0,0.0,4.225,6.0,3.0,164.0,1,5,0,1
103,mrwolf2,30.553,5.0,1.5,4.633,5.5,4.0,147.5,6,6,0,2
104,joey,28.951,4.333,0.333,3.97,7.667,6.333,145.0,6,11,1,3
106,cafezinho,30.37,2.0,1.0,4.268,4.0,10.0,135.0,5,1,0,1
114,Mayottatoki,26.531,3.0,1.0,4.436,3.0,7.0,147.0,4,2,0,1
115,Saiki,20.392,7.25,1.0,3.688,9.25,4.5,141.25,10,14,0,4
119,Fumiii,31.078,2.2,0.4,4.356,6.8,7.2,143.0,18,11,1,5
121,Janoxx,11.852,2.0,1.0,4.312,2.0,2.0,135.0,3,3,0,1
126,shadismith,19.512,1.0,3.0,5.25,1.0,3.0,123.0,2,4,0,1
134,Jakemonkey,19.876,2.0,0.0,4.06,4.5,5.0,116.0,2,10,0,2
143,mahzrunner,28.777,2.286,0.143,4.384,4.286,5.857,131.571,18,19,3,7
147,thjalago,18.045,3.0,2.0,4.375,6.0,2.0,133.0,2,4,0,1
149,Zozo,32.554,3.0,0.0,4.683,6.5,5.5,146.0,7,4,1,2
150,Bommie,19.975,1.0,0.0,4.534,4.0,3.0,140.0,3,9,0,2
155,Unborned,14.458,0.0,2.0,5.083,2.0,4.0,166.0,2,4,0,1
166,gw13,14.458,0.0,1.0,5.625,0.0,1.0,166.0,2,4,0,1
171,JustAWeirdo,11.28,1.125,0.875,4.773,2.25,1.25,129.375,22,23,1,8
177,oh95,29.032,4.0,0.0,4.156,4.0,8.0,155.0,4,2,0,1
217,ShelterRin,21.168,0.5,0.0,4.848,1.0,4.0,156.0,4,7,1,2
221,Neumann,37.255,5.0,2.0,4.526,9.0,4.0,153.0,3,3,0,1
230,BigSmo,24.444,6.0,0.0,4.303,8.0,3.0,135.0,5,1,0,1
237,transfer,8.287,0.0,13.0,4.8,2.0,2.0,181.0,2,4,0,1
274,Mami,25.352,3.0,1.0,3.917,5.0,10.0,142.0,1,5,0,1
286,Lakumix,24.812,3.0,0.0,4.455,7.0,1.0,133.0,2,4,0,1
289,Provenance,25.478,1.6,1.6,4.522,4.4,4.8,145.6,12,17,1,5
291,ss_r_white_pony,23.704,4.0,0.0,3.812,7.0,5.0,135.0,3,3,0,1
292,FeyFey,17.327,2.0,1.333,4.533,3.667,1.667,140.667,7,11,0,3
311,beautiful,22.556,3.0,0.0,3.967,7.0,3.0,133.0,0,6,0,1
318,Nephirea,28.697,1.0,0.5,5.076,3.0,5.0,175.5,5,6,1,2
335,xeyz,17.606,0.0,4.0,5.08,3.0,1.0,142.0,5,0,1,1
336,fiftypercentweeb,23.967,0.0,0.0,4.276,3.0,4.0,121.0,3,3,0,1
338,ranny,10.458,0.0,7.0,6.125,1.0,0.0,153.0,3,3,0,1
347,Selaph,36.014,2.333,0.0,4.562,6.667,8.0,154.667,13,4,1,3
353,Solosion,21.311,1.5,0.5,4.531,4.5,1.0,122.5,7,5,0,2
357,chommy,17.37,2.25,1.0,4.673,4.25,2.5,152.75,13,9,2,4
379,CipherKai,27.407,1.0,0.0,4.514,4.0,6.0,135.0,5,1,0,1
391,rinshantsumo,6.015,0.0,2.0,4.5,1.0,0.0,133.0,0,6,0,1
394,Komari,32.214,4.0,0.5,3.934,5.5,8.0,112.0,5,3,2,2
398,kabao,21.111,2.0,1.0,4.763,6.0,7.0,180.0,4,2,0,1
399,ElJuanchi,15.74,1.0,0.0,4.567,3.0,2.333,120.667,7,8,1,3
405,anicomi,12.195,1.0,0.0,5.0,1.0,1.0,82.0,0,3,1,1
410,FoopyPoopy,5.556,1.0,2.0,3.857,1.0,1.0,126.0,2,4,0,1
418,Bai,74.033,15.0,0.0,3.754,23.0,43.0,181.0,2,4,0,1
430,HaruUrara,32.394,2.0,0.0,4.217,6.0,5.0,142.0,6,0,0,1
431,Luna,16.644,0.4,1.4,5.224,2.4,2.0,138.4,17,8,3,5
441,Dav1d,14.744,0.0,1.0,4.739,1.0,2.0,156.0,1,3,2,1
453,RyoutaVN,18.628,1.0,0.5,4.774,2.5,3.5,148.5,5,7,0,2
505,MaikaSasaki,26.809,3.0,0.0,3.87,5.5,4.0,113.5,7,2,1,2
520,konomi,34.254,1.0,2.0,4.984,6.0,3.0,181.0,2,4,0,1
