Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
4,watashiii,130.84,0.436,0.638,0.005,0.0,0.65,21.25,28.5,155.5,7,16,1,4,7,16,1,130.84
16,yahallonyanpasu,104.95,0.35,0.366,0.003,2.0,0.679,17.0,13.0,145.0,4,2,0,1,4,2,0,104.95
20,kar72,88.57,0.295,0.396,0.001,0.333,0.481,5.0,10.0,154.0,11,6,1,3,11,6,1,88.57
21,PoolNoodle,122.36,0.408,0.583,0.003,0.5,0.624,15.5,25.5,143.0,5,13,0,2,3,9,0,122.36
27,Deafness,110.58,0.369,0.583,0.001,0.0,0.504,12.0,14.0,168.0,3,3,0,1,3,3,0,110.58
30,revel,85.9,0.286,0.38,0.001,0.0,0.472,5.0,5.0,166.0,2,4,0,1,2,4,0,85.9
33,Tsui,93.71,0.312,0.394,0.001,1.0,0.536,7.0,7.0,142.0,12,6,0,1,6,0,0,93.71
34,YuriMeguri,112.68,0.376,0.495,0.004,0.0,0.618,12.0,13.5,114.0,5,7,0,2,5,7,0,112.68
38,Diukes,70.01,0.233,0.195,0.001,0.0,0.507,4.0,1.0,149.0,2,4,0,1,2,4,0,70.01
46,Orfey,92.49,0.308,0.292,0.002,1.25,0.632,8.5,9.75,129.25,14,15,1,4,10,13,1,92.49
47,Renzou,78.63,0.262,0.318,0.001,0.0,0.463,5.0,8.0,129.0,5,1,0,1,5,1,0,78.63
49,accelerator11,101.65,0.339,0.411,0.004,1.0,0.596,16.0,12.0,149.0,19,10,1,3,11,6,1,101.65
50,Sniparook,98.72,0.329,0.432,0.002,0.0,0.545,7.5,15.25,150.0,13,9,2,4,13,9,2,98.72
51,Chata,108.12,0.36,0.471,0.004,0.0,0.597,15.0,13.0,143.667,19,4,1,3,15,2,1,108.12
52,Thaleko,105.61,0.352,0.472,0.003,0.0,0.571,21.0,11.0,161.0,4,2,0,1,4,2,0,105.61
58,Lika,94.06,0.314,0.358,0.002,1.0,0.578,11.0,8.0,123.0,2,4,0,1,2,4,0,94.06
59,neoburnz,96.5,0.322,0.424,0.001,0.0,0.532,8.2,7.8,145.0,19,12,3,5,16,10,2,96.5
64,Yokipi,103.12,0.344,0.389,0.003,1.0,0.635,12.0,11.0,149.0,2,4,0,1,2,4,0,103.12
66,bamboo,88.69,0.296,0.412,0.001,0.0,0.465,7.0,3.0,153.0,11,7,0,1,3,3,0,88.69
70,MahiruShiina,79.82,0.266,0.274,0.001,1.0,0.523,4.0,6.333,143.0,8,21,1,3,5,12,1,79.82
