eljuanchi, old rank: 73.967, new rank: 75.688, diff: 1.721
justaweirdo, old rank: 76.239, new rank: 77.626, diff: 1.387
yolowolf75, old rank: 90.981, new rank: 91.902, diff: 0.921
aitsukinakuru, old rank: 105.303, new rank: 106.075, diff: 0.772
hakohoka, old rank: 65.916, new rank: 66.512, diff: 0.596
catge, old rank: 81.508, new rank: 82.002, diff: 0.494
kyuuuu, old rank: 84.89, new rank: 85.291, diff: 0.401
lika, old rank: 116.366, new rank: 115.768, diff: -0.598
anicomi, old rank: 80.189, new rank: 79.58, diff: -0.609
emdiel, old rank: 113.271, new rank: 112.6, diff: -0.671
haruurara, old rank: 98.343, new rank: 97.63, diff: -0.713
janeremover, old rank: 71.804, new rank: 70.618, diff: -1.186
zomg, old rank: 83.714, new rank: 82.174, diff: -1.54
dav1d, old rank: 84.167, new rank: 82.523, diff: -1.644
