Player ID,PlayerName,ELONOWR,ELO,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,PALL,PRECENT,WR,STREAK,FINAL MODIFIER
7.0,Stunar,157.65,157.65,0.525,0.854,0.002,0.0,0.695,13.0,38.0,3.0,2.0,0.0,29.0,59.0,30.0,1.0,6.0,0.0,1.0,2.0,3.333,103.0,1,3.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0
28.0,FORTNAYT,143.81,143.81,0.479,0.773,0.003,0.0,0.639,19.5,27.5,8.0,4.0,0.0,43.5,53.5,44.5,1.0,11.0,0.5,0.5,2.0,3.372,125.5,2,8.0,4.0,0.0,12.0,12.0,0.0,0.0,0.0
4.0,watashiii,138.3,142.988,0.461,0.713,0.004,0.0,0.647,18.5,23.833,21.0,11.0,0.0,55.333,33.333,67.167,11.833,11.0,2.333,3.5,1.667,3.046,124.333,6,21.0,11.0,0.0,32.0,32.0,0.156,0.156,0.312
19.0,Jlin2,142.35,142.396,0.475,0.767,0.003,0.0,0.63,16.1,29.0,37.0,38.0,2.0,44.1,57.8,45.6,1.5,7.6,0.3,0.6,1.8,3.284,132.7,10,29.0,27.0,1.0,77.0,57.0,-0.006,0.018,0.011
27.0,Deafness,139.53,139.588,0.465,0.751,0.003,0.2,0.62,14.0,29.8,34.0,33.0,1.0,69.4,29.5,80.6,11.2,7.5,2.6,3.7,0.8,3.391,131.9,10,27.0,28.0,1.0,68.0,56.0,0.007,-0.009,-0.002
34.0,YuriMeguri,133.69,133.69,0.446,0.71,0.001,0.0,0.605,11.8,30.8,17.0,11.0,1.0,44.0,52.2,49.6,5.6,7.2,2.2,1.8,1.6,3.417,135.4,5,17.0,11.0,1.0,29.0,29.0,0.0,0.0,0.0
21.0,PoolNoodle,134.44,132.509,0.448,0.715,0.002,0.0,0.607,12.9,23.9,109.0,129.0,6.0,22.5,71.6,23.4,0.9,7.7,0.0,0.2,1.4,3.084,131.3,10,19.0,31.0,4.0,244.0,54.0,-0.041,-0.111,-0.152
14.0,ArronChu,131.06,131.06,0.437,0.661,0.004,0.75,0.628,16.5,24.25,10.0,11.0,3.0,25.75,69.5,28.25,2.5,11.25,1.25,0.5,3.25,2.264,144.5,4,10.0,11.0,3.0,24.0,24.0,0.0,0.0,0.0
20.0,kar72,127.61,127.028,0.425,0.645,0.002,0.0,0.612,11.2,21.0,65.0,72.0,7.0,35.3,42.1,42.4,7.1,5.8,1.6,1.7,1.7,3.462,120.0,10,24.0,25.0,3.0,144.0,52.0,-0.024,-0.01,-0.034
52.0,Thaleko,125.73,125.863,0.419,0.662,0.002,0.1,0.574,12.6,19.7,36.0,35.0,4.0,37.7,48.7,41.3,3.6,6.9,1.1,0.7,1.4,3.578,130.7,10,25.0,25.0,4.0,75.0,54.0,0.007,0.0,0.007
520.0,konomi,122.31,125.449,0.408,0.628,0.002,0.0,0.577,11.6,17.6,40.0,24.0,2.0,53.9,28.2,66.0,12.1,5.4,1.6,3.7,1.2,3.728,130.8,10,31.0,23.0,2.0,66.0,56.0,0.121,0.071,0.193
33.0,Tsui,121.88,123.594,0.406,0.599,0.002,0.1,0.604,13.2,19.8,91.0,77.0,6.0,23.4,52.7,27.4,4.0,6.3,1.1,0.8,1.4,3.226,127.5,10,32.0,22.0,1.0,174.0,55.0,0.04,0.091,0.131
50.0,Sniparook,123.47,123.47,0.412,0.615,0.003,0.0,0.602,12.333,20.667,8.0,7.0,1.0,52.333,34.667,64.667,12.333,11.667,3.0,4.667,1.333,3.132,142.0,3,8.0,7.0,1.0,16.0,16.0,0.0,0.0,0.0
268.0,civiltwlight,122.14,122.782,0.407,0.561,0.003,0.1,0.646,13.6,16.8,124.0,117.0,5.0,18.6,49.4,23.3,4.7,8.2,1.8,1.6,1.4,2.394,120.3,10,30.0,26.0,0.0,246.0,56.0,0.014,0.036,0.05
82.0,ShiinaMahiru,122.78,121.511,0.409,0.6,0.002,0.2,0.611,10.1,16.8,62.0,64.0,1.0,27.8,40.6,30.0,2.2,5.5,0.4,0.6,1.7,3.511,113.4,10,21.0,33.0,0.0,127.0,54.0,-0.008,-0.111,-0.119
31.0,SakurabaRola,120.3,121.032,0.401,0.586,0.002,0.375,0.601,9.375,16.125,21.0,19.0,1.0,39.875,27.125,50.25,10.375,7.375,1.625,4.375,0.5,3.204,114.375,8,21.0,19.0,1.0,41.0,41.0,0.024,0.024,0.049
