Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples
1.0,atsui,31.951,2.143,0.286,4.239,5.0,5.429,18.0,18.0,0.0,14.143,20.143,18.0,3.857,3.429,1.429,0.857,0.286,3.332,106.0,7
4.0,watashiii,71.331,9.333,0.0,3.474,18.5,23.833,21.0,11.0,0.0,55.333,33.333,67.167,11.833,11.0,2.333,3.5,1.667,3.046,124.333,6
7.0,Stunar,85.437,4.0,0.0,3.136,13.0,38.0,3.0,2.0,0.0,29.0,59.0,30.0,1.0,6.0,0.0,1.0,2.0,3.333,103.0,1
8.0,Hejsan,44.602,1.5,0.5,4.175,6.5,11.25,11.0,8.0,1.0,29.25,20.75,41.25,12.0,6.75,2.75,2.75,0.0,3.508,112.25,4
14.0,ArronChu,66.139,10.5,0.75,3.602,16.5,24.25,10.0,11.0,3.0,25.75,69.5,28.25,2.5,11.25,1.25,0.5,3.25,2.264,144.5,4
16.0,yahallonyanpasu,45.064,10.3,1.8,3.027,15.7,14.9,35.0,21.0,0.0,24.6,30.7,32.5,7.9,12.6,1.9,1.6,1.5,2.466,122.5,10
18.0,GyroInmobile,47.592,3.5,0.0,4.245,9.0,8.0,4.0,5.0,1.0,26.0,25.5,32.0,6.0,4.0,0.5,1.0,0.5,3.714,108.0,2
19.0,Jlin2,76.738,9.2,0.0,3.589,16.1,29.0,29.0,27.0,1.0,44.1,57.8,45.6,1.5,7.6,0.3,0.6,1.8,3.284,132.7,10
20.0,kar72,64.464,5.3,0.0,3.713,11.2,21.0,24.0,25.0,3.0,35.3,42.1,42.4,7.1,5.8,1.6,1.7,1.7,3.462,120.0,10
21.0,PoolNoodle,71.516,4.5,0.0,3.751,12.9,23.9,19.0,31.0,4.0,22.5,71.6,23.4,0.9,7.7,0.0,0.2,1.4,3.084,131.3,10
23.0,Shuuka,35.593,5.0,0.0,3.286,9.0,10.0,4.0,2.0,0.0,23.0,19.0,40.0,17.0,8.0,4.0,2.0,1.0,2.45,118.0,1
27.0,Deafness,75.122,6.6,0.2,3.663,14.0,29.8,27.0,28.0,1.0,69.4,29.5,80.6,11.2,7.5,2.6,3.7,0.8,3.391,131.9,10
28.0,FORTNAYT,77.321,8.0,0.0,3.526,19.5,27.5,8.0,4.0,0.0,43.5,53.5,44.5,1.0,11.0,0.5,0.5,2.0,3.372,125.5,2
30.0,revel,53.492,6.667,0.0,3.711,12.0,13.667,8.0,7.0,0.0,34.333,25.667,37.333,3.0,7.0,0.667,0.667,0.667,3.262,112.333,3
31.0,SakurabaRola,58.588,5.375,0.375,3.796,9.375,16.125,21.0,19.0,1.0,39.875,27.125,50.25,10.375,7.375,1.625,4.375,0.5,3.204,114.375,8
33.0,Tsui,59.86,4.6,0.1,3.775,13.2,19.8,32.0,22.0,1.0,23.4,52.7,27.4,4.0,6.3,1.1,0.8,1.4,3.226,127.5,10
34.0,YuriMeguri,71.047,4.0,0.0,3.768,11.8,30.8,17.0,11.0,1.0,44.0,52.2,49.6,5.6,7.2,2.2,1.8,1.6,3.417,135.4,5
36.0,anonimus_opinion,50.082,4.0,1.0,3.994,8.0,15.0,9.0,8.0,0.0,33.0,37.667,43.0,10.0,6.333,1.333,1.667,1.0,3.382,141.333,3
37.0,claydoll1091,44.812,5.9,0.1,3.768,10.0,8.9,28.0,25.0,1.0,20.7,28.1,24.5,3.8,9.0,1.3,0.6,1.0,2.86,108.5,10
38.0,Diukes,47.511,5.333,0.833,3.767,9.5,12.167,17.0,15.0,2.0,34.833,25.167,53.0,18.167,6.833,2.833,4.833,0.667,3.207,124.5,6
40.0,FUCK_AMQ,31.667,3.889,0.667,3.711,7.667,7.333,27.0,21.0,1.0,23.778,10.889,37.111,13.333,5.111,1.556,2.556,0.111,3.108,110.0,9
45.0,Noru,54.102,4.333,0.5,4.0,8.667,9.5,18.0,12.0,0.0,32.167,26.0,39.5,7.333,6.5,1.167,2.333,0.333,3.425,107.167,6
46.0,Orfey,36.339,3.9,0.5,3.523,8.0,10.0,29.0,27.0,0.0,26.3,16.8,37.7,11.4,7.6,2.5,3.3,0.3,2.88,118.4,10
47.0,Renzou,52.735,5.9,0.1,3.74,11.2,11.7,34.0,20.0,0.0,34.6,26.8,39.3,4.7,8.3,1.4,1.3,0.3,3.151,116.5,10
49.0,accelerator11,38.017,3.0,3.0,4.304,10.0,6.0,4.0,1.0,0.0,27.0,19.0,56.0,29.0,8.0,4.0,9.0,0.0,3.179,121.0,1
50.0,Sniparook,61.457,8.0,0.0,3.788,12.333,20.667,8.0,7.0,1.0,52.333,34.667,64.667,12.333,11.667,3.0,4.667,1.333,3.132,142.0,3
51.0,Chata,53.599,5.3,0.4,4.07,10.4,11.7,26.0,24.0,2.0,33.2,35.2,37.7,4.5,5.6,1.0,1.0,1.5,3.734,127.7,10
52.0,Thaleko,66.197,5.7,0.1,3.979,12.6,19.7,25.0,25.0,4.0,37.7,48.7,41.3,3.6,6.9,1.1,0.7,1.4,3.578,130.7,10
