Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
1.0,atsui,84.67,0.282,0.313,0.001,0.25,0.53,5.0,5.0,21.0,21.0,0.0,13.375,20.5,17.625,4.25,3.375,1.375,1.0,0.5,3.241,107.125,8,21.0,21.0,0.0,84.67
4.0,watashiii,136.39,0.455,0.699,0.004,0.0,0.642,17.0,22.889,30.0,17.0,0.0,51.0,33.556,63.0,12.0,10.333,1.778,3.778,1.556,3.076,120.778,9,30.0,17.0,0.0,136.39
8.0,Hejsan,100.15,0.334,0.437,0.001,0.333,0.556,8.0,8.333,11.0,8.0,1.0,29.0,20.333,41.667,12.667,7.333,3.333,2.333,0.0,3.377,113.0,3,8.0,6.0,1.0,100.15
16.0,yahallonyanpasu,116.99,0.39,0.451,0.004,1.8,0.71,15.7,14.9,109.0,92.0,2.0,24.6,30.7,32.5,7.9,12.6,1.9,1.6,1.5,2.466,122.5,10,35.0,21.0,0.0,116.99
18.0,GyroInmobile,102.43,0.341,0.476,0.002,0.0,0.536,9.0,8.0,4.0,5.0,1.0,26.0,25.5,32.0,6.0,4.0,0.5,1.0,0.5,3.714,108.0,2,4.0,5.0,1.0,102.43
19.0,Jlin2,149.3,0.498,0.812,0.003,0.0,0.654,14.7,31.0,79.0,100.0,3.0,37.0,52.7,38.6,1.6,6.0,0.7,0.4,2.1,3.25,110.6,10,18.0,33.0,1.0,149.3
20.0,kar72,125.92,0.42,0.647,0.002,0.0,0.593,11.5,17.8,74.0,78.0,7.0,35.2,44.9,41.9,6.7,5.0,1.5,1.2,1.7,3.611,123.8,10,26.0,23.0,3.0,125.92
21.0,PoolNoodle,134.53,0.448,0.707,0.002,0.0,0.616,12.9,23.6,114.0,140.0,7.0,22.4,67.9,23.4,1.0,8.2,0.0,0.4,2.0,3.018,127.4,10,17.0,33.0,5.0,134.53
27.0,Deafness,139.24,0.464,0.75,0.003,0.3,0.617,16.1,25.5,59.0,73.0,2.0,71.2,25.7,82.8,11.6,8.2,2.6,3.5,0.6,3.449,129.4,10,20.0,34.0,1.0,139.24
28.0,FORTNAYT,143.81,0.479,0.773,0.003,0.0,0.639,19.5,27.5,8.0,4.0,0.0,43.5,53.5,44.5,1.0,11.0,0.5,0.5,2.0,3.372,125.5,2,8.0,4.0,0.0,143.81
