Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
16,yahallonyanpasu,111.93,0.373,0.424,0.003,0.0,0.689,10.0,12.0,3,2,0,14.0,25.0,21.0,7.0,5.0,1.0,2.0,2.0,2.381,92.0,1,3,2,0,111.93
20,kar72,132.87,0.443,0.733,0.001,0.0,0.572,11.0,23.667,19,18,1,39.0,61.0,42.333,3.333,7.0,0.667,1.333,1.167,3.851,136.5,6,18,14,1,132.87
26,asleep,124.03,0.413,0.623,0.001,0.0,0.6,16.0,12.0,3,3,0,31.0,50.0,32.0,1.0,2.0,0.0,0.0,2.0,3.688,130.0,1,3,3,0,124.03
27,Deafness,143.2,0.477,0.813,0.001,0.0,0.592,15.0,33.0,2,4,0,87.0,39.0,89.0,2.0,8.0,0.0,0.0,0.0,3.764,155.0,1,2,4,0,143.2
31,SakurabaRola,113.4,0.378,0.56,0.001,0.0,0.559,10.0,9.5,6,5,0,42.0,30.5,55.5,13.5,8.0,4.0,1.5,0.5,3.33,129.5,2,6,5,0,113.4
33,Tsui,122.24,0.407,0.614,0.001,0.0,0.592,6.0,24.0,1,4,0,14.0,56.0,20.0,6.0,4.0,2.0,1.0,1.0,3.05,114.0,1,1,4,0,122.24
37,claydoll1091,112.32,0.374,0.513,0.002,0.0,0.598,9.111,13.0,26,22,1,19.889,42.222,22.556,2.667,6.889,0.444,0.889,2.0,3.169,121.111,9,26,22,1,112.32
38,Diukes,128.21,0.427,0.658,0.002,0.5,0.605,10.6,17.9,69,60,5,38.2,35.0,46.9,8.7,6.3,1.3,1.7,1.3,3.52,111.4,10,26,21,1,128.21
40,FUCK_AMQ,88.55,0.295,0.258,0.001,0.0,0.63,6.0,6.0,5,1,0,23.0,11.0,46.0,23.0,4.0,0.0,5.0,0.0,2.913,132.0,1,5,1,0,88.55
41,koroshiya,132.73,0.442,0.67,0.003,0.167,0.637,13.667,20.667,18,18,0,28.0,48.833,32.833,4.833,5.0,1.333,1.833,6.167,2.949,115.167,6,15,16,0,132.73
45,LeNainDuPSG,105.53,0.352,0.509,0.001,0.0,0.534,9.0,9.0,6,4,0,30.0,27.5,39.5,9.5,5.0,0.5,3.0,0.0,3.49,113.0,2,6,4,0,105.53
46,Orfey,96.1,0.32,0.392,0.001,0.9,0.563,6.7,7.3,36,23,2,26.8,22.3,33.9,7.1,6.6,0.7,0.8,0.4,3.64,124.7,10,33,21,2,96.1
51,Chata,112.0,0.373,0.537,0.001,1.0,0.569,7.0,6.0,3,2,0,23.0,35.0,25.0,2.0,3.0,0.0,0.0,2.0,3.68,108.0,1,3,2,0,112.0
52,Thaleko,131.16,0.437,0.7,0.002,0.0,0.59,11.0,14.5,5,5,0,26.5,43.0,27.0,0.5,6.5,0.0,0.5,0.5,3.258,100.0,2,5,5,0,131.16
58,Lika,114.47,0.382,0.482,0.003,0.0,0.652,16.0,12.0,4,2,0,24.0,29.0,26.0,2.0,6.0,0.0,1.0,2.0,2.577,110.0,1,4,2,0,114.47
59,neoburnz,116.14,0.387,0.657,0.0,0.0,0.483,6.0,10.0,4,4,1,43.0,28.5,45.0,2.0,2.5,0.0,0.5,0.0,4.614,107.5,2,4,4,1,116.14
65,Baguett,112.56,0.375,0.512,0.001,0.0,0.602,7.0,7.0,3,2,0,18.0,24.0,19.0,1.0,4.0,0.0,1.0,0.0,3.579,82.0,1,3,2,0,112.56
66,bamboo,103.22,0.344,0.455,0.001,0.167,0.568,6.167,8.667,7,25,0,21.833,25.0,21.833,0.0,5.167,0.0,0.0,0.167,3.501,103.0,6,7,20,0,103.22
67,DKing20,95.45,0.318,0.363,0.0,0.0,0.588,8.0,5.0,3,3,0,30.0,23.0,31.0,1.0,7.0,0.0,0.0,0.0,3.484,146.0,1,3,3,0,95.45
76,comfv,90.23,0.301,0.336,0.001,0.0,0.563,6.5,5.5,5,6,0,18.5,21.5,21.0,2.5,3.0,0.5,1.0,0.0,3.223,118.5,2,5,6,0,90.23
77,neptune,113.56,0.379,0.56,0.0,0.0,0.562,2.0,13.0,0,5,0,34.0,27.0,39.0,5.0,1.0,1.0,3.0,0.0,3.821,109.0,1,0,5,0,113.56
79,JuliAless64,106.44,0.355,0.478,0.0,0.0,0.577,2.0,11.0,1,5,0,37.0,17.0,41.0,4.0,1.0,0.0,2.0,0.0,3.78,113.0,1,1,5,0,106.44
81,Pile,97.88,0.326,0.4,0.001,1.0,0.572,9.0,10.5,7,5,0,40.5,12.5,56.0,15.5,4.5,1.0,3.0,0.5,3.312,129.0,2,7,5,0,97.88
82,ShiinaMahiru,110.5,0.368,0.55,0.001,0.0,0.541,6.167,10.833,16,14,3,28.5,46.667,29.5,1.0,4.5,0.5,0.167,0.167,3.839,136.167,6,16,14,3,110.5
83,Milar,109.78,0.366,0.474,0.001,0.0,0.615,9.0,9.0,5,6,1,25.5,27.5,30.0,4.5,4.0,1.0,1.0,0.0,2.902,112.0,2,5,6,1,109.78
85,Animerod,89.56,0.299,0.384,0.0,2.0,0.505,3.0,11.0,6,4,1,34.0,24.0,39.0,5.0,4.0,0.0,2.0,0.0,3.897,151.0,1,3,2,1,89.56
87,Beokros,106.77,0.356,0.503,0.001,0.143,0.553,8.714,12.0,17,22,2,39.857,22.0,46.286,6.429,6.714,0.429,2.571,0.286,3.562,123.571,7,17,22,2,106.77
88,Emdiel,101.86,0.34,0.447,0.002,0.0,0.562,9.0,5.0,4,2,0,37.0,22.0,48.0,11.0,8.0,3.0,4.0,0.0,3.25,132.0,1,4,2,0,101.86
90,Keizan,92.67,0.309,0.265,0.001,0.0,0.664,5.5,8.5,8,4,0,19.5,13.5,23.0,3.5,10.0,0.0,0.0,0.0,2.912,124.0,2,8,4,0,92.67
97,chaabdu92,95.71,0.319,0.402,0.001,0.2,0.548,5.2,5.4,16,11,0,24.4,15.0,26.6,2.2,5.0,0.4,0.8,0.2,3.706,101.0,5,14,9,0,95.71
98,Comete,97.54,0.325,0.416,0.0,0.333,0.552,8.333,6.333,6,11,0,24.333,27.333,30.333,6.0,5.667,0.333,1.0,0.0,3.59,121.0,3,6,11,0,97.54
100,IrinaShidou,89.21,0.297,0.416,0.0,0.0,0.467,2.0,1.0,4,1,0,38.0,14.0,60.0,22.0,7.0,2.0,3.0,0.0,3.817,125.0,1,4,1,0,89.21
104,joey,93.25,0.311,0.28,0.002,0.0,0.652,5.0,4.0,3,2,0,15.0,8.0,20.0,5.0,7.0,0.0,3.0,0.0,2.55,82.0,1,3,2,0,93.25
106,cafezinho,103.45,0.345,0.445,0.001,0.0,0.581,8.0,12.0,15,9,0,37.0,15.0,46.25,9.25,6.75,1.5,2.25,0.25,3.271,116.0,4,15,9,0,103.45
112,Legitted,103.32,0.344,0.547,0.0,0.0,0.47,8.0,0.0,4,1,0,22.0,36.0,22.0,0.0,5.0,0.0,0.0,0.0,4.318,106.0,1,4,1,0,103.32
113,Maki,105.25,0.351,0.508,0.0,1.0,0.532,9.0,20.0,2,3,1,65.0,25.0,74.0,9.0,8.0,2.0,0.0,1.0,4.027,177.0,1,2,3,1,105.25
114,Mayottatoki,83.37,0.278,0.38,0.0,0.0,0.446,3.0,3.0,3,2,1,26.0,23.0,43.0,17.0,4.0,5.0,2.0,0.0,3.86,129.0,1,3,2,1,83.37
115,Saiki,90.33,0.301,0.295,0.001,0.667,0.607,7.444,6.333,32,25,0,19.111,16.111,19.667,0.556,6.889,0.111,0.111,0.444,3.226,120.444,9,29,23,0,90.33
119,Fumiii,99.12,0.33,0.437,0.0,0.0,0.545,6.0,17.0,3,2,1,46.0,20.0,46.0,0.0,4.0,0.0,0.0,0.0,3.674,151.0,1,3,2,1,99.12
121,Janoxx,92.51,0.308,0.307,0.001,0.5,0.618,7.5,5.5,46,39,1,16.3,14.8,16.4,0.1,5.7,0.0,0.0,0.2,2.819,102.2,10,26,27,0,92.51
123,Konsumenci,78.26,0.261,0.227,0.001,1.0,0.557,3.0,3.0,7,4,0,13.0,7.0,16.0,3.0,4.0,1.0,1.0,0.0,3.062,88.0,1,3,3,0,78.26
128,apurplenose,110.28,0.368,0.582,0.001,0.0,0.504,9.5,10.0,6,5,1,35.5,46.0,37.5,2.0,4.0,0.0,0.5,1.0,4.23,139.0,2,6,5,1,110.28
129,peeku,114.5,0.382,0.546,0.001,0.0,0.585,9.0,5.0,3,2,0,29.0,24.0,33.0,4.0,7.0,2.0,2.0,0.0,3.333,97.0,1,3,2,0,114.5
133,ChrisLefko,72.5,0.242,0.215,0.0,0.0,0.512,3.0,4.0,2,4,0,23.0,6.0,36.0,13.0,12.0,0.0,3.0,0.0,3.667,135.0,1,2,4,0,72.5
134,Jakemonkey,93.75,0.313,0.47,0.0,1.0,0.455,8.0,6.0,6,5,0,38.0,32.0,40.0,2.0,8.0,0.0,1.0,0.0,4.4,149.0,1,3,3,0,93.75
140,denero,79.15,0.264,0.246,0.0,0.0,0.547,4.0,3.0,1,5,0,20.0,9.0,26.0,6.0,4.0,0.0,3.0,0.0,3.577,118.0,1,1,5,0,79.15
144,liljakatsuragi,86.72,0.289,0.331,0.0,0.25,0.532,3.0,3.5,4,10,0,18.5,9.0,23.75,5.25,3.5,0.75,1.5,0.0,3.606,81.75,4,4,10,0,86.72
146,tapumomo,98.38,0.328,0.441,0.001,0.5,0.533,10.0,5.5,6,5,0,30.0,23.5,31.5,1.5,5.0,0.5,0.0,0.5,3.732,122.0,2,6,5,0,98.38
148,uy5gf,96.53,0.322,0.255,0.001,0.0,0.714,5.0,2.0,1,2,0,10.0,2.0,17.0,7.0,2.0,0.0,1.0,0.0,2.588,47.0,1,1,2,0,96.53
