Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples
1,atsui,50.914,3.5,0.5,4.94,6.5,9.0,6,5,0,30.0,43.5,36.0,6.0,7.0,3.0,0.5,0.5,3.993,145.0,2
8,Hejsan,47.638,2.5,1.0,4.261,8.0,8.0,6,4,0,38.0,22.0,52.0,14.0,5.5,3.0,3.0,0.0,3.585,126.5,2
21,PoolNoodle,84.696,6.5,0.0,3.626,14.0,25.5,4,6,0,24.5,55.5,25.0,0.5,6.5,0.0,0.0,2.5,3.212,94.5,2
27,Deafness,76.331,8.0,1.0,4.519,14.0,21.0,5,1,0,103.0,26.0,121.0,18.0,5.0,2.0,4.0,1.0,4.05,169.0,1
32,beanman87,90.066,13.0,0.0,3.956,24.0,34.0,4,2,0,39.0,97.0,39.0,0.0,11.0,0.0,0.0,3.0,3.385,151.0,1
33,Tsui,56.479,4.333,0.333,4.349,9.167,14.333,17,16,0,28.333,50.0,34.167,5.833,5.667,2.0,1.833,1.0,3.662,138.167,6
50,Sniparook,60.299,4.5,1.0,4.148,11.5,11.0,9,1,1,57.5,21.0,74.5,17.0,6.5,2.5,2.5,0.0,3.748,131.0,2
51,Chata,54.955,9.0,0.0,4.311,13.0,4.0,5,0,0,35.0,26.0,40.0,5.0,10.0,1.0,1.0,3.0,4.075,111.0,1
58,Lika,51.613,15.0,0.0,3.925,17.0,13.0,3,3,0,37.0,43.0,41.0,4.0,14.0,3.0,1.0,2.0,2.585,155.0,1
59,neoburnz,64.901,6.0,0.0,4.234,11.6,19.5,26,26,2,47.8,44.4,53.3,5.5,5.7,1.5,1.8,1.2,3.928,141.4,10
66,bamboo,47.286,6.6,0.8,4.056,11.4,9.8,20,7,0,30.6,25.6,32.4,1.8,7.2,0.6,0.2,0.2,3.492,118.6,5
67,DKing20,43.678,2.0,1.0,4.553,4.0,4.0,4,1,0,22.0,16.0,23.0,1.0,5.0,0.0,0.0,0.0,4.696,87.0,1
72,ruuka,49.72,2.0,1.0,4.599,7.0,11.0,7,13,2,45.75,25.5,73.5,27.75,5.25,4.0,4.5,0.25,3.803,142.0,4
77,neptune,62.278,3.6,0.0,4.449,7.8,13.4,15,11,0,53.0,34.2,57.0,4.0,5.0,1.6,1.0,0.6,4.002,138.8,5
79,JuliAless64,56.105,6.0,0.0,4.053,13.5,10.0,7,3,0,56.0,19.0,65.5,9.5,6.5,0.5,1.5,0.5,3.71,132.0,2
81,Pile,40.928,4.0,1.0,4.72,7.333,6.0,9,7,0,40.667,14.667,64.333,23.667,8.333,5.0,5.333,0.0,3.596,135.667,3
82,ShiinaMahiru,61.933,4.2,0.2,4.115,11.2,13.6,17,9,1,25.4,46.6,28.0,2.6,3.4,0.6,0.8,1.4,3.739,115.8,5
83,Milar,49.524,3.0,0.0,3.846,13.0,9.0,4,1,0,16.0,36.0,18.0,2.0,4.0,2.0,0.0,2.0,3.278,105.0,1
88,Emdiel,53.838,4.5,0.0,4.456,8.0,12.5,5,6,0,48.5,22.5,60.0,11.5,8.0,2.5,3.5,0.0,3.922,132.0,2
91,Baikinman,42.18,2.5,0.0,4.54,6.5,4.5,4,5,1,35.5,13.5,63.0,27.5,7.0,6.5,6.5,0.0,3.307,116.5,2
97,chaabdu92,33.583,2.667,3.0,4.885,5.0,4.667,5,11,1,31.0,18.333,40.333,9.333,6.0,3.0,1.0,0.333,4.146,146.667,3
98,Comete,38.71,1.0,2.0,4.396,5.0,5.0,1,4,0,34.0,14.0,55.0,21.0,5.0,3.0,7.0,0.0,3.436,124.0,1
100,IrinaShidou,57.811,2.6,0.2,4.482,6.2,13.0,15,11,0,53.8,19.2,74.8,21.0,7.0,3.6,5.0,0.0,3.697,126.6,5
106,cafezinho,43.0,2.0,1.0,4.442,9.0,5.0,4,1,0,25.0,18.0,38.0,13.0,4.0,2.0,1.0,2.0,3.579,100.0,1
119,Fumiii,60.314,5.4,0.3,4.501,10.9,14.0,23,32,3,67.2,24.8,74.1,6.9,4.0,1.9,1.6,0.7,4.232,151.9,10
121,Janoxx,27.748,7.9,1.8,3.654,10.3,5.7,27,29,0,16.2,16.4,18.4,2.2,11.3,1.1,0.6,0.3,1.982,118.1,10
123,Konsumenci,37.16,4.25,0.5,4.865,7.75,3.75,10,12,0,21.75,26.0,27.0,5.25,7.25,1.75,0.75,0.5,3.742,129.0,4
133,ChrisLefko,26.54,1.0,3.0,5.098,2.0,2.0,6,4,0,22.0,11.5,48.0,26.0,7.0,4.0,2.0,0.0,3.651,127.0,2
134,Jakemonkey,43.284,3.0,0.0,4.414,11.0,3.0,3,2,0,29.0,29.0,33.0,4.0,2.0,1.0,0.0,0.0,3.97,134.0,1
143,mahzrunner,50.76,3.25,0.5,4.452,8.875,8.625,23,18,1,38.25,29.0,45.375,7.125,5.125,1.625,1.125,0.625,3.831,131.625,8
144,liljakatsuragi,50.491,2.667,0.333,4.943,6.333,10.0,6,9,2,47.667,33.667,59.333,11.667,5.333,1.667,1.0,0.0,4.544,160.333,3
148,uy5gf,25.714,0.0,1.0,5.25,5.0,2.0,4,1,0,20.0,16.0,60.0,40.0,10.0,9.0,6.0,0.0,2.767,140.0,1
149,Zozo,55.278,3.667,0.667,4.33,8.333,12.444,25,20,2,38.667,30.444,45.0,6.333,5.0,1.333,1.667,0.778,3.936,124.0,9
150,Bommie,55.961,2.2,0.1,4.72,6.9,9.7,18,34,4,60.8,20.8,66.8,6.0,3.3,1.0,1.7,0.2,4.415,144.8,10
155,Unborned,25.899,1.0,0.0,5.056,3.0,3.0,4,1,0,25.0,11.0,31.0,6.0,0.0,1.0,1.0,1.0,4.323,139.0,1
156,Zental,60.0,3.0,0.0,4.179,6.0,24.0,2,3,0,44.0,40.0,53.0,9.0,4.0,3.0,3.0,1.0,3.17,140.0,1
159,legrandort,36.937,1.5,0.5,5.06,4.75,3.5,11,11,0,32.0,17.25,35.0,3.0,3.5,1.0,0.25,0.0,4.732,131.25,4
160,Skychael,37.258,6.5,2.5,4.339,10.0,8.5,7,4,0,27.5,23.0,36.0,8.5,8.0,3.5,1.0,0.0,2.934,134.5,2
164,IAmAsianNoob,33.692,1.0,1.286,5.562,3.143,1.286,14,23,2,27.571,20.857,33.286,5.714,0.857,0.714,0.571,0.0,4.883,143.571,7
170,hubcioskubcio,21.156,0.5,3.5,6.166,1.0,0.5,5,6,0,20.5,7.5,26.0,5.5,2.5,0.0,0.5,0.0,5.71,132.0,2
171,JustAWeirdo,31.008,2.0,1.3,5.096,4.2,3.4,25,27,3,21.9,19.9,26.7,4.8,5.5,0.9,1.0,0.4,4.345,134.7,10
