Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
1,atsui,96.24,0.321,0.509,0.002,0.5,0.437,6.5,9.0,6,5,0,30.0,43.5,36.0,6.0,7.0,3.0,0.5,0.5,3.993,145.0,2,6,5,0,96.24
8,Hejsan,102.23,0.341,0.476,0.001,1.0,0.534,8.0,8.0,6,4,0,38.0,22.0,52.0,14.0,5.5,3.0,3.0,0.0,3.585,126.5,2,6,4,0,102.23
21,PoolNoodle,150.3,0.501,0.847,0.005,0.0,0.625,14.0,25.5,4,6,0,24.5,55.5,25.0,0.5,6.5,0.0,0.0,2.5,3.212,94.5,2,4,6,0,150.3
27,Deafness,128.94,0.43,0.763,0.003,1.0,0.497,14.0,21.0,5,1,0,103.0,26.0,121.0,18.0,5.0,2.0,4.0,1.0,4.05,169.0,1,5,1,0,128.94
32,beanman87,151.46,0.505,0.901,0.006,0.0,0.578,24.0,34.0,4,2,0,39.0,97.0,39.0,0.0,11.0,0.0,0.0,3.0,3.385,151.0,1,4,2,0,151.46
33,Tsui,110.36,0.368,0.565,0.002,0.333,0.522,9.167,14.333,24,19,1,28.333,50.0,34.167,5.833,5.667,2.0,1.833,1.0,3.662,138.167,6,17,16,0,110.36
50,Sniparook,117.19,0.391,0.603,0.002,1.0,0.55,11.5,11.0,9,1,1,57.5,21.0,74.5,17.0,6.5,2.5,2.5,0.0,3.748,131.0,2,9,1,1,117.19
51,Chata,109.61,0.365,0.55,0.005,0.0,0.527,13.0,4.0,5,0,0,35.0,26.0,40.0,5.0,10.0,1.0,1.0,3.0,4.075,111.0,1,5,0,0,109.61
58,Lika,111.58,0.372,0.516,0.006,0.0,0.582,17.0,13.0,3,3,0,37.0,43.0,41.0,4.0,14.0,3.0,1.0,2.0,2.585,155.0,1,3,3,0,111.58
59,neoburnz,120.88,0.403,0.649,0.003,0.0,0.538,11.6,19.5,55,51,2,47.8,44.4,53.3,5.5,5.7,1.5,1.8,1.2,3.928,141.4,10,26,26,2,120.88
66,bamboo,104.95,0.35,0.473,0.004,0.8,0.563,11.4,9.8,27,15,0,30.6,25.6,32.4,1.8,7.2,0.6,0.2,0.2,3.492,118.6,5,20,7,0,104.95
67,DKing20,94.02,0.313,0.437,0.002,1.0,0.492,4.0,4.0,7,3,0,22.0,16.0,23.0,1.0,5.0,0.0,0.0,0.0,4.696,87.0,1,4,1,0,94.02
72,ruuka,99.67,0.332,0.497,0.001,1.0,0.486,7.0,11.0,7,13,2,45.75,25.5,73.5,27.75,5.25,4.0,4.5,0.25,3.803,142.0,4,7,13,2,99.67
77,neptune,115.02,0.383,0.623,0.002,0.0,0.507,7.8,13.4,15,11,0,53.0,34.2,57.0,4.0,5.0,1.6,1.0,0.6,4.002,138.8,5,15,11,0,115.02
79,JuliAless64,114.18,0.381,0.561,0.003,0.0,0.564,13.5,10.0,12,3,0,56.0,19.0,65.5,9.5,6.5,0.5,1.5,0.5,3.71,132.0,2,7,3,0,114.18
81,Pile,88.85,0.296,0.409,0.002,1.0,0.469,7.333,6.0,11,9,1,40.667,14.667,64.333,23.667,8.333,5.0,5.333,0.0,3.596,135.667,3,9,7,0,88.85
82,ShiinaMahiru,119.38,0.398,0.619,0.002,0.2,0.555,11.2,13.6,18,13,1,25.4,46.6,28.0,2.6,3.4,0.6,0.8,1.4,3.739,115.8,5,17,9,1,119.38
83,Milar,110.05,0.367,0.495,0.002,0.0,0.593,13.0,9.0,4,1,0,16.0,36.0,18.0,2.0,4.0,2.0,0.0,2.0,3.278,105.0,1,4,1,0,110.05
88,Emdiel,106.11,0.354,0.538,0.002,0.0,0.506,8.0,12.5,5,6,0,48.5,22.5,60.0,11.5,8.0,2.5,3.5,0.0,3.922,132.0,2,5,6,0,106.11
91,Baikinman,92.62,0.309,0.422,0.001,0.0,0.494,6.5,4.5,4,5,1,35.5,13.5,63.0,27.5,7.0,6.5,6.5,0.0,3.307,116.5,2,4,5,1,92.62
97,chaabdu92,78.77,0.263,0.336,0.001,3.0,0.445,5.0,4.667,5,11,1,31.0,18.333,40.333,9.333,6.0,3.0,1.0,0.333,4.146,146.667,3,5,11,1,78.77
98,Comete,90.9,0.303,0.387,0.001,2.0,0.515,5.0,5.0,1,4,0,34.0,14.0,55.0,21.0,5.0,3.0,7.0,0.0,3.436,124.0,1,1,4,0,90.9
100,IrinaShidou,109.84,0.366,0.578,0.001,0.2,0.503,6.2,13.0,15,11,0,53.8,19.2,74.8,21.0,7.0,3.6,5.0,0.0,3.697,126.6,5,15,11,0,109.84
106,cafezinho,94.84,0.316,0.43,0.001,1.0,0.508,9.0,5.0,4,1,0,25.0,18.0,38.0,13.0,4.0,2.0,1.0,2.0,3.579,100.0,1,4,1,0,94.84
119,Fumiii,112.3,0.374,0.603,0.002,0.3,0.5,10.9,14.0,56,69,3,67.2,24.8,74.1,6.9,4.0,1.9,1.6,0.7,4.232,151.9,10,23,32,3,112.3
121,Janoxx,90.1,0.3,0.277,0.004,1.8,0.621,10.3,5.7,49,49,0,16.2,16.4,18.4,2.2,11.3,1.1,0.6,0.3,1.982,118.1,10,27,29,0,90.1
123,Konsumenci,82.9,0.276,0.372,0.002,0.5,0.448,7.75,3.75,13,24,0,21.75,26.0,27.0,5.25,7.25,1.75,0.75,0.5,3.742,129.0,4,10,12,0,82.9
133,ChrisLefko,68.34,0.228,0.265,0.001,3.0,0.415,2.0,2.0,6,4,0,22.0,11.5,48.0,26.0,7.0,4.0,2.0,0.0,3.651,127.0,2,6,4,0,68.34
134,Jakemonkey,95.54,0.318,0.433,0.001,0.0,0.512,11.0,3.0,3,2,0,29.0,29.0,33.0,4.0,2.0,1.0,0.0,0.0,3.97,134.0,1,3,2,0,95.54
143,mahzrunner,102.88,0.343,0.508,0.002,0.5,0.507,8.875,8.625,26,20,1,38.25,29.0,45.375,7.125,5.125,1.625,1.125,0.625,3.831,131.625,8,23,18,1,102.88
144,liljakatsuragi,95.7,0.319,0.505,0.001,0.333,0.437,6.333,10.0,13,18,2,47.667,33.667,59.333,11.667,5.333,1.667,1.0,0.0,4.544,160.333,3,6,9,2,95.7
148,uy5gf,65.3,0.218,0.257,0.0,1.0,0.393,5.0,2.0,4,1,0,20.0,16.0,60.0,40.0,10.0,9.0,6.0,0.0,2.767,140.0,1,4,1,0,65.3
149,Zozo,109.35,0.365,0.553,0.002,0.667,0.524,8.333,12.444,29,27,2,38.667,30.444,45.0,6.333,5.0,1.333,1.667,0.778,3.936,124.0,9,25,20,2,109.35
150,Bommie,104.54,0.348,0.56,0.001,0.1,0.469,6.9,9.7,55,69,6,60.8,20.8,66.8,6.0,3.3,1.0,1.7,0.2,4.415,144.8,10,18,34,4,104.54
155,Unborned,68.25,0.227,0.259,0.0,0.0,0.421,3.0,3.0,6,3,1,25.0,11.0,31.0,6.0,0.0,1.0,1.0,1.0,4.323,139.0,1,4,1,0,68.25
156,Zental,116.36,0.388,0.6,0.001,0.0,0.546,6.0,24.0,4,6,0,44.0,40.0,53.0,9.0,4.0,3.0,3.0,1.0,3.17,140.0,1,2,3,0,116.36
159,legrandort,79.81,0.266,0.369,0.001,0.5,0.42,4.75,3.5,12,15,0,32.0,17.25,35.0,3.0,3.5,1.0,0.25,0.0,4.732,131.25,4,11,11,0,79.81
160,Skychael,90.43,0.301,0.373,0.003,2.5,0.523,10.0,8.5,11,5,0,27.5,23.0,36.0,8.5,8.0,3.5,1.0,0.0,2.934,134.5,2,7,4,0,90.43
164,IAmAsianNoob,69.38,0.231,0.337,0.0,1.286,0.348,3.143,1.286,15,27,2,27.571,20.857,33.286,5.714,0.857,0.714,0.571,0.0,4.883,143.571,7,14,23,2,69.38
170,hubcioskubcio,47.78,0.159,0.212,0.0,3.5,0.262,1.0,0.5,5,6,0,20.5,7.5,26.0,5.5,2.5,0.0,0.5,0.0,5.71,132.0,2,5,6,0,47.78
171,JustAWeirdo,73.1,0.244,0.31,0.001,1.3,0.415,4.2,3.4,64,58,3,21.9,19.9,26.7,4.8,5.5,0.9,1.0,0.4,4.345,134.7,10,25,27,3,73.1
172,oolli,80.54,0.268,0.351,0.001,1.3,0.447,4.7,3.1,26,26,2,40.5,6.2,56.9,16.4,4.1,1.7,2.9,0.0,4.226,134.4,10,26,26,2,80.54
174,TateyamaAyano,75.03,0.25,0.27,0.002,1.0,0.478,4.333,3.333,4,13,0,25.0,10.667,41.0,16.0,7.667,3.333,4.0,0.0,3.464,133.333,3,4,13,0,75.03
176,Spitzell,92.53,0.308,0.478,0.001,1.0,0.433,5.667,6.667,24,13,0,44.0,24.667,50.0,6.0,4.667,1.0,1.0,0.333,4.617,143.667,3,11,6,0,92.53
191,redeyes,103.75,0.346,0.476,0.002,0.0,0.549,11.5,13.0,8,3,0,47.5,10.5,60.0,12.5,6.0,4.0,2.0,1.0,3.627,121.5,2,8,3,0,103.75
205,TBDhater,91.16,0.304,0.443,0.002,0.333,0.457,7.5,6.5,13,19,0,44.5,10.333,57.5,13.0,5.0,1.667,3.667,0.0,4.116,124.167,6,13,19,0,91.16
217,ShelterRin,101.8,0.339,0.519,0.001,0.667,0.484,9.333,5.333,11,10,1,30.0,33.667,34.667,4.667,2.667,0.333,1.333,0.333,3.82,124.333,3,8,8,1,101.8
220,Bofu,119.92,0.4,0.636,0.003,0.5,0.543,10.5,17.5,7,4,0,45.0,42.5,48.0,3.0,4.5,0.5,0.5,2.5,3.964,138.5,2,7,4,0,119.92
225,MythAndroid,60.17,0.201,0.199,0.0,1.5,0.403,3.0,1.0,5,5,0,20.5,1.0,45.5,25.0,5.5,3.0,1.5,0.0,3.979,106.5,2,5,5,0,60.17
236,Serozero,85.87,0.286,0.324,0.002,0.0,0.53,5.0,6.0,3,2,0,28.0,17.0,36.0,8.0,3.0,0.0,2.0,1.0,3.75,139.0,1,3,2,0,85.87
238,Progenitor,97.1,0.324,0.455,0.002,0.0,0.504,9.667,5.333,12,8,1,32.667,19.0,37.667,5.0,6.0,1.0,0.333,0.333,4.01,112.0,3,9,6,1,97.1
239,yonyon,50.47,0.168,0.16,0.0,6.0,0.345,3.0,2.0,3,2,0,20.0,4.0,36.0,16.0,2.0,1.0,0.0,0.0,4.917,150.0,1,3,2,0,50.47
244,KNotAnyMore,96.8,0.323,0.475,0.001,1.0,0.48,7.667,6.667,8,14,0,41.0,18.333,50.0,9.0,2.333,1.0,2.333,1.0,4.262,125.667,3,8,9,0,96.8
247,Shadow,87.78,0.293,0.415,0.001,0.9,0.452,4.7,6.5,84,93,4,37.9,19.9,50.0,12.1,5.0,2.0,3.6,0.3,3.92,137.2,10,31,22,3,87.78
259,Patoche49,80.48,0.268,0.386,0.0,0.556,0.41,4.0,3.778,32,27,0,32.333,18.333,35.778,3.444,2.556,0.556,0.556,0.111,4.746,129.778,9,27,22,0,80.48
268,civiltwlight,102.18,0.341,0.455,0.003,0.167,0.555,10.333,6.0,19,13,0,20.0,32.5,27.833,7.833,8.667,3.5,1.5,0.833,2.577,116.667,6,19,13,0,102.18
277,chemist,88.22,0.294,0.393,0.001,0.5,0.481,7.0,6.0,6,9,0,19.5,35.5,23.0,3.5,3.0,1.0,1.0,0.0,3.86,140.0,2,5,5,0,88.22
285,miiarad,93.32,0.311,0.467,0.001,0.0,0.453,4.0,8.667,10,11,0,30.667,29.667,33.667,3.0,4.667,1.0,1.0,0.333,4.335,129.667,3,7,9,0,93.32
286,Lakumix,107.41,0.358,0.476,0.003,0.0,0.586,5.0,8.0,5,5,0,17.0,22.0,17.0,0.0,4.0,0.0,0.0,0.0,2.706,82.0,1,1,4,0,107.41
289,Provenance,87.71,0.292,0.369,0.001,0.0,0.501,3.5,7.0,6,8,1,21.5,21.5,24.0,2.5,3.0,0.5,1.0,0.0,3.846,115.5,2,3,7,0,87.71
291,ss_r_white_pony,104.39,0.348,0.494,0.003,0.333,0.536,7.667,7.333,17,8,0,28.333,19.667,30.0,1.667,6.0,0.667,0.667,0.333,3.53,97.667,3,8,7,0,104.39
292,FeyFey,71.82,0.239,0.308,0.001,0.0,0.405,1.0,7.0,0,5,0,26.0,10.0,51.0,25.0,6.0,3.0,3.0,0.0,3.961,117.0,1,0,5,0,71.82
316,HakuiKoyori,79.88,0.266,0.342,0.001,6.0,0.45,5.0,3.0,2,4,0,37.0,16.0,60.0,23.0,7.0,3.0,4.0,0.0,3.883,155.0,1,2,4,0,79.88
318,Nephirea,105.85,0.353,0.558,0.001,0.0,0.484,5.0,15.0,14,18,0,42.667,35.667,45.0,2.333,4.667,1.0,0.333,0.0,4.174,138.333,3,4,13,0,105.85
322,Catge,86.44,0.288,0.405,0.001,0.6,0.45,5.1,4.6,43,36,1,33.8,17.9,38.9,5.1,2.2,1.2,0.8,0.3,4.29,125.7,10,31,22,1,86.44
325,Swapin,86.58,0.289,0.428,0.001,0.333,0.426,6.333,3.667,9,7,0,34.667,18.667,44.667,10.0,5.333,3.0,1.333,0.333,4.364,123.333,3,9,7,0,86.58
326,pomo,95.38,0.318,0.441,0.002,1.2,0.501,7.6,7.8,20,17,0,38.8,15.4,53.4,14.6,5.0,3.4,2.2,0.4,3.656,122.6,5,16,11,0,95.38
328,tskr,84.56,0.282,0.371,0.001,1.0,0.466,8.0,4.0,5,4,1,33.0,10.0,51.5,18.5,2.5,2.5,4.0,0.5,3.885,116.5,2,5,4,1,84.56
334,2skr,86.38,0.288,0.348,0.002,1.1,0.509,7.5,7.2,48,48,0,24.1,20.2,26.9,2.8,6.4,0.8,0.6,0.2,3.526,125.9,10,26,28,0,86.38
335,xeyz,68.16,0.227,0.282,0.0,2.0,0.396,2.8,3.2,49,47,0,35.6,3.2,101.9,66.3,6.2,5.5,10.6,0.0,3.645,137.1,10,29,25,0,68.16
348,Heleos,82.79,0.276,0.392,0.001,0.0,0.426,6.0,7.0,15,5,1,48.0,19.0,60.0,12.0,6.0,2.0,1.0,0.0,4.35,171.0,1,3,3,0,82.79
353,Solosion,93.26,0.311,0.433,0.001,1.0,0.489,6.667,6.0,10,5,0,26.333,20.0,29.667,3.333,4.0,0.0,0.333,0.333,4.402,107.333,3,10,5,0,93.26
356,Isekaijoucho,87.65,0.292,0.411,0.001,0.5,0.456,4.333,8.333,18,26,0,33.167,18.5,49.5,16.333,3.0,2.0,3.333,0.0,4.066,125.167,6,16,18,0,87.65
357,chommy,91.6,0.305,0.391,0.002,0.7,0.517,7.8,6.4,40,42,0,24.9,23.3,26.4,1.5,7.7,0.2,0.4,0.5,3.693,122.3,10,24,31,0,91.6
358,mangoss,102.95,0.343,0.525,0.001,0.8,0.489,6.4,9.7,40,32,6,48.9,25.5,58.3,9.4,5.1,1.1,2.5,0.5,4.178,140.8,10,29,22,5,102.95
364,I_dont_like_loli,64.82,0.216,0.281,0.0,3.0,0.362,3.0,2.0,2,4,0,24.0,19.0,38.0,14.0,0.0,2.0,0.0,0.0,4.474,153.0,1,2,4,0,64.82
366,AitsukiNakuru,104.06,0.347,0.52,0.002,0.333,0.506,8.667,11.333,14,19,1,47.333,21.333,60.167,12.833,3.5,1.833,3.833,1.0,3.957,132.0,6,14,19,1,104.06
367,PotassiumF,90.94,0.303,0.449,0.001,0.5,0.449,6.2,5.5,43,51,4,42.7,19.6,47.3,4.6,3.5,0.9,1.0,0.2,4.507,138.4,10,24,30,2,90.94
368,arpia97,64.32,0.214,0.229,0.001,0.0,0.413,4.0,1.0,2,3,0,18.0,9.0,34.0,16.0,3.0,2.0,2.0,0.0,3.824,118.0,1,2,3,0,64.32
370,Andrey_K,83.48,0.278,0.33,0.002,2.0,0.5,9.0,1.0,5,4,1,25.0,11.0,28.5,3.5,4.5,0.0,0.0,0.0,4.089,110.0,2,5,4,1,83.48
376,qwecocacola,88.46,0.295,0.408,0.002,0.2,0.466,7.3,4.3,29,26,0,25.9,24.2,29.4,3.5,3.5,0.9,0.9,0.5,4.358,121.5,10,29,26,0,88.46
378,erzakuran,54.44,0.181,0.106,0.0,5.25,0.444,1.5,1.375,18,22,2,10.875,1.375,18.25,7.375,1.375,0.875,1.125,0.0,3.956,113.625,8,18,22,2,54.44
379,CipherKai,112.4,0.375,0.614,0.0,0.0,0.492,8.0,7.0,2,3,0,62.0,19.0,78.0,16.0,3.0,3.0,2.0,0.0,4.205,132.0,1,2,3,0,112.4
393,Kyuuuu,80.88,0.27,0.323,0.001,2.444,0.48,6.111,4.444,31,34,0,32.889,12.333,43.222,10.333,4.667,1.556,1.111,0.333,3.995,138.556,9,26,24,0,80.88
394,Komari,111.83,0.373,0.58,0.002,0.375,0.52,8.875,14.0,25,23,4,41.125,35.25,46.5,5.375,3.875,1.0,1.125,1.25,4.239,130.75,8,21,18,3,111.83
395,LordGrond,68.39,0.228,0.27,0.0,0.667,0.411,3.333,4.0,18,13,1,22.333,13.0,24.667,2.333,1.0,0.667,0.0,0.0,4.506,130.333,3,10,6,1,68.39
398,kabao,78.72,0.262,0.333,0.001,1.0,0.448,6.0,2.0,3,2,0,22.0,15.0,36.0,14.0,2.0,2.0,2.0,0.0,4.306,111.0,1,3,2,0,78.72
399,ElJuanchi,75.86,0.253,0.326,0.001,1.0,0.426,5.2,3.2,62,45,2,21.9,22.7,26.7,4.8,3.3,1.6,0.8,0.3,4.192,137.2,10,31,22,2,75.86
401,Spartric,67.77,0.226,0.244,0.0,3.0,0.432,1.0,6.0,2,4,0,30.0,8.0,58.0,28.0,5.0,0.0,5.0,0.0,4.103,156.0,1,2,4,0,67.77
403,AnnaYanami,92.65,0.309,0.435,0.002,1.333,0.48,6.667,5.667,9,7,0,26.0,27.333,27.667,1.667,4.667,0.333,0.667,0.667,4.286,122.333,3,9,7,0,92.65
404,anatharax,77.73,0.259,0.269,0.001,0.8,0.507,6.0,3.0,17,13,0,22.8,5.4,31.4,8.6,5.0,2.0,1.2,0.0,3.604,105.6,5,17,8,0,77.73
405,anicomi,73.77,0.246,0.28,0.001,1.3,0.455,4.5,3.0,32,36,2,24.2,9.0,34.2,10.0,3.0,0.7,1.4,0.1,4.23,118.7,10,24,28,2,73.77
410,FoopyPoopy,62.61,0.209,0.22,0.001,2.0,0.404,4.5,0.5,4,6,0,18.0,9.5,23.5,5.5,3.5,0.5,1.0,0.0,4.585,122.5,2,4,6,0,62.61
413,zokie,88.17,0.294,0.363,0.003,1.0,0.511,6.0,3.0,2,3,0,23.0,10.0,28.0,5.0,1.0,1.0,3.0,0.0,3.786,91.0,1,2,3,0,88.17
416,OkitaNobu,74.29,0.248,0.361,0.001,2.0,0.372,5.0,4.0,8,8,0,32.0,29.0,53.0,21.0,4.0,3.0,2.0,0.0,4.0,169.0,1,5,1,0,74.29
417,YellowRose,86.2,0.287,0.381,0.002,0.556,0.472,6.444,5.556,31,29,0,34.111,15.333,43.0,8.889,5.444,2.0,1.778,0.222,4.001,128.667,9,27,23,0,86.2
419,keysha18,82.96,0.277,0.405,0.001,0.9,0.413,4.1,4.7,43,54,2,35.7,21.8,46.4,10.7,2.8,1.2,2.6,0.1,4.232,141.2,10,24,29,2,82.96
420,OSXtrafton,36.92,0.123,0.02,0.0,7.0,0.357,0.0,0.0,1,4,0,2.0,0.0,29.0,27.0,2.0,2.0,2.0,0.0,3.897,100.0,1,1,4,0,36.92
428,SaoriHayami,88.49,0.295,0.438,0.0,0.833,0.435,3.5,7.0,14,25,1,44.667,18.667,62.0,17.333,3.333,2.5,3.333,0.167,4.21,144.667,6,12,21,1,88.49
