Player ID,PlayerName,ELONOWR,ELO,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,PALL,PRECENT,WR,STREAK,FINAL MODIFIER
27,Deafness,130.41,130.41,0.435,0.78,0.003,0.0,0.495,14.5,21.0,7,3,2,114.5,22.0,134.0,19.5,8.5,6.0,4.5,0.0,4.102,175.0,2,7,3,2,12,12,0.0,0.0,0.0
394,Komari,126.5,126.5,0.422,0.682,0.006,0.5,0.557,13.5,20.0,6,4,0,43.0,38.0,47.0,4.0,4.5,1.0,0.5,2.5,3.914,118.0,2,6,4,0,10,10,0.0,0.0,0.0
34,YuriMeguri,124.93,124.93,0.416,0.708,0.002,0.0,0.517,13.0,25.0,2,3,1,55.0,66.0,72.0,17.0,8.0,5.0,3.0,1.0,4.125,171.0,1,2,3,1,6,6,0.0,0.0,0.0
58,Lika,120.71,120.71,0.402,0.581,0.007,0.0,0.606,17.0,8.0,3,2,0,29.0,25.0,31.0,2.0,10.0,2.0,0.0,0.0,2.871,93.0,1,3,2,0,5,5,0.0,0.0,0.0
82,ShiinaMahiru,117.81,117.81,0.393,0.645,0.002,0.2,0.511,9.4,15.4,15,11,1,28.8,54.2,30.0,1.2,2.8,0.0,0.4,0.8,4.019,127.6,5,15,11,1,27,27,0.0,0.0,0.0
59,neoburnz,119.69,115.471,0.399,0.674,0.002,0.0,0.499,8.833,20.333,11,20,1,47.5,48.833,52.333,4.833,6.5,0.833,2.333,0.667,4.191,143.0,6,11,20,1,32,32,-0.141,-0.141,-0.281
119,Fumiii,113.55,112.234,0.378,0.645,0.002,0.0,0.468,9.2,15.1,25,30,2,72.4,29.6,77.9,5.5,4.4,0.6,1.4,0.1,4.547,158.4,10,25,30,2,57,57,-0.044,-0.044,-0.088
77,neptune,112.22,112.22,0.374,0.609,0.0,0.0,0.495,5.0,20.0,9,2,0,52.5,39.0,56.0,3.5,3.5,1.5,1.5,0.0,3.948,150.0,2,9,2,0,11,11,0.0,0.0,0.0
520,konomi,112.11,112.11,0.374,0.642,0.002,1.0,0.457,8.5,14.0,7,4,1,68.5,42.5,81.5,13.0,2.5,2.0,3.5,2.5,4.758,173.0,2,7,4,1,12,12,0.0,0.0,0.0
100,IrinaShidou,110.52,110.52,0.368,0.59,0.001,0.0,0.497,5.0,9.0,3,2,0,57.0,22.0,73.0,16.0,5.0,3.0,1.0,0.0,3.918,134.0,1,3,2,0,5,5,0.0,0.0,0.0
