Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
16,yahallonyanpasu,91.5,0.305,0.373,0.002,4.0,0.535,14.0,8.0,6,0,0,38.0,24.0,55.0,17.0,11.0,4.0,2.0,0.0,3.782,166.0,1,6,0,0,91.5
34,YuriMeguri,124.93,0.416,0.708,0.002,0.0,0.517,13.0,25.0,2,3,1,55.0,66.0,72.0,17.0,8.0,5.0,3.0,1.0,4.125,171.0,1,2,3,1,124.93
58,Lika,120.71,0.402,0.581,0.007,0.0,0.606,17.0,8.0,3,2,0,29.0,25.0,31.0,2.0,10.0,2.0,0.0,0.0,2.871,93.0,1,3,2,0,120.71
59,neoburnz,120.47,0.402,0.675,0.002,0.0,0.506,9.0,20.4,8,17,1,43.4,50.0,48.0,4.6,6.6,0.8,2.2,0.8,4.121,138.4,5,8,17,1,120.47
77,neptune,112.22,0.374,0.609,0.0,0.0,0.495,5.0,20.0,9,2,0,52.5,39.0,56.0,3.5,3.5,1.5,1.5,0.0,3.948,150.0,2,9,2,0,112.22
79,JuliAless64,97.21,0.324,0.526,0.001,0.0,0.43,5.0,10.5,2,9,0,56.5,20.0,71.0,14.5,5.5,2.5,3.0,0.0,4.436,145.0,2,2,9,0,97.21
82,ShiinaMahiru,117.81,0.393,0.645,0.002,0.2,0.511,9.4,15.4,15,11,1,28.8,54.2,30.0,1.2,2.8,0.0,0.4,0.8,4.019,127.6,5,15,11,1,117.81
97,chaabdu92,80.76,0.269,0.338,0.003,4.0,0.461,5.0,5.0,3,2,0,31.0,13.0,40.0,9.0,6.0,4.0,1.0,0.0,4.0,130.0,1,3,2,0,80.76
100,IrinaShidou,110.52,0.368,0.59,0.001,0.0,0.497,5.0,9.0,3,2,0,57.0,22.0,73.0,16.0,5.0,3.0,1.0,0.0,3.918,134.0,1,3,2,0,110.52
119,Fumiii,115.87,0.386,0.66,0.002,0.0,0.475,10.571,16.286,21,17,1,73.143,27.714,77.571,4.429,4.429,0.714,0.857,0.143,4.558,152.714,7,21,17,1,115.87
