Player ID,PlayerName,ELONOWR,ELO,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,PALL,PRECENT,WR,STREAK,FINAL MODIFIER
125,paperyoshi10,149.68,149.68,0.499,0.917,0.002,0.0,0.545,11.5,37.5,8,3,0,31.0,96.0,31.0,0.0,10.5,0.0,0.0,1.5,4.031,138.0,2,8,3,0,11,11,0.0,0.0,0.0
490,fanna,135.12,135.12,0.45,0.834,0.002,0.2,0.485,6.4,18.8,10,13,4,17.6,93.0,18.4,0.8,9.6,0.2,0.4,0.6,3.375,132.8,5,10,13,4,27,27,0.0,0.0,0.0
83,Milar,134.06,134.06,0.447,0.782,0.003,0.0,0.529,11.2,13.8,18,9,1,31.8,65.2,32.6,0.8,10.2,0.2,0.4,0.6,3.494,125.6,5,18,9,1,28,28,0.0,0.0,0.0
81,Pile,123.45,123.45,0.412,0.72,0.001,0.0,0.49,7.0,16.667,9,7,0,55.0,48.667,58.667,3.667,13.0,0.667,0.0,0.0,4.162,143.667,3,9,7,0,16,16,0.0,0.0,0.0
8,Hejsan,123.11,123.11,0.41,0.682,0.002,1.0,0.526,8.0,22.0,2,3,0,37.0,66.0,42.0,5.0,9.0,1.0,0.0,2.0,4.0,151.0,1,2,3,0,5,5,0.0,0.0,0.0
327,Flato,121.88,121.88,0.406,0.725,0.0,0.2,0.469,5.0,17.0,13,12,3,46.2,61.6,48.4,2.2,7.8,0.0,0.4,0.2,4.529,149.4,5,13,12,3,28,28,0.0,0.0,0.0
16,yahallonyanpasu,119.72,119.72,0.399,0.575,0.006,2.0,0.602,21.0,15.0,5,0,1,41.0,51.0,43.0,2.0,24.0,0.0,0.0,0.0,2.977,160.0,1,5,0,1,6,6,0.0,0.0,0.0
369,florenz,119.44,119.44,0.398,0.768,0.0,1.0,0.397,3.5,5.0,5,5,2,34.0,91.5,34.0,0.0,9.0,0.0,0.0,0.0,5.29,163.0,2,5,5,2,12,12,0.0,0.0,0.0
84,Alkios,117.01,117.01,0.39,0.715,0.001,1.0,0.429,4.667,13.0,5,6,5,25.333,91.333,25.667,0.333,6.667,0.0,0.0,0.667,4.8,161.667,3,5,6,5,16,16,0.0,0.0,0.0
181,Yolowolf75,115.17,115.17,0.384,0.708,0.001,1.0,0.417,5.0,17.0,3,2,1,65.0,71.0,70.0,5.0,6.0,0.0,0.0,0.0,5.071,192.0,1,3,2,1,6,6,0.0,0.0,0.0
455,l_elf10,108.75,108.75,0.363,0.526,0.002,0.0,0.547,6.0,3.0,5,1,0,22.0,19.0,23.0,1.0,7.0,0.0,0.0,0.0,3.652,78.0,1,5,1,0,6,6,0.0,0.0,0.0
133,ChrisLefko,115.37,108.265,0.385,0.682,0.0,0.0,0.448,3.571,11.286,8,26,4,42.714,49.143,44.143,1.429,6.0,0.0,0.429,0.143,4.896,134.571,7,8,26,4,38,38,-0.237,-0.237,-0.474
344,Naizuri,106.0,106.0,0.353,0.589,0.0,0.0,0.452,6.6,7.0,14,11,3,34.2,48.2,34.6,0.4,5.8,0.0,0.0,0.0,4.917,139.2,5,14,11,3,28,28,0.0,0.0,0.0
325,Swapin,104.9,105.838,0.35,0.618,0.0,0.333,0.41,2.5,3.333,15,13,4,39.167,43.333,40.667,1.5,6.333,0.0,0.0,0.167,4.949,132.667,6,15,13,4,32,32,0.031,0.031,0.062
386,Coglionedown,105.56,105.56,0.352,0.629,0.0,0.8,0.405,3.0,6.8,12,13,3,45.2,55.0,47.6,2.4,6.8,0.0,0.8,0.4,4.963,159.8,5,12,13,3,28,28,0.0,0.0,0.0
430,HaruUrara,103.13,103.13,0.344,0.459,0.001,1.0,0.563,9.0,1.0,4,2,0,22.0,28.0,24.0,2.0,6.0,0.0,0.0,0.0,3.958,109.0,1,4,2,0,6,6,0.0,0.0,0.0
382,Shiku,103.09,103.09,0.344,0.608,0.0,0.25,0.402,2.5,7.5,7,12,3,38.5,68.25,39.5,1.0,5.5,0.0,0.0,0.25,5.241,175.75,4,7,12,3,22,22,0.0,0.0,0.0
