Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples
1,atsui,22.459,0.0,3.0,5.132,2.5,2.0,4,5,2,10.0,22.5,11.0,1.0,3.0,0.0,0.5,0.0,4.855,145.0,2
8,Hejsan,68.212,4.0,1.0,4.32,8.0,22.0,2,3,0,37.0,66.0,42.0,5.0,9.0,1.0,0.0,2.0,4.0,151.0,1
16,yahallonyanpasu,57.5,11.0,2.0,3.783,21.0,15.0,5,0,1,41.0,51.0,43.0,2.0,24.0,0.0,0.0,0.0,2.977,160.0,1
38,Diukes,41.844,2.0,2.0,4.61,3.0,11.0,1,2,2,34.0,25.0,52.0,18.0,12.0,0.0,5.0,0.0,4.038,141.0,1
47,Renzou,44.954,3.0,0.0,4.02,12.0,3.0,4,2,0,32.0,17.0,34.0,2.0,13.0,0.0,1.0,0.0,3.382,109.0,1
67,DKing20,48.352,1.0,0.0,4.864,1.0,3.0,4,2,0,20.0,24.0,20.0,0.0,4.0,0.0,0.0,0.0,4.55,91.0,1
81,Pile,71.963,1.667,0.0,4.569,7.0,16.667,9,7,0,55.0,48.667,58.667,3.667,13.0,0.667,0.0,0.0,4.162,143.667,3
83,Milar,78.243,4.0,0.0,4.294,11.2,13.8,18,9,1,31.8,65.2,32.6,0.8,10.2,0.2,0.4,0.6,3.494,125.6,5
84,Alkios,71.512,2.0,1.0,4.998,4.667,13.0,5,6,5,25.333,91.333,25.667,0.333,6.667,0.0,0.0,0.667,4.8,161.667,3
115,Saiki,39.259,3.286,3.857,4.734,5.429,6.286,14,20,4,24.571,31.714,24.857,0.286,14.0,0.143,0.143,0.0,3.716,142.286,7
123,Konsumenci,56.814,3.167,0.667,4.762,7.0,8.667,13,18,3,25.5,61.5,27.5,2.0,13.667,0.5,0.833,0.167,3.537,152.5,6
125,paperyoshi10,91.688,3.5,0.0,4.182,11.5,37.5,8,3,0,31.0,96.0,31.0,0.0,10.5,0.0,0.0,1.5,4.031,138.0,2
133,ChrisLefko,68.231,0.714,0.0,4.864,3.571,11.286,8,26,4,42.714,49.143,44.143,1.429,6.0,0.0,0.429,0.143,4.896,134.571,7
143,mahzrunner,33.333,0.0,1.0,4.538,1.0,3.0,0,5,0,19.0,7.0,24.0,5.0,1.0,0.0,1.0,0.0,4.25,78.0,1
144,liljakatsuragi,52.419,0.0,0.0,5.446,3.0,0.0,5,0,1,37.0,28.0,38.0,1.0,6.0,0.0,0.0,0.0,5.421,124.0,1
149,Zozo,46.491,0.0,1.0,4.906,4.0,7.0,2,4,0,20.0,33.0,22.0,2.0,8.0,0.0,0.0,0.0,4.182,114.0,1
160,Skychael,35.507,2.0,0.0,4.592,4.0,5.0,5,1,0,23.0,26.0,26.0,3.0,7.0,0.0,0.0,0.0,3.769,138.0,1
170,hubcioskubcio,18.31,1.0,3.0,5.269,2.0,1.0,4,1,0,24.0,2.0,27.0,3.0,6.0,0.0,0.0,0.0,5.222,142.0,1
171,JustAWeirdo,19.186,1.0,3.0,5.424,2.0,1.0,2,4,0,27.0,6.0,28.0,1.0,6.0,0.0,0.0,0.0,5.25,172.0,1
172,oolli,30.201,0.0,1.0,5.111,2.0,0.0,3,3,0,33.0,12.0,41.0,8.0,7.0,0.0,1.0,0.0,4.902,149.0,1
174,TateyamaAyano,27.554,0.0,2.5,5.137,2.0,3.0,2,10,0,26.5,13.0,27.5,1.0,7.5,0.0,0.5,0.0,4.568,137.0,2
175,Kirox,39.456,0.0,3.0,5.034,2.0,8.0,2,3,0,36.0,22.0,39.0,3.0,11.0,1.0,0.0,0.0,4.487,147.0,1
180,psirockin,29.231,0.0,3.0,5.132,5.0,2.0,3,2,0,24.0,14.0,28.0,4.0,7.0,0.0,0.0,0.0,4.714,130.0,1
181,Yolowolf75,70.833,3.0,1.0,5.081,5.0,17.0,3,2,1,65.0,71.0,70.0,5.0,6.0,0.0,0.0,0.0,5.071,192.0,1
217,ShelterRin,44.118,0.0,1.0,5.4,4.0,2.0,5,0,0,28.0,32.0,29.0,1.0,2.0,0.0,0.0,0.0,5.345,136.0,1
225,MythAndroid,39.484,1.25,1.5,5.182,3.25,2.75,7,13,2,38.5,17.25,46.25,7.75,8.5,0.5,1.5,0.0,4.569,141.75,4
230,BigSmo,32.609,0.0,1.0,4.956,2.0,4.0,5,1,0,28.0,17.0,43.0,15.0,8.0,1.0,3.0,0.0,3.791,138.0,1
236,Serozero,30.159,2.0,0.0,4.474,2.0,1.0,1,5,0,27.0,11.0,28.0,1.0,11.0,0.0,0.0,0.0,4.036,126.0,1
276,hmsuis,48.634,1.0,0.0,5.056,3.0,8.0,2,4,0,26.0,63.0,26.0,0.0,11.0,0.0,0.0,0.0,4.731,183.0,1
277,chemist,45.833,0.0,3.0,4.591,1.0,7.0,1,3,1,15.0,51.0,15.0,0.0,6.0,0.0,0.0,0.0,4.133,144.0,1
285,miiarad,39.13,0.0,0.0,5.222,3.0,1.0,1,1,2,17.0,19.0,17.0,0.0,2.0,0.0,0.0,0.0,4.529,92.0,1
311,beautiful,53.846,1.0,0.0,4.971,5.0,9.0,3,2,0,20.0,50.0,20.0,0.0,5.0,0.0,0.0,1.0,4.8,130.0,1
322,Catge,34.624,0.0,1.0,5.276,2.5,0.5,3,7,1,25.5,29.0,25.5,0.0,6.5,0.0,0.0,0.0,5.054,158.0,2
325,Swapin,61.788,0.5,0.333,5.129,2.5,3.333,15,13,4,39.167,43.333,40.667,1.5,6.333,0.0,0.0,0.167,4.949,132.667,6
327,Flato,72.459,0.8,0.2,4.715,5.0,17.0,13,12,3,46.2,61.6,48.4,2.2,7.8,0.0,0.4,0.2,4.529,149.4,5
335,xeyz,47.832,1.5,0.5,5.245,3.5,5.5,7,2,1,59.5,6.0,83.5,24.0,8.5,0.5,3.5,0.0,4.642,137.0,2
344,Naizuri,58.901,0.6,0.0,4.833,6.6,7.0,14,11,3,34.2,48.2,34.6,0.4,5.8,0.0,0.0,0.0,4.917,139.2,5
366,AitsukiNakuru,50.725,2.0,0.0,4.586,3.0,8.0,5,1,0,49.0,21.0,52.0,3.0,7.0,0.0,1.0,1.0,4.423,138.0,1
369,florenz,76.845,0.5,1.0,5.22,3.5,5.0,5,5,2,34.0,91.5,34.0,0.0,9.0,0.0,0.0,0.0,5.29,163.0,2
381,Goko8765,39.683,0.0,4.0,5.58,2.0,4.0,3,3,0,33.0,17.0,35.0,2.0,10.0,0.0,0.0,0.0,5.486,126.0,1
382,Shiku,60.837,0.25,0.25,5.186,2.5,7.5,7,12,3,38.5,68.25,39.5,1.0,5.5,0.0,0.0,0.25,5.241,175.75,4
386,Coglionedown,62.859,0.8,0.8,5.163,3.0,6.8,12,13,3,45.2,55.0,47.6,2.4,6.8,0.0,0.8,0.4,4.963,159.8,5
398,kabao,53.892,3.0,1.0,4.833,5.0,10.0,0,4,1,30.0,60.0,31.0,1.0,6.0,0.0,0.0,0.0,4.516,167.0,1
401,Spartric,43.972,0.0,0.0,5.065,0.0,9.0,1,2,2,38.0,24.0,43.0,5.0,2.0,0.0,4.0,0.0,4.558,141.0,1
405,anicomi,22.222,0.0,0.0,4.75,1.0,2.0,1,5,0,17.0,11.0,21.0,4.0,5.0,1.0,0.0,0.0,4.0,126.0,1
416,OkitaNobu,47.5,0.0,6.0,6.0,1.0,1.0,2,2,2,43.0,52.0,53.0,10.0,8.0,1.0,0.0,0.0,5.585,200.0,1
417,YellowRose,35.775,1.0,0.0,4.678,2.0,2.0,6,6,0,21.0,17.0,21.5,0.5,6.5,0.0,0.0,0.0,4.096,102.0,2
