# Full PV List:
diukes played like a 123.32. (Current rank 123.32, Δ0.0)
alkios played like a 115.67. (Current rank 115.67, Δ0.0)
baikinman played like a 119.05. (Current rank 119.05, Δ0.0)
chaabdu92 played like a 107.01. (Current rank 107.01, Δ0.0)
saiki played like a 91.52. (Current rank 91.52, Δ0.0)
janoxx played like a 104.9. (Current rank 104.9, Δ0.0)
denero played like a 94.48. (Current rank 94.48, Δ0.0)
cm02 played like a 85.81. (Current rank 85.81, Δ0.0)
hubcioskubcio played like a 82.95. (Current rank 82.95, Δ0.0)
shelterrin played like a 108.68. (Current rank 108.68, Δ0.0)
dry played like a 99.65. (Current rank 99.65, Δ0.0)
transfer played like a 71.12. (Current rank 71.12, Δ0.0)
yonyon played like a 73.57. (Current rank 73.57, Δ0.0)
hmsuis played like a 108.11. (Current rank 108.11, Δ0.0)
feyfey played like a 90.23. (Current rank 90.23, Δ0.0)
2skr played like a 84.14. (Current rank 84.14, Δ0.0)
heleos played like a 94.95. (Current rank 94.95, Δ0.0)
muenstier played like a 103.32. (Current rank 103.32, Δ0.0)
anicomi played like a 79.09. (Current rank 79.09, Δ0.0)
foopypoopy played like a 86.02. (Current rank 86.02, Δ0.0)
raphtelia played like a 86.38. (Current rank 86.38, Δ0.0)
haruurara played like a 107.51. (Current rank 107.51, Δ0.0)
furlain played like a 88.01. (Current rank 88.01, Δ0.0)
pekorrat played like a 78.12. (Current rank 78.12, Δ0.0)

:first_place: diukes. Played like a 123.32 rank (Current Rank: 123.32, Δ0.0)
:second_place: alkios. Played like a 115.67 rank (Current Rank: 115.67, Δ0.0)
:third_place: baikinman. Played like a 119.05 rank (Current Rank: 119.05, Δ0.0)
