Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples
38,Diukes,58.716,4.0,0.0,3.609,10.0,16.0,1,4,0,46.0,18.0,57.0,11.0,6.0,2.0,2.0,0.0,3.368,109.0,1
84,Alkios,53.39,3.0,0.0,3.746,12.0,12.0,4,1,0,24.0,39.0,25.0,1.0,5.0,0.0,1.0,0.0,3.84,118.0,1
91,Baikinman,47.321,2.0,0.0,3.038,6.0,20.0,1,4,0,31.0,22.0,54.0,23.0,8.0,4.0,9.0,0.0,2.537,112.0,1
97,chaabdu92,43.529,2.0,0.0,3.622,7.0,8.0,2,3,0,19.0,18.0,22.0,3.0,2.0,0.0,1.0,1.0,3.545,85.0,1
115,Saiki,31.646,2.0,1.0,3.84,4.0,6.0,4,1,0,9.0,16.0,9.0,0.0,3.0,0.0,0.0,0.0,2.444,79.0,1
121,Janoxx,32.911,7.0,0.0,3.038,10.0,6.0,4,1,0,13.0,13.0,13.0,0.0,12.0,0.0,0.0,0.0,1.846,79.0,1
140,denero,40.678,1.0,0.0,4.292,7.0,6.0,4,1,0,28.0,20.0,29.0,1.0,3.0,0.0,0.0,0.0,4.31,118.0,1
157,CM02,30.588,4.0,0.0,4.192,5.0,2.0,2,3,0,15.0,11.0,17.0,2.0,5.0,0.0,0.0,1.0,3.765,85.0,1
170,hubcioskubcio,17.857,1.0,0.0,3.4,2.0,4.0,1,4,0,18.0,2.0,22.0,4.0,3.0,0.0,2.0,0.0,3.091,112.0,1
217,ShelterRin,49.495,3.0,0.0,3.959,9.0,8.0,3,2,0,20.0,29.0,21.0,1.0,5.0,0.0,1.0,1.0,3.714,99.0,1
228,Dry,32.143,1.0,0.0,3.278,4.0,10.0,1,4,0,26.0,10.0,40.0,14.0,4.0,6.0,2.0,0.0,2.65,112.0,1
237,transfer,11.607,0.0,0.0,3.769,0.0,5.0,1,4,0,11.0,2.0,37.0,26.0,6.0,4.0,5.0,0.0,2.568,112.0,1
239,yonyon,21.519,1.0,0.0,4.353,3.0,2.0,4,1,0,11.0,6.0,11.0,0.0,2.0,0.0,0.0,0.0,3.727,79.0,1
276,hmsuis,49.495,3.0,0.0,4.0,7.0,13.0,3,2,0,23.0,26.0,23.0,0.0,5.0,0.0,0.0,1.0,3.739,99.0,1
292,FeyFey,29.661,5.0,2.0,3.8,12.0,4.0,4,1,0,27.0,8.0,37.0,10.0,9.0,3.0,2.0,1.0,3.216,118.0,1
334,2skr,24.706,3.0,0.0,3.857,5.0,2.0,2,3,0,16.0,5.0,17.0,1.0,10.0,0.0,1.0,0.0,2.941,85.0,1
348,Heleos,38.983,1.0,0.0,4.13,11.0,6.0,4,1,0,29.0,17.0,31.0,2.0,8.0,0.0,1.0,0.0,3.516,118.0,1
403,muenstier,45.872,0.0,0.0,4.04,6.0,9.0,1,4,0,21.0,29.0,21.0,0.0,0.0,0.0,0.0,0.0,3.81,109.0,1
405,anicomi,28.283,1.0,0.0,4.464,7.0,0.0,3,2,0,19.0,9.0,29.0,10.0,5.0,0.0,3.0,1.0,3.655,99.0,1
410,FoopyPoopy,32.323,2.0,0.0,4.281,6.0,2.0,3,2,0,26.0,6.0,28.0,2.0,7.0,0.0,0.0,0.0,4.179,99.0,1
426,Raphtelia,23.853,2.0,0.0,3.615,7.0,3.0,1,4,0,18.0,8.0,18.0,0.0,4.0,0.0,0.0,0.0,3.5,109.0,1
430,HaruUrara,39.241,4.0,0.0,3.29,8.0,10.0,4,1,0,17.0,14.0,20.0,3.0,7.0,1.0,0.0,0.0,2.95,79.0,1
477,FurLain,28.235,2.0,0.0,3.833,4.0,5.0,2,3,0,11.0,13.0,12.0,1.0,1.0,0.0,1.0,0.0,3.083,85.0,1
484,pekorrat,24.771,0.0,0.0,4.259,3.0,3.0,1,4,0,23.0,4.0,30.0,7.0,3.0,0.0,2.0,0.0,3.633,109.0,1
