Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
38,Diukes,123.32,0.411,0.587,0.005,0.0,0.627,10.0,16.0,1,4,0,46.0,18.0,57.0,11.0,6.0,2.0,2.0,0.0,3.368,109.0,1,1,4,0,123.32
84,Alkios,115.67,0.386,0.534,0.004,0.0,0.608,12.0,12.0,4,1,0,24.0,39.0,25.0,1.0,5.0,0.0,1.0,0.0,3.84,118.0,1,4,1,0,115.67
91,Baikinman,119.05,0.397,0.473,0.003,0.0,0.709,6.0,20.0,1,4,0,31.0,22.0,54.0,23.0,8.0,4.0,9.0,0.0,2.537,112.0,1,1,4,0,119.05
97,chaabdu92,107.01,0.357,0.435,0.003,0.0,0.625,7.0,8.0,2,3,0,19.0,18.0,22.0,3.0,2.0,0.0,1.0,1.0,3.545,85.0,1,2,3,0,107.01
115,Saiki,91.52,0.305,0.316,0.004,1.0,0.594,4.0,6.0,4,1,0,9.0,16.0,9.0,0.0,3.0,0.0,0.0,0.0,2.444,79.0,1,4,1,0,91.52
121,Janoxx,104.9,0.35,0.329,0.013,0.0,0.709,10.0,6.0,4,1,0,13.0,13.0,13.0,0.0,12.0,0.0,0.0,0.0,1.846,79.0,1,4,1,0,104.9
140,denero,94.48,0.315,0.407,0.001,0.0,0.53,7.0,6.0,4,1,0,28.0,20.0,29.0,1.0,3.0,0.0,0.0,0.0,4.31,118.0,1,4,1,0,94.48
157,CM02,85.81,0.286,0.306,0.007,0.0,0.544,5.0,2.0,2,3,0,15.0,11.0,17.0,2.0,5.0,0.0,0.0,1.0,3.765,85.0,1,2,3,0,85.81
170,hubcioskubcio,82.95,0.276,0.179,0.001,0.0,0.657,2.0,4.0,1,4,0,18.0,2.0,22.0,4.0,3.0,0.0,2.0,0.0,3.091,112.0,1,1,4,0,82.95
217,ShelterRin,108.68,0.362,0.495,0.004,0.0,0.577,9.0,8.0,3,2,0,20.0,29.0,21.0,1.0,5.0,0.0,1.0,1.0,3.714,99.0,1,3,2,0,108.68
228,Dry,99.65,0.332,0.321,0.001,0.0,0.675,4.0,10.0,1,4,0,26.0,10.0,40.0,14.0,4.0,6.0,2.0,0.0,2.65,112.0,1,1,4,0,99.65
237,transfer,71.12,0.237,0.116,0.0,0.0,0.604,0.0,5.0,1,4,0,11.0,2.0,37.0,26.0,6.0,4.0,5.0,0.0,2.568,112.0,1,1,4,0,71.12
239,yonyon,73.57,0.245,0.215,0.002,0.0,0.521,3.0,2.0,4,1,0,11.0,6.0,11.0,0.0,2.0,0.0,0.0,0.0,3.727,79.0,1,4,1,0,73.57
276,hmsuis,108.11,0.36,0.495,0.004,0.0,0.571,7.0,13.0,3,2,0,23.0,26.0,23.0,0.0,5.0,0.0,0.0,1.0,3.739,99.0,1,3,2,0,108.11
292,FeyFey,90.23,0.301,0.297,0.006,2.0,0.6,12.0,4.0,4,1,0,27.0,8.0,37.0,10.0,9.0,3.0,2.0,1.0,3.216,118.0,1,4,1,0,90.23
334,2skr,84.14,0.28,0.247,0.005,0.0,0.592,5.0,2.0,2,3,0,16.0,5.0,17.0,1.0,10.0,0.0,1.0,0.0,2.941,85.0,1,2,3,0,84.14
348,Heleos,94.95,0.317,0.39,0.001,0.0,0.553,11.0,6.0,4,1,0,29.0,17.0,31.0,2.0,8.0,0.0,1.0,0.0,3.516,118.0,1,4,1,0,94.95
403,muenstier,103.32,0.344,0.459,0.0,0.0,0.566,6.0,9.0,1,4,0,21.0,29.0,21.0,0.0,0.0,0.0,0.0,0.0,3.81,109.0,1,1,4,0,103.32
405,anicomi,79.09,0.264,0.283,0.001,0.0,0.505,7.0,0.0,3,2,0,19.0,9.0,29.0,10.0,5.0,0.0,3.0,1.0,3.655,99.0,1,3,2,0,79.09
410,FoopyPoopy,86.02,0.287,0.323,0.003,0.0,0.531,6.0,2.0,3,2,0,26.0,6.0,28.0,2.0,7.0,0.0,0.0,0.0,4.179,99.0,1,3,2,0,86.02
426,Raphtelia,86.38,0.288,0.239,0.003,0.0,0.626,7.0,3.0,1,4,0,18.0,8.0,18.0,0.0,4.0,0.0,0.0,0.0,3.5,109.0,1,1,4,0,86.38
430,HaruUrara,107.51,0.358,0.392,0.007,0.0,0.673,8.0,10.0,4,1,0,17.0,14.0,20.0,3.0,7.0,1.0,0.0,0.0,2.95,79.0,1,4,1,0,107.51
477,FurLain,88.01,0.293,0.282,0.003,0.0,0.595,4.0,5.0,2,3,0,11.0,13.0,12.0,1.0,1.0,0.0,1.0,0.0,3.083,85.0,1,2,3,0,88.01
484,pekorrat,78.12,0.26,0.248,0.0,0.0,0.534,3.0,3.0,1,4,0,23.0,4.0,30.0,7.0,3.0,0.0,2.0,0.0,3.633,109.0,1,1,4,0,78.12
