yasashiikumo, old rank: 93.44, new rank: 104.173, diff: 10.733
Dry, old rank: 104.53, new rank: 112.308, diff: 7.778
watashiii, old rank: 152.42, new rank: 158.74, diff: 6.32
HaruUrara, old rank: 92.65, new rank: 95.23, diff: 2.58
koroshiya, old rank: 131.52, new rank: 133.91, diff: 2.39
Eryth, old rank: 142.91, new rank: 145.06, diff: 2.15
AnnaYanami, old rank: 87.69, new rank: 89.61, diff: 1.92
cafezinho, old rank: 102.52, new rank: 104.27, diff: 1.75
Fumiii, old rank: 82.98, new rank: 84.7, diff: 1.72
channina, old rank: 157.01, new rank: 158.72, diff: 1.71
ArronChu, old rank: 142.93, new rank: 144.61, diff: 1.68
Tsui, old rank: 118.25, new rank: 119.7, diff: 1.45
Provenance, old rank: 94.97, new rank: 96.09, diff: 1.12
Progenitor, old rank: 92.54, new rank: 93.59, diff: 1.05
kar72, old rank: 112.6, new rank: 113.64, diff: 1.04
Sniparook, old rank: 126.7, new rank: 127.69, diff: 0.99
neoburnz, old rank: 93.28, new rank: 94.22, diff: 0.94
Thaleko, old rank: 112.66, new rank: 113.57, diff: 0.91
Alkios, old rank: 94.81, new rank: 95.66, diff: 0.85
FORTNAYT, old rank: 122.24, new rank: 123.08, diff: 0.84
Lika, old rank: 95.74, new rank: 96.43, diff: 0.69
PoolNoodle, old rank: 107.88, new rank: 108.56, diff: 0.68
JuliAless64, old rank: 93.5, new rank: 94.15, diff: 0.65
mrwolf2, old rank: 107.08, new rank: 107.69, diff: 0.61
Chata, old rank: 111.96, new rank: 112.4, diff: 0.44
xeyz, old rank: 83.16, new rank: 83.55, diff: 0.39
mahzrunner, old rank: 97.49, new rank: 97.87, diff: 0.38
eternity, old rank: 110.38, new rank: 110.68, diff: 0.3
Pile, old rank: 93.34, new rank: 93.59, diff: 0.25
chaabdu92, old rank: 92.35, new rank: 92.52, diff: 0.17
yashadox, old rank: 82.96, new rank: 82.79, diff: -0.17
MahiruShiina, old rank: 93.75, new rank: 93.57, diff: -0.18
ss_r_white_pony, old rank: 82.31, new rank: 82.08, diff: -0.23
OkitaNobu, old rank: 84.59, new rank: 84.32, diff: -0.27
Yolowolf75, old rank: 89.56, new rank: 89.25, diff: -0.31
ruuka, old rank: 86.81, new rank: 86.5, diff: -0.31
Janoxx, old rank: 83.76, new rank: 83.4, diff: -0.36
arpia97, old rank: 75.43, new rank: 74.85, diff: -0.58
Patoche49, old rank: 79.21, new rank: 78.47, diff: -0.74
Rhummy, old rank: 70.7, new rank: 69.71, diff: -0.99
FoopyPoopy, old rank: 71.49, new rank: 68.36, diff: -3.13
Baikinman, old rank: 94.14, new rank: 89.51, diff: -4.63
Diukes, old rank: 116.81, new rank: 110.785, diff: -6.025
Saiki, old rank: 89.57, new rank: 80.142, diff: -9.428
