Tournament Date,Player ID,player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
2024-07-19,1,UselessPanda,18.841,2.127,39.597,0,5.846,0,18.841,0
2024-07-21,1,UselessPanda,15.068,1.033,38.703,0,6.182,0,15.068,0
2024-07-28,1,UselessPanda,15.254,1.437,33.693,0,6.056,0,15.254,0
2025-06-05,1,Atsui_,9.524,1.474,35.885,0,5.333,0,9.524,0
2025-06-17,4,AKl,64.062,21.372,26,6,4.037,0,64.062,0
2025-06-24,4,poyoyoyoyo,83.478,29.33,26.2,13,3.604,0,83.478,0
2025-07-07,4,poyoyoyoyo,74.302,25.865,26.03,10,4.015,0,74.302,0
2025-07-18,4,AKl,74.49,33.283,24.531,18,2.767,0,74.49,0
2024-09-04,17,gro,41.667,12.887,25.715,11,3.56,0,41.667,0
2025-07-07,17,gro,34.615,8.624,28.836,2,4.796,0,34.615,0
2025-07-18,17,gro,43.902,14.151,24.879,7,3.611,0,43.902,0
2025-08-08,17,gro,51.053,14.859,26.633,4,4.505,0,51.053,0
2024-07-19,20,kar72,52.419,12.372,28.208,0,4.062,0,52.419,0
2024-07-28,20,kar72,52.846,13.531,28.424,4,4.354,0,52.846,0
2025-06-05,20,kkura_,31.068,7.384,28.007,1,4.5,0,31.068,0
2025-06-11,20,kkura_,58.4,13.37,29.897,2,4.397,0,58.4,0
2025-06-21,20,kkura_,43.704,11.981,27.922,3,4.102,0,43.704,0
2025-06-24,20,kkura_,54.701,16.811,27.671,2,3.734,0,54.701,0
2025-07-02,20,kkura_,58.219,14.956,27.867,1,4.306,0,58.219,0
2025-08-01,20,kar72,50.0,14.179,28.732,7,3.887,0,50,0
2024-07-18,21,PoolNoodle,40.0,7.676,30.831,0,4.674,0,40,0
2024-07-28,21,PoolNoodle,45.763,11.261,26.627,3,4.5,0,45.763,0
2025-06-05,21,PoolNoodle,41.748,11.143,27.971,2,4.233,0,41.748,0
2025-06-11,21,PoolNoodle,53.6,12.685,29.699,4,4.418,0,53.6,0
2025-06-17,21,PoolNoodle,46.341,11.154,29.237,2,4.632,0,46.341,0
2025-06-21,21,PoolNoodle,51.034,14.729,28.787,8,4.027,0,51.034,0
2025-06-17,22,remake,47.863,15.167,32.156,2,4.107,0,47.863,0
2024-07-13,27,SUS_DOMESTICUS,50.625,11.251,25.632,2,4.617,0,50.625,0
2024-07-21,27,SUS_DOMESTICUS,47.2,13.427,26.131,4,4.39,0,47.2,0
2025-07-07,27,SUS_DOMESTICUS,53.642,16.302,30.007,5,4.321,0,53.642,0
2025-08-08,27,SUS_DOMESTICUS,63.75,18.961,28.85,9,4.598,0,63.75,0
2025-06-24,31,CarbonatedLove,47.458,13.403,27.809,2,3.964,0,47.458,0
2025-07-02,31,CarbonatedLove,53.788,14.087,24.185,4,4.451,0,53.788,0
2024-07-21,33,Tsui,47.328,12.658,23.841,3,4.339,0,47.328,0
2024-09-04,33,Tsui,57.143,15.624,26.314,8,3.833,0,57.143,0
2025-07-07,33,Tsui,58.14,18.441,27.733,6,4.28,0,58.14,0
2025-07-18,33,Tsui,56.863,20.271,28.001,10,3.448,0,56.863,0
2025-08-08,33,Tsui,56.842,13.627,28.414,2,4.759,0,56.842,0
2025-06-11,34,YuriMeguri,71.277,24.075,26,6,3.597,0,71.277,0
2025-06-21,34,YuriMeguri,59.286,16.848,27.336,5,4.024,0,59.286,0
2024-07-13,35,Akaze,40.278,11.596,26.19,5,4.224,0,40.278,0
2024-07-19,35,Akaze,37.681,9.636,26.513,8,4.442,0,37.681,0
2025-06-17,35,Akaze,28.125,6.233,31.056,1,4.972,0,28.125,0
2025-06-21,35,Akaze,38.356,7.642,31.653,2,4.732,0,38.356,0
2025-07-02,35,Akaze,37.778,8.483,24.875,2,4.686,0,37.778,0
2025-07-07,35,Akaze,32.961,6.163,30.336,0,5.186,0,32.961,0
2024-06-03,36,anonimus_opinion,37.895,9.852,27.204,2,3.972,0,37.895,0
2025-08-08,36,anonimus_opinion,48.78,11.62,30.368,3,4.888,0,48.78,0
2024-07-13,37,Sjoe,47.917,14.544,25.52,8,4.058,0,47.917,0
2025-06-17,37,HistoriaReiss,47.183,12.019,29.299,5,4.672,0,47.183,0
2025-07-18,37,HistoriaReiss,43.089,10.666,28.11,2,4.094,0,43.089,0
2025-07-24,37,HistoriaReiss,37.013,11.623,28.314,5,4,0,37.013,0
2024-09-26,38,Diukes,57.009,20.632,21.89,9,3.475,0,57.009,0
2025-06-05,38,Diukes,60.169,20.501,25.556,10,3.831,0,60.169,0
2025-06-11,38,Diukes,55.056,18.741,26.308,2,3.612,0,55.056,0
2025-06-17,38,Diukes,50.427,17.774,27.942,8,3.949,0,50.427,0
2025-06-21,38,Diukes,46.897,13.47,26.132,6,4.059,0,46.897,0
2025-06-24,38,Diukes,58.475,19.816,26.104,5,3.609,0,58.475,0
2025-07-02,38,Diukes,59.259,18.865,22.996,6,3.938,0,59.259,0
2025-07-07,38,Diukes,53.642,15.912,27.726,4,4.309,0,53.642,0
2025-07-18,38,Diukes,58.268,21.22,25.633,9,3.297,0,58.268,0
2025-07-24,38,Diukes,49.286,13.737,29.315,2,4.159,0,49.286,0
2024-09-05,41,koroshiya,50.0,17.115,23.901,13,3.086,0,50,0
2024-09-26,41,koroshiya,53.465,18.795,22.968,7,3.5,0,53.465,0
2025-06-05,41,badatlife,61.538,21.383,25.937,9,3.682,0,61.538,0
2025-06-17,41,badatlife,56.098,15.216,26.935,2,4.362,0,56.098,0
2025-06-21,41,badatlife,56.849,19.128,27.021,12,3.699,0,56.849,0
2025-07-02,41,badatlife,63.504,15.663,26.124,2,4.414,0,63.504,0
2025-07-07,41,badatlife,56.395,16.738,28.397,2,4.371,0,56.395,0
2025-07-18,41,badatlife,58.333,19.453,26.29,8,3.619,0,58.333,0
2025-07-24,41,badatlife,52.414,16.755,27.185,10,4.118,0,52.414,0
2025-08-08,41,badatlife,61.875,15.348,27.917,3,4.818,0,61.875,0
2025-07-18,43,mkby,22.764,4.186,30.523,0,4.786,0,22.764,0
2025-07-24,43,mkby,28.966,5.901,33.922,1,5.024,0,28.966,0
2025-08-01,43,mkby,21.782,4.094,30.288,1,4.864,0,21.782,0
2025-08-01,44,NicoIe,38.346,8.897,29.397,2,4.216,0,38.346,0
2025-06-05,46,Orfey,28.205,7.699,29.864,1,4.091,0,28.205,0
2025-06-17,46,Orfey,34.188,9.383,30.655,2,4.425,0,34.188,0
2025-06-24,46,Orfey,31.707,7.811,29.091,0,4.282,0,31.707,0
2025-07-02,46,Orfey,30.137,6.753,27.057,2,4.818,0,30.137,0
2024-06-03,47,Rissa,39.216,12.676,24.542,6,3.75,0,39.216,0
2024-07-13,47,Rissa,28.455,7.03,27.189,1,4.629,0,28.455,0
2024-07-18,47,Rissa,40.87,9.417,27.162,2,4.404,0,40.87,0
2024-07-19,47,Rissa,47.581,13.527,26.96,5,3.814,0,47.581,0
2024-09-26,47,Rissa,37.624,9.586,25.506,0,4.026,0,37.624,0
2025-06-05,47,Rissa,33.898,7.315,29.637,2,4.775,0,33.898,0
2025-06-11,47,Rissa,41.573,11.363,29.363,1,4.081,0,41.573,0
2025-06-05,49,BlackCondor,30.769,8.145,26.765,3,4.295,0,30.769,0
2025-06-11,49,BlackCondor,37.6,9.752,30.418,3,4.298,0,37.6,0
2025-06-17,49,BlackCondor,30.081,9.901,26.581,4,4.162,0,30.081,0
2025-06-24,49,BlackCondor,30.769,9.834,27.032,5,3.972,0,30.769,0
2024-07-19,50,Sniparook,43.704,13.679,24.088,7,3.508,0,43.704,0
2025-06-11,50,Sniparook,57.391,16.787,26.992,3,3.924,0,57.391,0
2025-06-17,50,Sniparook,64.789,19.834,27.674,7,4.239,0,64.789,0
2025-06-24,50,Sniparook,55.856,19.669,28.589,7,3.532,0,55.856,0
2025-08-08,52,Thaleko,41.935,11.499,28.523,2,4.558,0,41.935,0
2024-07-13,55,isabella,27.419,7.366,26.569,2,4.294,0,27.419,0
2025-06-24,55,pandacookie,37.234,10.323,30.277,1,4,0,37.234,0
2025-08-01,55,xieliann,46.535,14.313,26.493,6,3.681,0,46.535,0
2024-06-03,59,neoburnz,38.793,7.248,27.818,3,4.667,0,38.793,0
2024-07-13,59,neoburnz,38.519,7.538,28.399,0,4.962,0,38.519,0
2025-07-07,59,neoburnz,46.369,11.307,29.781,2,4.711,0,46.369,0
2025-07-18,59,neoburnz,35.345,8.76,32.233,3,4.268,0,35.345,0
2025-08-08,59,neoburnz,45.0,7.159,30.928,0,5.542,0,45,0
