Tournament Date,Player ID,player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
2025-06-05,1,Atsui_,9.524,1.474,35.885,0,5.333,0,9.524,0
2025-06-17,4,AKl,64.062,21.372,26,6,4.037,0,64.062,0
2025-06-24,4,poyoyoyoyo,83.478,29.33,26.2,13,3.604,0,83.478,0
2025-07-07,4,poyoyoyoyo,74.302,25.865,26.03,10,4.015,0,74.302,0
2025-07-18,4,AKl,74.49,33.283,24.531,18,2.767,0,74.49,0
2025-07-07,17,gro,34.615,8.624,28.836,2,4.796,0,34.615,0
2025-07-18,17,gro,43.902,14.151,24.879,7,3.611,0,43.902,0
2025-08-08,17,gro,51.053,14.859,26.633,4,4.505,0,51.053,0
2025-06-05,20,kkura_,31.068,7.384,28.007,1,4.5,0,31.068,0
2025-06-11,20,kkura_,58.4,13.37,29.897,2,4.397,0,58.4,0
2025-06-21,20,kkura_,43.704,11.981,27.922,3,4.102,0,43.704,0
2025-06-24,20,kkura_,54.701,16.811,27.671,2,3.734,0,54.701,0
2025-07-02,20,kkura_,58.219,14.956,27.867,1,4.306,0,58.219,0
2025-08-01,20,kar72,50.0,14.179,28.732,7,3.887,0,50,0
2025-06-05,21,PoolNoodle,41.748,11.143,27.971,2,4.233,0,41.748,0
2025-06-11,21,PoolNoodle,53.6,12.685,29.699,4,4.418,0,53.6,0
2025-06-17,21,PoolNoodle,46.341,11.154,29.237,2,4.632,0,46.341,0
2025-06-21,21,PoolNoodle,51.034,14.729,28.787,8,4.027,0,51.034,0
2025-06-17,22,remake,47.863,15.167,32.156,2,4.107,0,47.863,0
2025-07-07,27,SUS_DOMESTICUS,53.642,16.302,30.007,5,4.321,0,53.642,0
2025-08-08,27,SUS_DOMESTICUS,63.75,18.961,28.85,9,4.598,0,63.75,0
2025-06-24,31,CarbonatedLove,47.458,13.403,27.809,2,3.964,0,47.458,0
2025-07-02,31,CarbonatedLove,53.788,14.087,24.185,4,4.451,0,53.788,0
2025-07-07,33,Tsui,58.14,18.441,27.733,6,4.28,0,58.14,0
2025-07-18,33,Tsui,56.863,20.271,28.001,10,3.448,0,56.863,0
2025-08-08,33,Tsui,56.842,13.627,28.414,2,4.759,0,56.842,0
2025-06-11,34,YuriMeguri,71.277,24.075,26,6,3.597,0,71.277,0
2025-06-21,34,YuriMeguri,59.286,16.848,27.336,5,4.024,0,59.286,0
2025-06-17,35,Akaze,28.125,6.233,31.056,1,4.972,0,28.125,0
2025-06-21,35,Akaze,38.356,7.642,31.653,2,4.732,0,38.356,0
2025-07-02,35,Akaze,37.778,8.483,24.875,2,4.686,0,37.778,0
2025-07-07,35,Akaze,32.961,6.163,30.336,0,5.186,0,32.961,0
2025-08-08,36,anonimus_opinion,48.78,11.62,30.368,3,4.888,0,48.78,0
2025-06-17,37,HistoriaReiss,47.183,12.019,29.299,5,4.672,0,47.183,0
2025-07-18,37,HistoriaReiss,43.089,10.666,28.11,2,4.094,0,43.089,0
