# Full PV List:
ID: 4 | watashiii played like a 140.14. (Current rank 140.14, Δ0.0)
ID: 8 | Hejsan played like a 92.49. (Current rank 92.49, Δ0.0)
ID: 20 | kar72 played like a 101.39. (Current rank 101.39, Δ0.0)
ID: 26 | asleep played like a 95.98. (Current rank 95.98, Δ0.0)
ID: 37 | claydoll1091 played like a 92.79. (Current rank 92.79, Δ0.0)
ID: 38 | Diukes played like a 112.07. (Current rank 112.07, Δ0.0)
ID: 41 | koroshiya played like a 123.21. (Current rank 123.21, Δ0.0)
ID: 44 | Nicole played like a 84.25. (Current rank 84.25, Δ0.0)
ID: 52 | Thaleko played like a 94.76. (Current rank 94.76, Δ0.0)
ID: 70 | MahiruShiina played like a 72.35. (Current rank 72.35, Δ0.0)
ID: 76 | comfv played like a 86.35. (Current rank 86.35, Δ0.0)
ID: 79 | JuliAless64 played like a 86.01. (Current rank 86.01, Δ0.0)
ID: 81 | Pile played like a 81.32. (Current rank 81.32, Δ0.0)
ID: 84 | Alkios played like a 84.53. (Current rank 84.53, Δ0.0)
ID: 103 | mrwolf2 played like a 100.14. (Current rank 100.14, Δ0.0)
ID: 106 | cafezinho played like a 80.59. (Current rank 80.59, Δ0.0)
ID: 112 | Legitted played like a 80.18. (Current rank 80.18, Δ0.0)
ID: 115 | Saiki played like a 69.32. (Current rank 69.32, Δ0.0)
ID: 119 | Fumiii played like a 71.73. (Current rank 71.73, Δ0.0)
ID: 121 | Janoxx played like a 66.22. (Current rank 66.22, Δ0.0)
ID: 228 | Dry played like a 94.37. (Current rank 94.37, Δ0.0)
ID: 238 | Progenitor played like a 77.51. (Current rank 77.51, Δ0.0)
ID: 241 | yasashiikumo played like a 73.96. (Current rank 73.96, Δ0.0)
ID: 259 | Patoche49 played like a 48.94. (Current rank 48.94, Δ0.0)
ID: 260 | AnotherWish played like a 59.66. (Current rank 59.66, Δ0.0)
ID: 274 | Mami played like a 88.77. (Current rank 88.77, Δ0.0)
ID: 276 | hmsuis played like a 79.32. (Current rank 79.32, Δ0.0)
ID: 282 | akatsuki played like a 142.57. (Current rank 142.57, Δ0.0)
ID: 311 | beautiful played like a 89.07. (Current rank 89.07, Δ0.0)
ID: 335 | xeyz played like a 65.09. (Current rank 65.09, Δ0.0)
ID: 343 | inta played like a 59.98. (Current rank 59.98, Δ0.0)
ID: 347 | Selaph played like a 72.58. (Current rank 72.58, Δ0.0)
ID: 349 | Porte played like a 60.96. (Current rank 60.96, Δ0.0)
ID: 506 | tmokenc played like a 104.48. (Current rank 104.48, Δ0.0)

# MVPS:
:first_place: watashiii. Played like a 140.14 rank (Current Rank: 140.14, Δ0.0)
:second_place: ID: Hejsan. Played like a 92.49 rank (Current Rank: 92.49, Δ0.0)
:third_place: ID: kar72. Played like a 101.39 rank (Current Rank: 101.39, Δ0.0)
