Tournament Date,Player ID,Player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
2025-06-05,1,Atsui_,9.524,1.474,35.885,0,5.333,0,9.524,0
2025-10-10,1,Atsui_,21.008,4.028,36.464,0,4.92,0,21.008,0
2025-06-05,20,kkura_,31.068,7.384,28.007,1,4.5,0,31.068,0
2025-06-11,20,kkura_,58.4,13.37,29.897,2,4.397,0,58.4,0
2025-06-21,20,kkura_,43.704,11.981,27.922,3,4.102,0,43.704,0
2025-06-24,20,kkura_,54.701,16.811,27.671,2,3.734,0,54.701,0
2025-07-02,20,kkura_,58.219,14.956,27.867,1,4.306,0,58.219,0
2025-08-01,20,kar72,50.0,14.179,28.732,7,3.887,0,50,0
2025-10-17,20,kar72,45.522,14.885,28.693,8,4.033,0,45.522,0
2025-07-07,27,SUS_DOMESTICUS,53.642,16.302,30.007,5,4.321,0,53.642,0
2025-08-08,27,SUS_DOMESTICUS,63.75,18.961,28.85,9,4.598,0,63.75,0
2025-11-15,27,SUS_DOMESTICUS,59.333,20.214,27.642,5,3.73,0,59.333,0
2025-06-17,37,HistoriaReiss,47.183,12.019,29.299,5,4.672,0,47.183,0
2025-07-18,37,HistoriaReiss,43.089,10.666,28.11,2,4.094,0,43.089,0
2025-07-24,37,HistoriaReiss,37.013,11.623,28.314,5,4,0,37.013,0
2025-10-10,37,Hathaway_Noa,39.568,12.397,28.789,4,3.891,0,39.568,0
2025-10-17,37,Hathaway_Noa,45.07,14.294,27.737,4,4.125,0,45.07,0
2025-11-15,37,Hathaway_Noa,42.52,14.339,26.005,5,3.889,0,42.52,0
2025-06-21,38,Diukes,46.897,13.47,26.132,6,4.059,0,46.897,0
2025-06-24,38,Diukes,58.475,19.816,26.104,5,3.609,0,58.475,0
2025-07-02,38,Diukes,59.259,18.865,22.996,6,3.938,0,59.259,0
2025-07-07,38,Diukes,53.642,15.912,27.726,4,4.309,0,53.642,0
2025-07-18,38,Diukes,58.268,21.22,25.633,9,3.297,0,58.268,0
2025-07-24,38,Diukes,49.286,13.737,29.315,2,4.159,0,49.286,0
2025-08-15,38,Diukes,55.14,21.818,25.718,9,3.051,0,55.14,0
2025-10-03,38,Diukes,56.25,16.542,27.868,5,3.877,0,56.25,0
2025-10-10,38,Diukes,51.145,18.917,28.791,10,3.537,0,51.145,0
2025-10-17,38,Diukes,53.043,22.413,23.228,10,3.295,0,53.043,0
2025-07-07,41,badatlife,56.395,16.738,28.397,2,4.371,0,56.395,0
2025-07-18,41,badatlife,58.333,19.453,26.29,8,3.619,0,58.333,0
2025-07-24,41,badatlife,52.414,16.755,27.185,10,4.118,0,52.414,0
2025-08-08,41,badatlife,61.875,15.348,27.917,3,4.818,0,61.875,0
2025-08-15,41,badatlife,52.101,20.557,25.135,13,3.161,0,52.101,0
2025-10-03,41,badatlife,61.688,19.12,25.668,6,3.695,0,61.688,0
2025-10-10,41,badatlife,64.706,25.442,27.333,13,3.299,0,64.706,0
2025-10-17,41,badatlife,58.824,19.694,24.852,3,3.871,0,58.824,0
2025-10-23,41,badatlife,61.386,28.668,24.534,19,2.823,0,61.386,0
2025-11-15,41,badatlife,62.252,23.974,26.249,12,3.606,0,62.252,0
2025-07-18,43,mkby,22.764,4.186,30.523,0,4.786,0,22.764,0
2025-07-24,43,mkby,28.966,5.901,33.922,1,5.024,0,28.966,0
2025-08-01,43,mkby,21.782,4.094,30.288,1,4.864,0,21.782,0
2025-08-15,43,mkby,26.168,6.969,31.611,1,3.929,0,26.168,0
2025-10-17,43,mkby,27.465,5.808,29.903,0,4.821,0,27.465,0
2025-10-23,43,mkby,25.926,4.025,35.447,1,5.321,0,25.926,0
2025-06-05,46,Orfey,28.205,7.699,29.864,1,4.091,0,28.205,0
2025-06-17,46,Orfey,34.188,9.383,30.655,2,4.425,0,34.188,0
2025-06-24,46,Orfey,31.707,7.811,29.091,0,4.282,0,31.707,0
2025-07-02,46,Orfey,30.137,6.753,27.057,2,4.818,0,30.137,0
2025-10-17,46,Orfey,21.739,6.248,24.12,1,4.2,0,21.739,0
2025-06-05,47,Rissa,33.898,7.315,29.637,2,4.775,0,33.898,0
2025-06-11,47,Rissa,41.573,11.363,29.363,1,4.081,0,41.573,0
2025-10-23,47,Rissa,37.815,10.631,31.614,4,4.067,0,37.815,0
2025-11-15,47,Rissa,37.008,10.672,28.592,2,4.149,0,37.008,0
