Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE
4,2026-03-22 21:57:25,154.55,watashiii,75.281,360.265,23,9,0,3.182,53,0,75.281,0,28,27,77,107,8,9,0
14,2026-01-05 22:21:25,20.376,ArronChu,72.358,27.748,10,13,0,3.449,50,0,72.358,0,16,38,89,123,0,6,0
20,2026-03-08 22:30:18,111.19,kar72,51.316,131.72,3,8,0,4.5,27,0,51.316,0,11,15,78,155,11,6,0
21,2026-03-08 22:30:18,107.46,PoolNoodle,43.226,110.771,2,8,0,4.672,20,0,43.226,0,9,8,67,155,6,5,0
28,2026-01-05 22:21:25,17.0,FORTNAYT,53.147,16.26,8,30,0,4.105,31,0,53.147,0,12,18,76,143,3,2,1
33,2026-03-08 22:30:18,128.0,Tsui,58.088,146.221,2,10,0,4.253,34,0,58.088,0,8,18,79,136,3,2,0
38,2026-03-22 21:57:25,119.79,Diukes,58.462,167.534,7,5,0,3.987,42,0,58.462,0,13,31,79,150,14,19,2
41,2026-03-15 16:27:21,131.92,koroshiya,67.424,220.604,16,18,0,3.988,66,0,67.424,0,23,34,97,149,11,17,1
44,2026-03-15 16:27:21,108.0,Nicole,41.606,93.013,3,16,0,4.474,20,0,41.606,0,8,6,57,137,3,3,0
50,2026-03-08 22:30:18,133.7,Sniparook,61.935,150.128,12,28,0,3.984,49,0,61.935,0,18,22,96,155,6,5,0
51,2026-01-29 22:24:05,10.448,Chata,45.161,11.895,6,24,0,4.371,28,0,45.161,0,11,12,70,155,7,5,0
52,2026-03-15 16:27:21,113.0,Thaleko,51.095,126.535,5,16,0,4.314,26,0,51.095,0,8,14,70,137,5,5,1
58,2026-01-11 09:48:07,12.649,Lika,35.714,9.311,2,12,0,4.62,18,0,35.714,0,3,5,50,140,2,4,0
59,2026-01-11 09:48:07,12.143,neoburnz,37.143,8.722,1,12,2,4.673,12,0,37.143,0,1,8,52,140,2,4,0
70,2026-01-11 09:48:07,10.002,MahiruShiina,28.758,6.641,1,5,3,5.091,13,0,28.758,0,6,3,44,153,6,0,0
72,2026-01-11 09:48:07,10.0,ruuka,23.684,4.647,1,10,1,5.278,8,0,23.684,0,4,0,36,152,2,4,0
