Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Player ID
2026-01-16 22:29:31,20.759,watashiii,67.416,32.34,19,9,0,2.7,44,0,67.416,0,24,19,60,89,3,3,0,4
2026-01-05 22:21:25,20.376,ArronChu,72.358,27.748,10,13,0,3.449,50,0,72.358,0,16,38,89,123,0,6,0,14
2026-01-05 22:21:25,15.063,kar72,51.316,12.174,2,16,0,4.5,23,0,51.316,0,5,15,78,152,5,1,0,20
2026-01-29 22:24:05,14.49,kar72,50.323,12.614,3,24,0,4.397,27,0,50.323,0,11,12,78,155,2,4,0,20
2026-01-29 22:24:05,14.0,PoolNoodle,43.226,9.527,2,24,0,4.672,20,0,43.226,0,9,5,67,155,2,4,0,21
2026-01-05 22:21:25,17.0,FORTNAYT,53.147,16.26,8,30,0,4.105,31,0,53.147,0,12,18,76,143,3,2,1,28
2026-01-05 22:21:25,16.686,Diukes,52.667,17.115,6,27,0,3.835,40,0,52.667,0,9,19,79,150,3,2,1,38
2026-01-11 09:48:07,16.835,Diukes,56.204,20.115,5,5,0,3.87,36,0,56.204,0,5,28,77,137,2,4,0,38
2026-01-16 22:29:31,16.835,Diukes,50.388,17.398,4,17,0,3.462,42,0,50.388,0,7,31,65,129,2,4,0,38
2026-01-11 09:48:07,18.491,koroshiya,60.714,20.629,5,12,0,3.988,38,0,60.714,0,7,22,85,140,2,4,0,41
2026-01-16 22:29:31,18.491,koroshiya,65.101,26.77,16,18,0,3.0,66,0,65.101,0,23,34,97,149,2,4,0,41
2026-01-29 22:24:05,18.491,koroshiya,60.87,21.153,12,16,0,3.798,42,0,60.87,0,17,21,84,138,4,2,0,41
2026-01-29 22:24:05,17.395,Sniparook,61.935,20.488,12,28,0,3.865,49,0,61.935,0,18,20,96,155,4,2,0,50
2026-01-05 22:21:25,10.448,Chata,40.789,11.324,6,16,0,4.371,23,0,40.789,0,9,9,62,152,5,1,0,51
2026-01-29 22:24:05,9.906,Chata,45.161,11.895,3,24,0,4.329,28,0,45.161,0,11,12,70,155,2,4,0,51
2026-01-11 09:48:07,12.649,Lika,35.714,9.311,2,12,0,4.62,18,0,35.714,0,3,5,50,140,2,4,0,58
2026-01-11 09:48:07,12.143,neoburnz,37.143,8.722,1,12,2,4.673,12,0,37.143,0,1,8,52,140,2,4,0,59
