Player ID,PlayerName,ELONOWR,ELO,WR MODIFIER,STREAK MODIFIER,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,PALL,PRECENT,WR,STREAK,DELTAWR
4,watashiii,158.74,158.74,0.0,0.0,0.597,0.716,0.008,0.0,0.745,0.845,24.0,95.0,8,9,0,3,8,9,0,17,17,0.471,0.471,0.0
301,channina,158.72,158.72,0.0,0.0,0.597,0.856,0.004,0.0,0.616,0.75,43.0,153.0,6,0,0,1,6,0,0,6,6,1.0,1.0,0.0
178,Eryth,145.06,145.06,0.0,0.0,0.521,0.796,0.002,0.0,0.617,0.5,43.0,152.0,2,4,0,1,2,4,0,6,6,0.333,0.333,0.0
14,ArronChu,144.61,144.61,0.0,0.0,0.519,0.724,0.004,0.0,0.65,0.571,38.0,123.0,0,6,0,1,0,6,0,6,6,0.0,0.0,0.0
41,koroshiya,133.91,133.91,0.0,0.0,0.46,0.619,0.003,0.0,0.618,0.5,24.8,133.8,11,17,1,5,11,17,1,29,29,0.397,0.397,0.0
50,Sniparook,127.69,127.69,0.0,0.0,0.425,0.566,0.003,0.0,0.582,0.464,21.0,137.0,6,5,0,2,6,5,0,11,11,0.545,0.545,0.0
28,FORTNAYT,123.08,123.08,0.0,0.0,0.4,0.531,0.002,0.0,0.556,0.429,18.0,143.0,3,2,1,1,3,2,1,6,6,0.583,0.583,0.0
268,civiltwlight,122.82,122.82,0.0,0.0,0.399,0.496,0.003,0.0,0.607,0.429,14.0,121.0,3,3,0,1,3,3,0,6,6,0.5,0.5,0.0
33,Tsui,119.7,119.7,0.0,0.0,0.381,0.581,0.001,0.0,0.535,0.286,18.0,136.0,3,2,0,1,3,2,0,5,5,0.6,0.6,0.0
20,kar72,113.64,113.64,0.0,0.0,0.348,0.49,0.001,0.0,0.539,0.274,12.333,139.0,11,6,0,3,11,6,0,17,17,0.647,0.647,0.0
52,Thaleko,113.57,113.57,0.0,0.0,0.348,0.493,0.001,0.0,0.539,0.268,13.5,127.5,5,5,1,2,5,5,1,11,11,0.5,0.5,0.0
51,Chata,112.4,112.4,0.0,0.0,0.341,0.43,0.001,0.0,0.521,0.357,10.5,153.5,7,5,0,2,7,5,0,12,12,0.583,0.583,0.0
