Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples
4,watashiii,71.553,17.667,0.0,2.787,23.667,24.0,95.0,8,9,0,3
14,ArronChu,72.358,10.0,0.0,3.449,16.0,38.0,123.0,0,6,0,1
20,kar72,49.031,2.333,0.0,4.226,7.667,12.333,139.0,11,6,0,3
21,PoolNoodle,42.067,2.0,0.0,4.302,7.5,6.5,132.5,6,5,0,2
28,FORTNAYT,53.147,8.0,0.0,4.105,12.0,18.0,143.0,3,2,1,1
33,Tsui,58.088,2.0,0.0,4.253,8.0,18.0,136.0,3,2,0,1
38,Diukes,50.097,5.5,0.0,3.621,8.5,20.0,125.5,14,19,2,6
41,koroshiya,61.913,9.4,0.0,3.671,14.0,24.8,133.8,11,17,1,5
44,Nicole,41.606,3.0,0.0,4.474,8.0,6.0,137.0,3,3,0,1
50,Sniparook,56.598,8.0,0.0,3.924,13.0,21.0,137.0,6,5,0,2
51,Chata,42.975,4.5,0.0,4.35,10.0,10.5,153.5,7,5,0,2
52,Thaleko,49.276,3.5,0.0,4.228,7.5,13.5,127.5,5,5,1,2
58,Lika,35.714,2.0,0.0,4.62,3.0,5.0,140.0,2,4,0,1
59,neoburnz,37.143,1.0,2.0,4.673,1.0,8.0,140.0,2,4,0,1
70,MahiruShiina,28.758,1.0,3.0,5.091,6.0,3.0,153.0,6,0,0,1
72,ruuka,23.684,1.0,1.0,5.278,4.0,0.0,152.0,2,4,0,1
76,comfv,38.095,2.0,0.0,4.175,4.0,10.0,105.0,4,2,0,1
79,JuliAless64,35.624,1.667,0.0,4.849,2.333,6.667,131.667,7,10,0,3
81,Pile,27.737,2.0,1.0,4.474,4.0,7.0,137.0,2,4,0,1
82,ShiinaMahiru,33.884,6.0,0.0,4.293,8.0,6.0,121.0,3,3,0,1
84,Alkios,37.273,1.0,1.0,4.683,2.0,5.0,110.0,1,3,1,1
91,Baikinman,23.97,1.0,1.0,5.024,5.0,1.5,138.0,7,5,0,2
97,chaabdu92,30.921,0.0,1.0,5.021,4.0,3.0,152.0,5,1,0,1
103,mrwolf2,40.8,4.5,0.5,4.32,7.5,10.0,137.0,7,5,0,2
106,cafezinho,37.45,2.75,0.5,4.234,6.25,7.25,126.25,16,7,1,4
115,Saiki,21.888,0.833,1.833,4.568,3.5,3.667,122.667,14,21,0,6
119,Fumiii,20.563,1.5,0.0,4.748,2.0,2.0,107.5,8,3,0,2
121,Janoxx,16.834,0.5,1.25,4.679,2.5,2.0,114.25,7,16,0,4
134,Jakemonkey,30.263,0.0,2.0,5.152,4.0,1.0,152.0,2,4,0,1
143,mahzrunner,28.972,0.0,0.0,4.097,5.0,1.0,107.0,2,3,0,1
160,Skychael,28.462,1.0,0.0,5.027,4.0,3.0,130.0,4,2,0,1
169,yashadox,17.45,0.0,0.0,4.731,2.0,0.0,149.0,2,4,0,1
178,Eryth,79.605,8.0,0.0,3.678,14.0,43.0,152.0,2,4,0,1
181,Yolowolf75,16.854,1.0,0.0,4.267,5.0,0.0,89.0,3,3,0,1
221,Neumann,27.614,1.0,2.0,5.398,2.5,2.0,144.5,9,2,0,2
228,Dry,33.685,4.667,0.833,3.976,7.5,8.667,124.5,20,15,0,6
238,Progenitor,28.212,1.5,0.25,4.59,4.25,2.75,114.25,10,12,1,4
241,yasashiikumo,31.209,1.571,0.714,4.655,4.857,4.0,132.714,23,16,2,7
248,eternity,31.818,5.0,2.0,3.4,10.0,7.0,110.0,4,1,0,1
253,Rhummy,7.317,0.0,0.0,5.667,1.0,2.0,123.0,0,6,0,1
259,Patoche49,12.485,2.0,2.0,5.194,3.0,1.0,123.5,4,6,1,2
268,civiltwlight,49.587,7.0,0.0,3.75,12.0,14.0,121.0,3,3,0,1
276,hmsuis,30.193,0.5,0.0,4.99,3.5,3.0,119.5,6,6,0,2
277,chemist,24.793,0.0,1.0,4.9,1.0,5.0,121.0,3,3,0,1
289,Provenance,24.446,3.25,0.75,4.098,5.75,3.0,121.75,8,14,1,4
291,ss_r_white_pony,16.107,1.0,0.0,4.708,2.0,2.0,149.0,2,4,0,1
301,channina,85.621,14.0,0.0,3.687,21.0,43.0,153.0,6,0,0,1
317,Hyonoka,20.0,2.0,4.0,4.2,4.0,3.0,150.0,3,2,1,1
327,Flato,25.701,0.667,1.0,4.824,4.0,1.667,129.0,10,7,1,3
330,_nadeshiko,24.088,4.0,1.0,4.879,6.0,2.0,137.0,3,3,0,1
335,xeyz,20.583,1.0,0.0,4.828,1.5,4.5,113.5,5,7,0,2
368,arpia97,15.0,0.0,2.0,5.619,1.0,1.0,140.0,2,4,0,1
369,florenz,31.373,0.0,2.0,5.375,3.0,0.0,153.0,6,0,0,1
388,Tsuni,7.865,0.0,0.0,5.0,2.0,0.0,89.0,3,3,0,1
403,AnnaYanami,22.816,1.75,0.25,4.689,4.25,2.5,124.0,12,10,1,4
410,FoopyPoopy,5.792,0.0,3.0,5.651,0.667,0.0,111.0,8,10,0,3
416,OkitaNobu,20.0,1.0,3.0,5.0,3.0,1.0,110.0,1,3,1,1
430,HaruUrara,32.089,2.0,1.0,4.8,4.5,4.5,125.5,4,7,0,2
