Player ID,PlayerName,ELONOWR,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,ELO
4,watashiii,158.74,0.597,0.716,0.008,0.0,0.745,0.845,24.0,95.0,8,9,0,3,8,9,0,158.74
14,ArronChu,144.61,0.519,0.724,0.004,0.0,0.65,0.571,38.0,123.0,0,6,0,1,0,6,0,144.61
20,kar72,113.64,0.348,0.49,0.001,0.0,0.539,0.274,12.333,139.0,11,6,0,3,11,6,0,113.64
21,PoolNoodle,108.56,0.32,0.421,0.001,0.0,0.528,0.268,6.5,132.5,6,5,0,2,6,5,0,108.56
28,FORTNAYT,123.08,0.4,0.531,0.002,0.0,0.556,0.429,18.0,143.0,3,2,1,1,3,2,1,123.08
33,Tsui,119.7,0.381,0.581,0.001,0.0,0.535,0.286,18.0,136.0,3,2,0,1,3,2,0,119.7
38,Diukes,118.93,0.377,0.501,0.002,0.0,0.626,0.304,20.0,125.5,14,19,2,6,14,19,2,118.93
41,koroshiya,133.91,0.46,0.619,0.003,0.0,0.618,0.5,24.8,133.8,11,17,1,5,11,17,1,133.91
44,Nicole,108.02,0.317,0.416,0.001,0.0,0.504,0.286,6.0,137.0,3,3,0,1,3,3,0,108.02
50,Sniparook,127.69,0.425,0.566,0.003,0.0,0.582,0.464,21.0,137.0,6,5,0,2,6,5,0,127.69
51,Chata,112.4,0.341,0.43,0.001,0.0,0.521,0.357,10.5,153.5,7,5,0,2,7,5,0,112.4
52,Thaleko,113.57,0.348,0.493,0.001,0.0,0.539,0.268,13.5,127.5,5,5,1,2,5,5,1,113.57
58,Lika,96.43,0.253,0.357,0.001,0.0,0.483,0.107,5.0,140.0,2,4,0,1,2,4,0,96.43
59,neoburnz,94.22,0.241,0.371,0.0,2.0,0.475,0.036,8.0,140.0,2,4,0,1,2,4,0,94.22
70,MahiruShiina,93.57,0.237,0.288,0.0,3.0,0.416,0.214,3.0,153.0,6,0,0,1,6,0,0,93.57
72,ruuka,86.5,0.198,0.237,0.0,1.0,0.389,0.143,0.0,152.0,2,4,0,1,2,4,0,86.5
76,comfv,101.85,0.283,0.381,0.001,0.0,0.546,0.143,10.0,105.0,4,2,0,1,4,2,0,101.85
79,JuliAless64,94.15,0.24,0.356,0.001,0.0,0.45,0.083,6.667,131.667,7,10,0,3,7,10,0,94.15
81,Pile,93.59,0.237,0.277,0.001,1.0,0.504,0.143,7.0,137.0,2,4,0,1,2,4,0,93.59
82,ShiinaMahiru,104.18,0.296,0.339,0.002,0.0,0.53,0.286,6.0,121.0,3,3,0,1,3,3,0,104.18
84,Alkios,95.66,0.249,0.373,0.0,1.0,0.474,0.071,5.0,110.0,1,3,1,1,1,3,1,95.66
91,Baikinman,89.51,0.215,0.24,0.0,1.0,0.425,0.179,1.5,138.0,7,5,0,2,7,5,0,89.51
97,chaabdu92,92.52,0.231,0.309,0.0,1.0,0.426,0.143,3.0,152.0,5,1,0,1,5,1,0,92.52
103,mrwolf2,107.69,0.315,0.408,0.001,0.5,0.526,0.268,10.0,137.0,7,5,0,2,7,5,0,107.69
106,cafezinho,104.27,0.296,0.375,0.001,0.5,0.538,0.223,7.25,126.25,16,7,1,4,16,7,1,104.27
115,Saiki,88.64,0.21,0.219,0.0,1.833,0.49,0.125,3.667,122.667,14,21,0,6,14,21,0,88.64
119,Fumiii,84.7,0.188,0.206,0.001,0.0,0.465,0.071,2.0,107.5,8,3,0,2,8,3,0,84.7
121,Janoxx,83.4,0.181,0.168,0.0,1.25,0.474,0.089,2.0,114.25,7,16,0,4,7,16,0,83.4
134,Jakemonkey,91.37,0.225,0.303,0.0,2.0,0.407,0.143,1.0,152.0,2,4,0,1,2,4,0,91.37
143,mahzrunner,97.87,0.261,0.29,0.0,0.0,0.558,0.179,1.0,107.0,2,3,0,1,2,3,0,97.87
