tmokenc, old rank: 60.0, new rank: 122.99, diff: 62.99
Swapin, old rank: 84.92, new rank: 92.82, diff: 7.9
hubcioskubcio, old rank: 68.842, new rank: 76.25, diff: 7.408
2skr, old rank: 84.29, new rank: 89.42, diff: 5.13
Saiki, old rank: 89.59, new rank: 94.21, diff: 4.62
inta, old rank: 92.53, new rank: 97.06, diff: 4.53
Diukes, old rank: 146.55, new rank: 150.33, diff: 3.78
sssthnoob, old rank: 102.539, new rank: 105.08, diff: 2.541
Progenitor, old rank: 117.13, new rank: 119.5, diff: 2.37
koroshiya, old rank: 159.89, new rank: 161.44, diff: 1.55
kar72, old rank: 151.81, new rank: 153.24, diff: 1.43
Thaleko, old rank: 142.69, new rank: 143.99, diff: 1.3
Mami, old rank: 134.71, new rank: 135.89, diff: 1.18
claydoll1091, old rank: 131.04, new rank: 132.16, diff: 1.12
Tsui, old rank: 124.93, new rank: 125.96, diff: 1.03
Nephirea, old rank: 121.66, new rank: 122.65, diff: 0.99
Zozo, old rank: 119.54, new rank: 120.49, diff: 0.95
Baguett, old rank: 117.87, new rank: 118.8, diff: 0.93
LeNainDuPSG, old rank: 117.45, new rank: 118.37, diff: 0.92
tapumomo, old rank: 115.78, new rank: 116.67, diff: 0.89
Legitted, old rank: 115.38, new rank: 116.27, diff: 0.89
Pile, old rank: 113.98, new rank: 114.85, diff: 0.87
CipherKai, old rank: 113.61, new rank: 114.47, diff: 0.86
civiltwlight, old rank: 111.29, new rank: 112.12, diff: 0.83
Provenance, old rank: 110.58, new rank: 111.4, diff: 0.82
HaruUrara, old rank: 109.99, new rank: 110.8, diff: 0.81
beautiful, old rank: 109.98, new rank: 110.79, diff: 0.81
Comete, old rank: 108.43, new rank: 109.22, diff: 0.79
_nadeshiko, old rank: 107.52, new rank: 108.29, diff: 0.77
pomo, old rank: 106.12, new rank: 106.87, diff: 0.75
Beokros, old rank: 106.1, new rank: 106.85, diff: 0.75
Fumiii, old rank: 105.52, new rank: 106.26, diff: 0.74
Naizuri, old rank: 105.41, new rank: 106.15, diff: 0.74
qwecocacola, old rank: 102.04, new rank: 102.73, diff: 0.69
yasashiikumo, old rank: 101.2, new rank: 101.88, diff: 0.68
Konsumenci, old rank: 100.3, new rank: 100.97, diff: 0.67
chaabdu92, old rank: 99.34, new rank: 99.99, diff: 0.65
Orfey, old rank: 99.21, new rank: 99.86, diff: 0.65
Hyo, old rank: 98.78, new rank: 99.43, diff: 0.65
Animerod, old rank: 98.96, new rank: 99.6, diff: 0.64
bamboo, old rank: 98.81, new rank: 99.45, diff: 0.64
Yolowolf75, old rank: 98.57, new rank: 99.21, diff: 0.64
AnotherWish, old rank: 98.56, new rank: 99.2, diff: 0.64
Flato, old rank: 98.05, new rank: 98.69, diff: 0.64
joey, old rank: 95.13, new rank: 95.72, diff: 0.59
Janoxx, old rank: 94.62, new rank: 95.2, diff: 0.58
Skychael, old rank: 94.31, new rank: 94.89, diff: 0.58
Heleos, old rank: 93.72, new rank: 94.29, diff: 0.57
chemist, old rank: 93.36, new rank: 93.92, diff: 0.56
Keizan, old rank: 92.74, new rank: 93.29, diff: 0.55
Jakemonkey, old rank: 92.48, new rank: 93.03, diff: 0.55
IrinaShidou, old rank: 91.13, new rank: 91.66, diff: 0.53
AnnaYanami, old rank: 90.94, new rank: 91.46, diff: 0.52
chommy, old rank: 90.46, new rank: 90.98, diff: 0.52
jaimeywea, old rank: 88.61, new rank: 89.1, diff: 0.49
Bommie, old rank: 87.33, new rank: 87.8, diff: 0.47
Baikinman, old rank: 86.59, new rank: 87.05, diff: 0.46
legrandort, old rank: 85.73, new rank: 86.18, diff: 0.45
Unborned, old rank: 85.23, new rank: 85.67, diff: 0.44
Vr0003, old rank: 85.14, new rank: 85.58, diff: 0.44
Patoche49, old rank: 84.27, new rank: 84.69, diff: 0.42
FeyFey, old rank: 82.42, new rank: 82.82, diff: 0.4
Rhummy, old rank: 80.12, new rank: 80.49, diff: 0.37
LordGrond, old rank: 79.61, new rank: 79.97, diff: 0.36
IAmAsianNoob, old rank: 77.57, new rank: 77.9, diff: 0.33
FoopyPoopy, old rank: 77.23, new rank: 77.56, diff: 0.33
Najeem, old rank: 77.12, new rank: 77.45, diff: 0.33
Shiku, old rank: 75.25, new rank: 75.55, diff: 0.3
MisheruDesu, old rank: 73.59, new rank: 73.86, diff: 0.27
Hadarios, old rank: 71.17, new rank: 71.41, diff: 0.24
JustAWeirdo, old rank: 70.77, new rank: 70.99, diff: 0.22
xeyz, old rank: 93.97, new rank: 90.77, diff: -3.2
Dry, old rank: 120.82, new rank: 117.01, diff: -3.81
