# Full PV List:
ID: 16 | yahallonyanpasu played like a 111.93. (Current rank 111.93, Δ0.0)
ID: 20 | kar72 played like a 130.66. (Current rank 130.66, Δ0.0)
ID: 26 | asleep played like a 124.03. (Current rank 124.03, Δ0.0)
ID: 31 | SakurabaRola played like a 113.39. (Current rank 113.39, Δ0.0)
ID: 37 | claydoll1091 played like a 113.69. (Current rank 113.69, Δ0.0)
ID: 38 | Diukes played like a 128.69. (Current rank 128.69, Δ0.0)
ID: 41 | koroshiya played like a 115.93. (Current rank 115.93, Δ0.0)
ID: 46 | Orfey played like a 95.66. (Current rank 95.66, Δ0.0)
ID: 51 | Chata played like a 112.0. (Current rank 112.0, Δ0.0)
ID: 58 | Lika played like a 114.47. (Current rank 114.47, Δ0.0)
ID: 76 | comfv played like a 90.24. (Current rank 90.24, Δ0.0)
ID: 77 | neptune played like a 113.56. (Current rank 113.56, Δ0.0)
ID: 81 | Pile played like a 94.14. (Current rank 94.14, Δ0.0)
ID: 82 | ShiinaMahiru played like a 103.84. (Current rank 103.84, Δ0.0)
ID: 87 | Beokros played like a 109.84. (Current rank 109.84, Δ0.0)
ID: 97 | chaabdu92 played like a 111.78. (Current rank 111.78, Δ0.0)
ID: 115 | Saiki played like a 94.41. (Current rank 94.41, Δ0.0)
ID: 121 | Janoxx played like a 92.0. (Current rank 92.0, Δ0.0)
ID: 128 | apurplenose played like a 117.92. (Current rank 117.92, Δ0.0)
ID: 129 | peeku played like a 114.5. (Current rank 114.5, Δ0.0)
ID: 134 | Jakemonkey played like a 93.75. (Current rank 93.75, Δ0.0)
ID: 144 | liljakatsuragi played like a 89.41. (Current rank 89.41, Δ0.0)
ID: 155 | Unborned played like a 64.08. (Current rank 64.08, Δ0.0)
ID: 160 | Skychael played like a 88.45. (Current rank 88.45, Δ0.0)
ID: 170 | hubcioskubcio played like a 71.8. (Current rank 71.8, Δ0.0)
ID: 175 | Kirox played like a 93.02. (Current rank 93.02, Δ0.0)
ID: 180 | psirockin played like a 82.11. (Current rank 82.11, Δ0.0)
ID: 191 | redeyes played like a 108.36. (Current rank 108.36, Δ0.0)
ID: 199 | BijouKoseki played like a 85.89. (Current rank 85.89, Δ0.0)
ID: 225 | MythAndroid played like a 72.52. (Current rank 72.52, Δ0.0)
ID: 239 | yonyon played like a 73.27. (Current rank 73.27, Δ0.0)
ID: 241 | yasashiikumo played like a 106.88. (Current rank 106.88, Δ0.0)
ID: 259 | Patoche49 played like a 78.78. (Current rank 78.78, Δ0.0)
ID: 260 | AnotherWish played like a 90.18. (Current rank 90.18, Δ0.0)
ID: 276 | hmsuis played like a 94.72. (Current rank 94.72, Δ0.0)
ID: 277 | chemist played like a 97.89. (Current rank 97.89, Δ0.0)
ID: 285 | miiarad played like a 96.84. (Current rank 96.84, Δ0.0)
ID: 289 | Provenance played like a 88.54. (Current rank 88.54, Δ0.0)
ID: 316 | HakuiKoyori played like a 81.39. (Current rank 81.39, Δ0.0)
ID: 321 | jaimeywea played like a 99.7. (Current rank 99.7, Δ0.0)
ID: 326 | pomo played like a 104.32. (Current rank 104.32, Δ0.0)
ID: 334 | 2skr played like a 82.13. (Current rank 82.13, Δ0.0)
ID: 335 | xeyz played like a 92.62. (Current rank 92.62, Δ0.0)
ID: 343 | inta played like a 83.98. (Current rank 83.98, Δ0.0)
ID: 358 | mangoss played like a 106.17. (Current rank 106.17, Δ0.0)
ID: 366 | AitsukiNakuru played like a 103.28. (Current rank 103.28, Δ0.0)
ID: 367 | PotassiumF played like a 88.98. (Current rank 88.98, Δ0.0)
ID: 368 | arpia97 played like a 91.62. (Current rank 91.62, Δ0.0)
ID: 400 | Vr0003 played like a 89.47. (Current rank 89.47, Δ0.0)
ID: 404 | anatharax played like a 67.07. (Current rank 67.07, Δ0.0)
ID: 405 | anicomi played like a 77.03. (Current rank 77.03, Δ0.0)
ID: 410 | FoopyPoopy played like a 85.49. (Current rank 85.49, Δ0.0)
ID: 416 | OkitaNobu played like a 82.15. (Current rank 82.15, Δ0.0)
ID: 422 | MapleSyyrup played like a 68.39. (Current rank 68.39, Δ0.0)
ID: 426 | Raphtelia played like a 72.87. (Current rank 72.87, Δ0.0)
ID: 429 | Nunuchu42 played like a 67.34. (Current rank 67.34, Δ0.0)
ID: 431 | Luna played like a 80.75. (Current rank 80.75, Δ0.0)
ID: 432 | Deja_ played like a 91.91. (Current rank 91.91, Δ0.0)
ID: 453 | RyoutaVN played like a 85.14. (Current rank 85.14, Δ0.0)
ID: 462 | hakohoka played like a 74.94. (Current rank 74.94, Δ0.0)
ID: 463 | Sabetin played like a 84.96. (Current rank 84.96, Δ0.0)
ID: 480 | Tugia played like a 102.1. (Current rank 102.1, Δ0.0)
ID: 489 | zomg played like a 78.44. (Current rank 78.44, Δ0.0)
ID: 493 | chiabobo played like a 60.96. (Current rank 60.96, Δ0.0)
ID: 495 | AppuruPai played like a 84.45. (Current rank 84.45, Δ0.0)
ID: 496 | lotte_616 played like a 82.52. (Current rank 82.52, Δ0.0)
ID: 505 | MaikaSasaki played like a 100.0. (Current rank 100.0, Δ0.0)

# MVPS:
:first_place: yahallonyanpasu. Played like a 111.93 rank (Current Rank: 111.93, Δ0.0)
:second_place: ID: kar72. Played like a 130.66 rank (Current Rank: 130.66, Δ0.0)
:third_place: ID: asleep. Played like a 124.03 rank (Current Rank: 124.03, Δ0.0)
