Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
20,2026-04-14 21:18:33,67.12,kar72,80.0,89.668,8,7,0,3.988,53,0,80,0,18,28,118,164,9,11,1,96,74.39,34.4,50,7,1,48,4,2,2,4.02,70
33,2026-02-13 22:29:59,65.4,Tsui,61.404,65.522,2,2,0,3.857,29,0,61.404,0,6,24,70,114,1,4,0,70,59.574,17.544,20,4,2,14,6,1,1,3.05,56
37,2026-04-23 18:00:49,111.06,claydoll1091,53.097,128.468,15,4,0,4.05,36,0,53.097,0,17,13,60,120,8,3,0,100,41.758,7.5,22,8,0,22,0,0,15,3.227,45
38,2026-05-07 17:27:53,146.55,Diukes,64.655,186.791,8,4,0,3.707,51,0,64.655,0,21,32,92,149,20,8,0,84.615,63.636,44.295,66,12,3,50,16,4,6,3.184,49
41,2026-04-23 18:00:49,120.713,koroshiya,74.336,244.706,28,4,1,3.928,65,0,74.336,0,30,30,84,126,8,8,0,91.176,74.336,31.776,36,8,4,31,6,2,28,3.361,84
45,2026-03-16 22:36:01,55.1,LeNainDuPSG,52.212,49.688,3,4,0,4.375,26,0,52.212,0,9,14,59,113,6,4,0,78.788,37.5,40.708,46,7,1,34,12,5,0,3.545,30
46,2026-04-23 18:00:49,100.0,Orfey,40.244,61.754,5,7,2,4.3,28,0,40.244,0,7,12,66,164,6,10,1,93.333,26.496,28.659,47,6,2,35,12,1,2,3.636,31
52,2026-03-16 22:36:01,65.16,Thaleko,76.087,86.327,5,4,0,3.899,31,0,76.087,0,11,16,70,108,5,5,0,96,65.079,31.522,29,9,0,29,1,1,1,3.276,45
65,2026-03-16 22:36:01,45.0,Baguett,51.22,55.104,2,3,0,3.786,21,0,51.22,0,7,7,42,82,3,2,0,94.737,38.095,23.171,19,4,0,18,1,1,0,3.579,24
66,2026-01-02 22:09:11,44.0,bamboo,36.145,33.562,2,5,0,3.9,14,0,36.145,0,5,6,30,83,0,5,0,100,24.286,15.663,13,4,0,13,0,0,0,3.538,17
81,2026-04-14 21:18:33,44.4,Pile,47.297,43.508,1,4,1,4.271,27,0,47.297,0,9,14,70,148,3,3,0,75,21.053,48.649,72,4,1,54,18,2,0,3.75,16
85,2026-04-14 21:18:33,40.0,Animerod,38.614,35.431,0,9,2,4.466,20,0,38.614,0,7,11,58,151,6,4,1,87.179,28,25.828,39,7,3,34,8,3,0,3.897,24
87,2026-04-14 21:18:33,44.76,Beokros,45.695,38.846,0,3,1,4.333,25,0,45.695,0,6,11,69,151,3,2,1,83.333,24.742,35.762,54,4,0,45,9,4,0,3.722,24
90,2026-04-23 18:00:49,80.0,Keizan,23.333,51.917,3,23,0,3.179,15,0,23.333,0,5,9,28,120,4,2,0,94.118,11.65,14.167,17,9,0,16,1,0,0,2.824,12
91,2026-01-02 22:09:11,30.0,Baikinman,30.973,20.927,1,7,0,4.543,10,0,30.973,0,4,3,35,113,1,4,0,45.455,17.241,48.673,55,8,4,25,30,3,0,3.6,10
97,2026-01-02 22:09:11,40.0,chaabdu92,36.709,32.04,1,6,0,3.897,13,0,36.709,0,5,2,29,79,2,2,0,81.818,19.298,27.848,22,1,0,18,4,1,1,3.909,11
98,2026-04-23 18:00:49,100.0,Comete,49.324,48.483,4,4,1,4.178,9,0,49.324,0,13,8,73,148,6,11,0,93.023,35.526,32.743,43,7,1,40,11,3,0,4.023,33
100,2026-03-16 22:36:01,46.88,IrinaShidou,41.6,27.728,0,4,0,4.731,11,0,41.6,0,2,1,52,125,4,1,0,63.333,21.538,48,60,7,2,38,22,3,0,3.817,14
104,2026-03-16 22:36:01,36.34,joey,28.049,38.654,5,3,0,3.435,10,0,28.049,0,5,4,23,82,3,2,0,75,12.903,24.39,20,7,0,15,5,3,0,2.55,8
112,2026-02-13 22:29:59,51.5,Legitted,54.717,38.865,0,3,0,4.707,11,0,54.717,0,8,0,58,106,4,1,0,100,42.857,20.755,22,5,0,22,0,0,0,4.318,36
115,2026-05-07 17:27:53,89.59,Saiki,36.111,126.301,8,4,2,4.25,8,0,36.111,0,9,13,39,149,17,11,0,95.238,21.839,4.425,21,11,0,20,1,1,2,3.722,22
119,2026-04-14 21:18:33,49.71,Fumiii,43.709,40.764,2,3,0,4.182,25,0,43.709,0,6,17,66,151,3,2,1,100,19.048,30.464,46,4,0,46,0,0,0,3.674,20
121,2026-04-23 18:00:49,83.31,Janoxx,31.788,35.402,5,4,4,4.292,8,0,31.788,0,10,5,48,151,15,11,1,95,8.75,4.425,29,10,1,26,3,1,0,4.0,22
123,2026-01-02 22:09:11,28.0,Konsumenci,27.778,32.177,4,3,0,3.48,13,0,27.778,0,8,2,25,90,4,1,0,85.714,10.145,23.333,21,9,1,18,3,1,0,3.048,7
134,2026-01-02 22:09:11,38.0,Jakemonkey,37.255,28.442,2,4,0,4.316,14,0,37.255,0,3,5,38,102,3,2,0,87.5,27.907,15.686,16,4,1,14,2,0,0,3.812,24
146,2026-02-13 22:29:59,41.2,tapumomo,47.788,44.243,4,4,1,4.352,16,0,47.788,0,10,3,54,113,4,1,0,96.97,27.5,29.204,33,1,0,32,1,0,1,4.03,22
149,2026-03-16 22:36:01,46.72,Zozo,47.788,46.651,2,2,1,4.13,22,0,47.788,0,11,9,54,113,2,3,0,84.848,32.5,29.204,33,2,0,28,5,2,2,4.091,26
150,2026-03-16 22:36:01,39.1,Bommie,38.889,27.476,0,4,0,5.0,9,0,38.889,0,5,4,43,126,3,7,0,73.469,12,45.37,51,1,1,36,17,4,0,4.353,9
155,2026-01-02 22:09:11,15.0,Unborned,21.495,20.667,2,3,4,3.87,11,0,21.495,0,5,0,23,107,3,2,0,61.29,5.263,28.972,31,5,0,19,12,1,0,3.71,4
159,2026-02-13 22:29:59,38.4,legrandort,37.302,26.659,0,4,0,4.66,11,0,37.302,0,1,8,47,126,1,4,0,96.875,17.021,25.397,32,7,0,31,1,1,0,4.438,16
160,2026-04-23 18:00:49,90.11,Skychael,37.838,43.431,6,4,1,4.446,8,0,37.838,0,8,6,56,148,10,7,0,93.939,21.739,5,33,6,2,31,3,1,0,3.848,25
164,2026-02-13 22:29:59,23.5,IAmAsianNoob,29.365,18.803,0,5,0,4.973,7,0,29.365,0,2,4,37,126,2,3,0,77.778,16.162,21.429,27,2,1,21,6,0,0,4.333,16
167,2026-03-16 22:36:01,17.0,Hadarios,15.044,11.967,0,2,3,4.588,5,0,15.044,0,4,1,17,113,2,3,0,57.143,5.435,18.584,21,4,1,12,9,0,0,3.667,5
170,2026-05-07 17:27:53,68.842,hubcioskubcio,15.385,41.254,3,6,1,4.062,6,0,15.385,0,4,3,16,104,2,4,0,82.353,2.299,16.346,17,2,0,14,3,0,0,3.765,2
171,2026-03-16 22:36:01,22.03,JustAWeirdo,26.087,17.565,2,7,0,5.083,8,0,26.087,0,2,2,28,142,5,10,0,92,5.714,23.913,27,5,1,23,4,1,1,4.727,5
176,2026-05-07 17:27:53,103.159,Spitzell,41.667,92.744,1,4,0,4.222,17,0,41.667,0,4,14,45,108,2,4,0,100,17.105,29.63,32,2,0,32,0,0,0,4.312,13
181,2026-03-16 22:36:01,29.2,Yolowolf75,38.889,36.263,2,4,0,4.238,14,0,38.889,0,5,5,42,108,2,3,0,73.81,16.667,38.889,42,3,1,31,11,2,0,3.952,11
205,2026-05-07 17:27:53,102.539,sssthnoob,37.5,91.485,3,5,1,4.089,19,0,37.5,0,8,5,45,120,3,3,0,77.273,14.474,36.667,44,6,1,34,10,1,0,3.477,11
225,2026-05-07 17:27:53,84.603,MythAndroid,21.296,49.224,3,4,1,4.478,8,0,21.296,0,4,5,23,108,2,4,0,55,1.471,37.037,40,5,2,22,18,4,0,3.5,1
228,2026-05-07 17:27:53,120.82,Dry,46.98,127.319,4,6,1,3.886,31,0,46.98,0,11,14,70,149,7,5,0,83.824,16.049,47.115,68,6,0,57,11,3,1,3.971,13
238,2026-05-07 17:27:53,117.13,Progenitor,60.563,133.875,5,6,2,4.116,34,0,60.563,0,10,14,86,142,5,12,0,95.312,38.095,45.07,64,9,1,61,5,2,3,4.0,32
241,2026-03-16 22:36:01,55.0,yasashiikumo,46.296,39.54,2,8,0,4.42,17,0,46.296,0,5,10,53,115,2,13,0,91.667,36.364,33.333,36,7,1,33,6,3,0,4.444,32
253,2026-01-02 22:09:11,15.0,Rhummy,19.277,18.689,2,5,0,4.0,9,0,19.277,0,4,2,16,83,0,5,0,66.667,6.154,21.687,18,6,0,12,6,3,0,3.167,4
259,2026-04-14 21:18:33,37.0,Patoche49,38.4,33.372,2,5,1,5.045,6,0,38.4,0,8,4,48,164,5,15,1,97.368,9.859,30.4,38,4,0,37,3,1,0,5.031,14
260,2026-04-14 21:18:33,36.61,AnotherWish,39.189,37.703,3,6,0,4.517,21,0,39.189,0,9,11,58,148,11,5,0,92.105,7.895,36.486,54,6,1,46,8,0,1,4.259,12
268,2026-01-02 22:09:11,55.0,civiltwlight,45.69,47.698,3,7,0,3.717,25,0,45.69,0,6,19,53,116,3,2,0,81.818,37.234,18.966,22,5,2,18,4,0,0,2.818,35
274,2026-03-16 22:36:01,53.93,Mami,58.12,66.825,6,6,0,3.721,31,0,58.12,0,12,14,68,117,4,1,0,92,48.913,21.368,25,15,2,23,2,0,0,2.6,45
277,2026-04-23 18:00:49,83.96,chemist,33.333,48.604,1,18,1,3.765,12,0,33.333,0,3,8,34,102,1,5,0,100,29.897,4.902,5,1,0,5,0,0,1,2.4,29
289,2026-03-16 22:36:01,36.3,Provenance,40.566,49.672,6,9,3,4.256,23,0,40.566,0,12,7,45,115,8,7,0,94.595,15.493,34.906,37,9,1,35,4,1,0,3.649,12
292,2026-01-02 22:09:11,25.0,FeyFey,22.414,21.654,2,7,0,4.077,10,0,22.414,0,4,6,26,116,3,2,0,71.875,3.571,27.586,32,5,0,23,9,2,0,3.656,3
311,2026-02-13 22:29:59,49.1,beautiful,53.261,41.014,0,0,0,4.49,15,0,53.261,0,5,5,49,92,3,2,0,92.857,46.154,15.217,14,2,0,13,1,0,0,4.071,36
317,2026-01-02 22:09:11,20.0,Hyo,28.713,28.984,1,9,0,3.759,17,0,28.713,0,8,5,29,101,3,2,0,50,23.457,19.802,20,7,2,10,10,1,0,2.9,19
318,2026-01-02 22:09:11,56.0,Nephirea,55.882,52.55,3,4,0,3.86,24,0,55.882,0,7,12,57,102,3,2,0,100,39.189,27.451,28,4,0,28,0,0,1,3.929,29
