Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Player ID,Offlist hit
2026-05-31 22:15:29,115.0,yahallonyanpasu,42.391,140.566,7,1,0,3.179,22,0,42.391,0,10,12,39,92,3,2,0,66.667,35.211,22.826,21,5,1,14,7,2,2,2.381,16,25
2026-01-02 22:09:11,67.0,kar72,69.912,71.952,7,7,0,3.684,40,0,69.912,0,11,24,79,113,1,4,0,90.909,61.25,29.204,33,6,1,30,3,0,2,3.364,20,49
2026-02-13 22:29:59,63.7,kar72,79.245,86.948,8,3,0,3.988,32,0,79.245,0,18,11,84,106,4,1,0,91.429,73.239,33.019,35,7,0,32,3,2,1,3.514,20,52
2026-03-16 22:36:01,65.6,kar72,80.0,89.668,4,4,0,3.74,48,0,80,0,12,28,100,125,4,1,0,90.698,74.39,34.4,43,7,1,39,4,1,2,3.86,20,61
2026-04-14 21:18:33,67.12,kar72,71.951,72.933,4,5,0,3.958,53,0,71.951,0,11,28,118,164,0,5,1,96,61.404,30.488,50,5,1,48,2,1,2,4.02,20,70
2026-05-17 18:37:41,154.25,kar72,59.854,157.904,3,4,0,4.171,29,0,59.854,0,7,21,82,137,3,3,0,85.366,48.958,29.927,41,6,0,35,6,3,1,3.756,20,47
2026-05-25 18:08:21,132.94,kar72,71.171,173.193,1,2,0,3.987,37,0,71.171,0,10,15,79,111,4,1,0,100,58.974,29.73,33,8,0,33,0,0,0,3.939,20,46
2026-06-06 11:50:34,105.0,asleep,62.308,153.997,5,5,0,3.802,31,0,62.308,0,16,12,81,130,3,3,0,96.875,51.02,24.615,32,2,0,31,1,0,2,3.688,26,50
2026-05-25 18:08:21,110.0,SakurabaRola,57.364,127.209,3,6,0,4.27,26,0,57.364,0,7,9,74,129,3,2,0,79.592,43.75,37.984,49,6,4,39,10,2,1,3.449,31,35
2026-06-06 11:50:34,112.27,SakurabaRola,54.615,124.221,3,5,0,3.901,28,0,54.615,0,13,10,71,130,3,3,0,72.581,38.235,47.692,62,10,4,45,17,1,0,3.21,31,26
2026-02-13 22:29:59,65.4,Tsui,61.404,65.522,2,2,0,3.857,29,0,61.404,0,6,24,70,114,1,4,0,70,59.574,17.544,20,4,2,14,6,1,1,3.05,33,56
2026-02-13 22:29:59,52.5,claydoll1091,53.097,55.981,5,4,0,4.05,27,0,53.097,0,9,11,60,113,4,1,0,100,41.758,19.469,22,8,0,22,0,0,0,3.227,37,38
2026-04-23 18:00:49,111.06,claydoll1091,45.0,128.468,15,23,0,2.704,36,0,45,0,17,13,54,120,4,2,0,100,40.541,7.5,9,5,0,9,0,0,15,3.0,37,45
2026-05-17 18:37:41,132.69,claydoll1091,48.344,127.973,2,9,0,4.247,29,0,48.344,0,6,15,73,151,2,3,1,81.25,39.496,21.192,32,7,2,26,6,1,0,3.188,37,47
2026-05-25 18:08:21,111.81,claydoll1091,57.658,138.427,3,2,0,4.109,28,0,57.658,0,10,4,64,111,4,1,0,83.333,50.575,21.622,24,5,0,20,4,1,0,3.375,37,44
2026-06-04 14:12:44,112.56,claydoll1091,48.148,129.254,5,6,0,3.831,27,0,48.148,0,12,11,65,135,1,5,0,93.103,35.849,21.481,29,5,0,27,2,0,1,3.655,37,38
2026-06-06 11:50:34,111.8,claydoll1091,54.167,149.177,6,10,0,3.662,32,0,54.167,0,8,21,65,120,2,4,0,80,47.368,20.833,25,10,1,20,5,4,1,2.6,37,45
2026-01-02 22:09:11,59.0,Diukes,63.333,79.358,5,3,0,3.07,40,0,63.333,0,15,17,57,90,4,1,0,84.615,47.059,43.333,39,6,0,33,6,3,0,3.026,38,24
