Player ID,PlayerName,ELONOWR,ELO,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,PALL,PRECENT,WR,STREAK,FINAL MODIFIER
20,kar72,132.56,133.029,0.442,0.72,0.001,0.0,0.583,11.5,21.167,16,15,1,36.167,54.167,39.167,3.0,6.5,0.5,1.167,1.333,3.742,126.0,6,16,15,1,32,32,0.016,0.016,0.031
41,koroshiya,132.44,132.44,0.441,0.652,0.003,0.2,0.653,15.6,21.8,14,13,0,27.2,50.2,31.6,4.4,5.4,1.0,1.6,7.2,2.738,118.4,5,14,13,0,27,27,0.0,0.0,0.0
52,Thaleko,131.16,131.16,0.437,0.7,0.002,0.0,0.59,11.0,14.5,5,5,0,26.5,43.0,27.0,0.5,6.5,0.0,0.5,0.5,3.258,100.0,2,5,5,0,10,10,0.0,0.0,0.0
38,Diukes,130.09,130.064,0.434,0.642,0.002,0.2,0.641,13.4,23.0,37,34,3,38.7,43.0,49.4,10.7,8.1,2.5,3.1,1.9,3.054,127.3,10,25,30,3,74,58,0.02,-0.043,-0.023
26,asleep,124.03,124.03,0.413,0.623,0.001,0.0,0.6,16.0,12.0,3,3,0,31.0,50.0,32.0,1.0,2.0,0.0,0.0,2.0,3.688,130.0,1,3,3,0,6,6,0.0,0.0,0.0
33,Tsui,122.24,122.24,0.407,0.614,0.001,0.0,0.592,6.0,24.0,1,4,0,14.0,56.0,20.0,6.0,4.0,2.0,1.0,1.0,3.05,114.0,1,1,4,0,5,5,0.0,0.0,0.0
274,Mami,120.8,120.8,0.403,0.581,0.002,0.0,0.611,12.0,14.0,4,1,0,23.0,45.0,25.0,2.0,15.0,2.0,0.0,0.0,2.6,117.0,1,4,1,0,5,5,0.0,0.0,0.0
318,Nephirea,116.44,116.44,0.388,0.559,0.001,0.0,0.591,7.0,12.0,3,2,0,28.0,29.0,28.0,0.0,4.0,0.0,0.0,1.0,3.929,102.0,1,3,2,0,5,5,0.0,0.0,0.0
129,peeku,114.5,114.5,0.382,0.546,0.001,0.0,0.585,9.0,5.0,3,2,0,29.0,24.0,33.0,4.0,7.0,2.0,2.0,0.0,3.333,97.0,1,3,2,0,5,5,0.0,0.0,0.0
58,Lika,114.47,114.47,0.382,0.482,0.003,0.0,0.652,16.0,12.0,4,2,0,24.0,29.0,26.0,2.0,6.0,0.0,1.0,2.0,2.577,110.0,1,4,2,0,6,6,0.0,0.0,0.0
77,neptune,113.56,113.56,0.379,0.56,0.0,0.0,0.562,2.0,13.0,0,5,0,34.0,27.0,39.0,5.0,1.0,1.0,3.0,0.0,3.821,109.0,1,0,5,0,5,5,0.0,0.0,0.0
31,SakurabaRola,113.4,113.4,0.378,0.56,0.001,0.0,0.559,10.0,9.5,6,5,0,42.0,30.5,55.5,13.5,8.0,4.0,1.5,0.5,3.33,129.5,2,6,5,0,11,11,0.0,0.0,0.0
37,claydoll1091,112.75,113.191,0.376,0.511,0.002,0.0,0.605,10.333,12.5,17,16,1,20.667,42.833,23.5,2.833,6.667,0.5,1.0,2.833,3.174,125.0,6,17,16,1,34,34,0.015,0.015,0.029
65,Baguett,112.56,112.56,0.375,0.512,0.001,0.0,0.602,7.0,7.0,3,2,0,18.0,24.0,19.0,1.0,4.0,0.0,1.0,0.0,3.579,82.0,1,3,2,0,5,5,0.0,0.0,0.0
51,Chata,112.0,112.0,0.373,0.537,0.001,1.0,0.569,7.0,6.0,3,2,0,23.0,35.0,25.0,2.0,3.0,0.0,0.0,2.0,3.68,108.0,1,3,2,0,5,5,0.0,0.0,0.0
16,yahallonyanpasu,111.93,111.93,0.373,0.424,0.003,0.0,0.689,10.0,12.0,3,2,0,14.0,25.0,21.0,7.0,5.0,1.0,2.0,2.0,2.381,92.0,1,3,2,0,5,5,0.0,0.0,0.0
83,Milar,111.44,111.44,0.371,0.5,0.001,0.0,0.603,10.0,7.0,2,3,1,21.0,33.0,26.0,5.0,5.0,0.0,2.0,0.0,2.923,108.0,1,2,3,1,6,6,0.0,0.0,0.0
128,apurplenose,110.28,110.28,0.368,0.582,0.001,0.0,0.504,9.5,10.0,6,5,1,35.5,46.0,37.5,2.0,4.0,0.0,0.5,1.0,4.23,139.0,2,6,5,1,12,12,0.0,0.0,0.0
87,Beokros,109.88,109.88,0.366,0.523,0.001,0.25,0.562,10.5,10.75,13,8,2,41.5,20.5,48.25,6.75,7.25,0.75,3.25,0.25,3.414,119.75,4,13,8,2,23,23,0.0,0.0,0.0
238,Progenitor,109.4,109.4,0.365,0.491,0.001,0.667,0.592,8.667,11.0,5,12,0,35.667,25.667,38.333,2.667,6.667,0.333,0.667,1.0,3.376,121.333,3,5,12,0,17,17,0.0,0.0,0.0
379,CipherKai,108.08,108.08,0.36,0.524,0.001,0.0,0.543,6.0,11.0,2,3,0,41.0,25.0,47.0,6.0,7.0,2.0,1.0,2.0,3.872,126.0,1,2,3,0,5,5,0.0,0.0,0.0
268,civiltwlight,107.72,107.72,0.359,0.457,0.001,0.0,0.612,6.0,19.0,3,2,0,18.0,35.0,22.0,4.0,5.0,2.0,0.0,0.0,2.818,116.0,1,3,2,0,5,5,0.0,0.0,0.0
506,tmokenc,107.11,107.11,0.357,0.5,0.001,0.0,0.559,11.0,6.0,5,1,0,36.0,22.0,38.0,2.0,1.0,0.0,0.0,0.0,3.947,116.0,1,5,1,0,6,6,0.0,0.0,0.0
191,redeyes,107.1,107.1,0.357,0.488,0.001,0.5,0.572,7.25,8.75,6,14,2,41.5,21.0,49.75,8.25,6.75,2.25,1.75,0.25,3.514,128.25,4,6,14,2,22,22,0.0,0.0,0.0
82,ShiinaMahiru,106.86,106.86,0.356,0.56,0.0,0.0,0.493,5.0,9.0,5,6,1,34.0,50.0,36.0,2.0,6.0,1.5,0.0,0.0,4.079,150.0,2,5,6,1,12,12,0.0,0.0,0.0
228,Dry,106.31,106.31,0.354,0.451,0.001,0.5,0.603,9.0,11.0,7,5,0,47.5,10.0,58.5,11.0,5.5,0.0,2.5,1.0,3.68,126.5,2,7,5,0,12,12,0.0,0.0,0.0
358,mangoss,106.16,106.16,0.354,0.472,0.001,0.0,0.579,8.5,14.0,5,6,0,35.5,20.0,40.5,5.0,3.5,1.0,1.0,1.0,3.398,117.0,2,5,6,0,11,11,0.0,0.0,0.0
