JustAWeirdo, old rank: 8.929, new rank: 9.195, diff: 0.266
Provenance, old rank: 11.966, new rank: 11.994, diff: 0.028
FoopyPoopy, old rank: 8.279, new rank: 8.27, diff: -0.009
ShelterRin, old rank: 9.662, new rank: 9.652, diff: -0.01
Luna, old rank: 7.326, new rank: 7.309, diff: -0.017
Janoxx, old rank: 9.368, new rank: 9.349, diff: -0.019
Bommie, old rank: 10.615, new rank: 10.585, diff: -0.03
ElJuanchi, old rank: 10.187, new rank: 10.157, diff: -0.03
Nephirea, old rank: 11.04, new rank: 10.999, diff: -0.041
Selaph, old rank: 14.025, new rank: 13.975, diff: -0.05
FeyFey, old rank: 10.271, new rank: 10.221, diff: -0.05
neptune, old rank: 13.623, new rank: 13.572, diff: -0.051
bamboo, old rank: 12.619, new rank: 12.567, diff: -0.052
Zozo, old rank: 12.469, new rank: 12.417, diff: -0.052
mahzrunner, old rank: 12.963, new rank: 12.906, diff: -0.057
thjalago, old rank: 10.554, new rank: 10.494, diff: -0.06
Comete, old rank: 11.503, new rank: 11.442, diff: -0.061
kabao, old rank: 11.314, new rank: 11.252, diff: -0.062
chommy, old rank: 10.626, new rank: 10.561, diff: -0.065
Solosion, old rank: 11.402, new rank: 11.331, diff: -0.071
ss_r_white_pony, old rank: 12.61, new rank: 12.538, diff: -0.072
Lakumix, old rank: 11.811, new rank: 11.739, diff: -0.072
Fumiii, old rank: 13.85, new rank: 13.759, diff: -0.091
claydoll1091, old rank: 13.864, new rank: 13.772, diff: -0.092
Chata, old rank: 15.311, new rank: 15.213, diff: -0.098
joey, old rank: 14.365, new rank: 14.265, diff: -0.1
Orfey, old rank: 13.404, new rank: 13.302, diff: -0.102
Alkios, old rank: 13.598, new rank: 13.495, diff: -0.103
MahiruShiina, old rank: 14.291, new rank: 14.185, diff: -0.106
doomchicken, old rank: 15.217, new rank: 15.109, diff: -0.108
Baikinman, old rank: 15.181, new rank: 15.073, diff: -0.108
Tsui, old rank: 16.568, new rank: 16.453, diff: -0.115
accelerator11, old rank: 16.231, new rank: 16.114, diff: -0.117
Saiki, old rank: 15.36, new rank: 15.238, diff: -0.122
PoolNoodle, old rank: 21.562, new rank: 20.942, diff: -0.62
neoburnz, old rank: 16.818, new rank: 15.785, diff: -1.033
