Tournament Date,Player ID,player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
2024-07-22,1,UselessPanda,28.814,8.314,28.469,5,3.735,0,0,28.814
2024-09-19,1,UselessPanda,40.65,8.844,26.015,4,4.3,0,0,40.65
2025-03-14,1,Atsui_,37.903,8.398,29.02,4,3.809,0,0,37.903
2025-07-28,1,Dummy_,28.972,6.336,30.916,1,4.258,0,0,28.972
2024-07-23,4,AKl,56.25,18.266,23.509,10,3.951,0,0,56.25
2024-09-03,4,AKl,58.12,17.112,26.144,12,3.662,0,0,58.12
2025-03-14,4,AKl,62.4,19.58,25.29,17,3.218,0,0,62.4
2025-06-03,4,poyoyoyoyo,66.364,25.598,25.258,18,2.753,0,0,66.364
2025-06-09,4,poyoyoyoyo,59.375,22.515,24.29,14,2.93,0,0,59.375
2025-07-28,4,poyoyoyoyo,62.626,23.259,23.568,14,2.984,0,0,62.626
2025-07-28,17,gro,71.622,25.929,22.705,12,3.113,0,0,71.622
2024-07-23,20,kar72,56.024,12.696,28.039,4,4.699,0,0,56.024
2025-06-03,20,kkura_,34.906,6.824,28.664,1,4.405,0,0,34.906
2025-06-09,20,kkura_,39.85,6.991,34.163,1,4.698,0,0,39.85
2024-07-22,21,PoolNoodle,62.264,21.261,23.478,15,3.273,0,0,62.264
2024-07-23,21,PoolNoodle,62.209,16.786,25.886,7,4.374,0,0,62.209
2024-08-25,21,PoolNoodle,50.562,16.436,26.798,7,3.489,0,0,50.562
2024-09-03,21,PoolNoodle,61.475,17.645,26.102,10,3.613,0,0,61.475
2024-09-19,21,PoolNoodle,65.854,19.307,23.41,13,3.667,0,0,65.854
2025-03-14,21,PoolNoodle,65.873,17.671,26.588,12,3.578,0,0,65.873
2025-06-03,21,PoolNoodle,68.868,24.344,25.932,17,3.11,0,0,68.868
2025-06-09,21,PoolNoodle,57.246,19.883,25.094,16,3.139,0,0,57.246
2025-06-16,21,PoolNoodle,63.281,20.189,27.052,10,3.444,0,0,63.281
2025-06-19,21,PoolNoodle,63.333,21.58,26.772,10,3.395,0,0,63.333
2025-06-03,28,FORTNAYT,51.2,12.571,30.671,5,3.922,0,0,51.2
2025-07-28,33,Tsui,42.991,12.15,28.764,5,3.696,0,0,42.991
2025-06-03,34,YuriMeguri,36.8,9.39,25.048,3,3.717,0,0,36.8
2025-07-28,43,mkby,29.73,6.562,29.654,2,4.409,0,0,29.73
2025-06-25,45,Anoru_,28.148,8.778,28.951,7,3.5,0,0,28.148
2025-06-03,46,Orfey,32.0,7.701,30.514,4,4.15,0,0,32
2025-06-09,46,Orfey,29.897,9.242,30.917,8,3.69,0,0,29.897
2025-06-19,46,Orfey,41.053,12.328,28.918,6,4,0,0,41.053
2025-06-25,46,Orfey,30.37,11.407,27.192,10,3.073,0,0,30.37
2024-07-23,47,Rissa,45.783,8.935,30.25,1,5.013,0,0,45.783
2025-06-09,47,Rissa,42.969,8.271,31.436,2,4.491,0,0,42.969
2025-06-03,49,BlackCondor,21.6,4.872,26.427,4,4.222,0,0,21.6
2025-06-09,49,BlackCondor,23.958,5.866,26.254,1,3.87,0,0,23.958
2025-06-16,49,BlackCondor,17.323,4.799,31.566,3,4.091,0,0,17.323
2025-06-19,49,BlackCondor,27.907,9.364,28.31,8,3.722,0,0,27.907
2025-07-28,49,BlackCondor,29.348,8.365,28.065,3,3.852,0,0,29.348
2025-08-07,49,BlackCondor,33.121,12.524,28.529,9,3.538,0,0,33.121
2024-07-18,50,Sniparook,47.115,12.629,28.583,7,3.714,0,0,47.115
2024-07-23,50,Sniparook,44.186,10.508,28.37,7,4.776,0,0,44.186
2025-06-03,50,Sniparook,44.86,13.387,26.764,9,3.625,0,0,44.86
2024-09-03,52,Thaleko,44.545,11.486,27.008,5,4,0,0,44.545
2025-06-03,52,Thaleko,44.118,11.913,28.159,5,3.733,0,0,44.118
2025-06-09,52,Thaleko,52.033,16.611,27.73,10,3.438,0,0,52.033
2025-06-19,52,Thaleko,52.344,13.449,29.22,6,4.134,0,0,52.344
2025-07-28,52,Thaleko,55.435,15.384,29.078,7,3.824,0,0,55.435
2025-08-07,52,Thaleko,45.27,15.106,30.343,5,3.582,0,0,45.27
2025-06-16,64,Yokipi,45.385,15.135,27.181,6,3.373,0,0,45.385
2025-06-19,64,Yokipi,42.276,14.841,26.351,9,3.5,0,0,42.276
2025-06-25,64,Yokipi,46.97,15.12,28.603,11,3.484,0,0,46.97
2025-08-07,64,Yokipi,41.379,15.824,27.184,9,3.354,0,0,41.379
2025-07-28,76,comfv,23.232,4.909,30.256,0,4.261,0,0,23.232
2024-08-25,78,doomchicken,40.625,8.481,31.453,4,4.231,0,0,40.625
2024-09-03,78,doomchicken,32.727,6.773,29.936,3,4.528,0,0,32.727
2025-06-03,78,doomchicken,39.098,10.26,30.327,5,3.885,0,0,39.098
2025-06-09,78,doomchicken,40.602,9.151,30.755,6,4.37,0,0,40.602
2025-06-19,78,doomchicken,36.842,9.885,32.315,2,4.057,0,0,36.842
2025-06-25,78,doomchicken,30.702,9.255,31.399,4,3.543,0,0,30.702
2024-07-22,79,JuliAless64,32.716,7.305,33.309,4,4.472,0,0,32.716
2024-08-25,79,JuliAless64,17.045,4.626,29.51,1,3.733,0,0,17.045
2024-09-19,79,JuliAless64,33.562,7.964,27.698,5,4.265,0,0,33.562
2025-03-14,79,JuliAless64,34.677,8.493,32.252,5,3.698,0,0,34.677
2025-06-03,79,JuliAless64,37.736,10.639,30.092,6,3.75,0,0,37.736
2025-06-09,79,JuliAless64,41.739,7.468,35.679,4,5.021,0,0,41.739
2025-06-16,79,JuliAless64,32.308,6.989,33.477,1,4.262,0,0,32.308
2025-06-19,79,JuliAless64,31.579,6.835,32.871,2,4.767,0,0,31.579
2025-07-28,79,JuliAless64,33.0,8.814,30.56,6,4.091,0,0,33
2025-08-07,79,JuliAless64,39.869,11.207,33.283,5,4.213,0,0,39.869
2024-08-25,81,Pile,26.471,4.262,29.355,0,4.333,0,0,26.471
2024-09-03,81,Pile,22.727,4.043,28.526,1,4.84,0,0,22.727
2025-06-09,81,Pile,29.268,6.112,33.287,1,4.389,0,0,29.268
2024-08-25,83,GabrielaRobin,37.634,7.568,27.256,2,4.429,0,0,37.634
2024-09-19,83,GabrielaRobin,34.959,7.248,27.683,3,4.326,0,0,34.959
2025-03-14,83,FaLiLV,40.476,7.312,30.536,2,4.392,0,0,40.476
2025-06-09,83,FaLiLV,40.87,5.808,34.476,2,5.298,0,0,40.87
2024-08-11,84,Alkios,39.394,10.645,22.898,6,3.359,0,0,39.394
2024-08-25,84,Alkios,38.71,9.126,26.896,6,4.25,0,0,38.71
2024-09-03,84,Alkios,30.328,5.547,29.123,2,4.595,0,0,30.328
2024-09-19,84,Alkios,31.507,6.146,27.018,1,4.522,0,0,31.507
2025-06-03,84,Alkios,37.383,10.111,28.189,7,3.9,0,0,37.383
2025-06-09,84,Alkios,29.839,8.433,29.373,8,3.892,0,0,29.839
2025-06-19,84,Alkios,31.707,8.302,28.904,3,4.051,0,0,31.707
2025-06-25,84,Alkios,34.351,8.419,31.423,4,4.2,0,0,34.351
2025-07-28,84,Alkios,33.036,7.41,33.203,2,4.405,0,0,33.036
2025-08-07,84,Alkios,34.459,10.113,30.501,3,3.922,0,0,34.459
2024-08-11,87,Beokros,35.922,7.303,27.829,4,4.108,0,0,35.922
2024-08-25,87,Beokros,30.682,10.115,24.446,2,3.333,0,0,30.682
2024-09-19,87,Beokros,26.515,5.109,29.181,3,4.629,0,0,26.515
2025-03-14,87,Beokros,31.2,6.121,29.712,2,4.282,0,0,31.2
2025-06-03,87,Beokros,24.51,4.914,26.651,1,4.4,0,0,24.51
2024-08-11,88,Emdiel,33.036,7.373,23.358,5,3.838,0,0,33.036
2025-06-19,88,Emdiel,34.737,11.959,28.777,7,3.545,0,0,34.737
2025-07-28,90,Kenzou_Tenma,18.919,2.724,30.01,0,5.071,0,0,18.919
2024-07-18,91,Baikinman,24.706,5.202,24.795,1,3.905,0,0,24.706
2024-08-11,91,Baikinman,31.356,6.797,26.451,4,4,0,0,31.356
2025-06-03,91,Baikinman,32.353,8.545,29.39,4,3.818,0,0,32.353
2025-06-16,91,Baikinman,29.204,6.59,29.922,1,4.333,0,0,29.204
2024-09-03,98,comete,19.672,2.693,35.861,1,5.208,0,0,19.672
2025-06-03,98,comete,20.561,3.034,29.642,0,4.864,0,0,20.561
2025-06-25,98,comete,35.878,7.836,31.992,2,4.404,0,0,35.878
2025-07-28,98,comete,33.0,6.619,32.295,1,4.455,0,0,33
2025-03-14,100,753,35.849,6.45,30.069,2,4.333,0,0,35.849
2025-06-09,100,753,42.268,10.069,32.618,5,4.195,0,0,42.268
2025-06-16,100,753,44.094,11.303,30.272,6,4.161,0,0,44.094
2025-06-09,102,MoltenAshes,30.435,3.284,37.495,1,5.743,0,0,30.435
2024-08-11,104,AmqSucksFatCock,38.947,8.957,24.969,3,3.676,0,0,38.947
2024-08-25,104,AmqSucksFatCock,36.559,7.865,25.298,2,4.324,0,0,36.559
2024-09-03,104,uomi,40.909,10.113,23.727,3,3.867,0,0,40.909
2025-08-07,104,PLAY_MORE,29.936,9.466,28.209,6,3.957,0,0,29.936
2025-06-16,106,cafezinho,28.346,5.792,32.685,1,4.611,0,0,28.346
2024-07-23,109,Ephemeral,31.429,5.341,32.075,3,5.318,0,0,31.429
2025-06-19,109,Ephemeral,28.421,3.715,34.738,0,5.444,0,0,28.421
2025-07-28,109,Ephemeral,34.783,6.638,31.79,2,4.625,0,0,34.783
2025-08-07,109,Ephemeral,28.662,7.053,32.624,3,4.467,0,0,28.662
2024-08-25,115,SaikiChan,26.966,7.443,32.896,6,3.875,0,0,26.966
2024-09-03,115,SaikiChan,31.624,7.798,29.817,4,4.054,0,0,31.624
2025-06-03,115,SaikiChan,21.818,7.118,28.378,5,3.292,0,0,21.818
2025-06-09,115,SaikiChan,30.469,6.226,35.213,3,4.564,0,0,30.469
2025-06-16,115,SaikiChan,32.812,7.471,33.869,2,4.119,0,0,32.812
2025-06-19,115,SaikiChan,30.526,6.064,37.117,2,4.931,0,0,30.526
2025-06-25,115,SaikiChan,21.93,6.357,33.961,4,3.96,0,0,21.93
2025-07-28,115,SaikiChan,28.972,8.542,30.393,6,3.806,0,0,28.972
2025-08-07,115,SaikiChan,24.837,7.07,36.261,3,4.342,0,0,24.837
2024-07-18,119,Fumiii,29.808,6.283,31.979,3,4.258,0,0,29.808
2024-08-11,119,Fumiii,23.158,4.096,28.357,1,4.273,0,0,23.158
2024-08-25,119,Fumiii,26.042,3.378,36.618,0,4.92,0,0,26.042
2024-09-03,119,Fumiii,30.769,5.964,32.383,2,4.417,0,0,30.769
2025-03-14,119,Fumiii,27.673,5.03,28.493,1,4.5,0,0,27.673
2025-06-09,119,Fumiii,26.016,5.103,31.757,2,4.625,0,0,26.016
2025-06-16,119,Fumiii,30.709,5.674,32.094,1,4.769,0,0,30.709
2025-06-19,119,Fumiii,28.333,6.313,33.498,3,4.529,0,0,28.333
2025-08-07,119,Fumiii,35.294,8.235,33.785,5,4.611,0,0,35.294
2024-08-11,121,Janoxx,15.534,1.749,32.123,0,5.125,0,0,15.534
2024-09-03,121,Janoxx,12.727,2.579,27.039,2,4.5,0,0,12.727
2025-06-09,121,Janoxx,12.319,2.606,27.152,1,4.176,0,0,12.319
2025-06-16,121,Janoxx,8.594,1.595,35.483,0,4.727,0,0,8.594
2025-06-19,121,Janoxx,13.333,2.897,32.783,0,4.312,0,0,13.333
2025-06-25,121,Janoxx,11.364,2.623,30.119,1,4.267,0,0,11.364
2025-07-28,121,Janoxx,12.15,3.222,30.76,3,4.462,0,0,12.15
2025-08-07,121,Janoxx,12.931,4.733,28.828,3,3.667,0,0,12.931
2025-07-28,123,Konsumenci,17.0,2.097,34.233,0,5.353,0,0,17
2025-08-07,123,Konsumenci,13.793,2.388,32.848,0,4.875,0,0,13.793
2024-09-19,129,ericispog,34.959,9.284,28.056,7,3.977,0,0,34.959
2025-06-25,129,ericispog,42.748,11.528,29.794,8,3.982,0,0,42.748
2025-06-09,133,OnlyWorldDaiStar,12.319,2.402,30.163,2,4.647,0,0,12.319
2025-06-09,134,Jakemonkey,24.219,4.209,37.756,2,4.935,0,0,24.219
2024-07-22,143,mahzrunner,26.797,3.609,30.687,0,5.171,0,0,26.797
2024-08-11,143,mahzrunner,25.253,5.427,23.646,3,3.96,0,0,25.253
2024-08-25,143,mahzrunner,25.49,3.585,33.797,2,4.615,0,0,25.49
2024-09-03,143,mahzrunner,29.091,5.764,27.782,1,4.312,0,0,29.091
2025-06-03,143,mahzrunner,25.6,5.752,26.84,1,4.031,0,0,25.6
2025-06-09,143,mahzrunner,30.827,5.106,33.27,1,4.927,0,0,30.827
2025-06-16,143,mahzrunner,28.319,7.424,31.534,4,4.125,0,0,28.319
2025-06-19,143,mahzrunner,22.481,5.969,32.377,4,4.276,0,0,22.481
2025-06-25,143,mahzrunner,26.515,6.417,30.871,4,4.2,0,0,26.515
2025-08-07,143,mahzrunner,25.0,8.884,31.356,3,3.483,0,0,25
2025-06-03,148,THE_USUAL,16.981,2.513,35.312,1,5.056,0,0,16.981
2025-06-03,149,Zozo,21.698,3.823,35.7,1,4.783,0,0,21.698
2025-06-09,149,Zozo,31.25,5.571,35.628,0,4.675,0,0,31.25
2025-06-16,149,AnShiraishi,24.779,5.403,33.929,3,4.571,0,0,24.779
2024-07-22,150,Bommie,21.186,3.522,32.403,1,4.68,0,0,21.186
2024-08-11,150,Bommie,24.242,4.272,29.542,1,4.167,0,0,24.242
2024-08-25,150,Bommie,19.355,1.929,34.641,1,5.667,0,0,19.355
2025-03-14,150,Bommie,24.603,3.1,31.596,1,5.032,0,0,24.603
2025-06-03,150,Bommie,28.0,4.513,35.765,0,4.714,0,0,28
2025-06-09,150,Bommie,25.0,5.562,30.277,2,4.208,0,0,25
2025-06-16,150,Bommie,24.427,3.765,34.258,1,5.094,0,0,24.427
2025-06-19,150,Bommie,28.125,3.932,32.51,0,5.167,0,0,28.125
2025-07-28,150,Bommie,27.0,4.42,34.477,0,4.741,0,0,27
2025-08-07,150,Bommie,27.451,4.975,36.484,1,5.024,0,0,27.451
2025-03-14,159,legrandort,13.836,1.313,35.714,0,5.545,0,0,13.836
2025-07-28,159,legrandort,17.391,2.169,33.801,1,5.625,0,0,17.391
2024-07-18,160,Skychael,24.038,4.315,33.63,2,4.6,0,0,24.038
2025-06-03,160,Skychael,20.0,3.689,26.575,0,4.32,0,0,20
2025-06-09,160,Skychael,23.711,2.992,35.391,1,5.261,0,0,23.711
2025-06-25,160,Skychael,18.421,2.742,33.105,0,5.048,0,0,18.421
2024-09-03,171,JustaWeirdo,11.966,1.513,37.263,0,5.5,0,0,11.966
2024-09-19,171,JustaWeirdo,10.569,0.977,37.018,0,6,0,0,10.569
2025-03-14,171,JustaWeirdo,9.677,2.241,24.906,1,4,0,0,9.677
2025-06-03,171,JustaWeirdo,15.038,2.416,32.481,1,4.85,0,0,15.038
2025-06-09,171,JustaWeirdo,14.286,1.918,36.49,1,5.474,0,0,14.286
2025-06-16,171,JustaWeirdo,6.154,1.115,33.561,1,5,0,0,6.154
2025-06-19,171,JustaWeirdo,20.312,4.185,29.555,2,4.692,0,0,20.312
2025-06-25,171,JustaWeirdo,8.148,0.923,29.915,0,5.364,0,0,8.148
2025-07-28,171,JustaWeirdo,8.081,0.548,30.418,0,6,0,0,8.081
2025-08-07,171,JustaWeirdo,9.459,1.118,39.524,0,5.429,0,0,9.459
2025-06-09,174,a_hooman,5.208,0.756,29.199,0,5.2,0,0,5.208
2025-08-07,174,a_hooman,10.135,1.821,40.162,1,5.067,0,0,10.135
2024-07-18,175,Kirox,20.161,4.205,29.494,2,4.36,0,0,20.161
2024-07-22,175,Kirox,22.84,3.476,35.762,2,5.162,0,0,22.84
2024-09-19,175,Kirox,23.577,4.329,32.653,3,4.966,0,0,23.577
2025-06-03,175,Kirox,22.727,6.124,30,3,3.68,0,0,22.727
2025-06-16,175,Kirox,29.008,5.217,34.696,2,4.895,0,0,29.008
2025-06-19,175,Kirox,23.577,4.486,34.359,1,4.793,0,0,23.577
