Tournament Date,Player ID,player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
2025-07-28,1,Dummy_,28.972,6.336,30.916,1,4.258,0,0,28.972
2025-08-22,1,Dummy_,28.07,5.043,33.831,0,4.844,0,0,28.07
2025-06-03,4,poyoyoyoyo,66.364,25.598,25.258,18,2.753,0,0,66.364
2025-06-09,4,poyoyoyoyo,59.375,22.515,24.29,14,2.93,0,0,59.375
2025-07-28,4,poyoyoyoyo,62.626,23.259,23.568,14,2.984,0,0,62.626
2025-09-21,4,AKl,71.074,30.716,26.437,20,3,0,0,71.074
2025-10-22,4,AKl,67.241,27.797,25.972,15,3.436,0,0,67.241
2025-10-15,16,yahallonyanpasu,36.585,10.987,29.749,6,4.289,0,0,36.585
2025-10-22,16,yahallonyanpasu,36.885,12.636,27.784,3,3.756,0,0,36.885
2025-07-28,17,gro,71.622,25.929,22.705,12,3.113,0,0,71.622
2025-06-03,20,kkura_,34.906,6.824,28.664,1,4.405,0,0,34.906
2025-06-09,20,kkura_,39.85,6.991,34.163,1,4.698,0,0,39.85
2025-10-15,20,kar72,40.789,10.847,29.665,3,4.5,0,0,40.789
2025-10-22,20,kar72,43.966,12.072,30.163,3,4.294,0,0,43.966
2025-06-03,21,PoolNoodle,68.868,24.344,25.932,17,3.11,0,0,68.868
2025-06-09,21,PoolNoodle,57.246,19.883,25.094,16,3.139,0,0,57.246
2025-06-16,21,PoolNoodle,63.281,20.189,27.052,10,3.444,0,0,63.281
2025-06-19,21,PoolNoodle,63.333,21.58,26.772,10,3.395,0,0,63.333
2025-09-21,21,PoolNoodle,66.957,26.026,27.575,10,3.091,0,0,66.957
2025-10-15,21,PoolNoodle,66.957,26.211,26.932,13,3.597,0,0,66.957
2025-10-22,22,remake,36.697,11.435,30.511,2,3.85,0,0,36.697
2025-10-22,27,SUS_DOMESTICUS,55.046,17.745,29.257,5,3.767,0,0,55.046
2025-06-03,28,FORTNAYT,51.2,12.571,30.671,5,3.922,0,0,51.2
