Player Name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
,,,,,,,,
2023-12-02,,,,,,,,
AKl,62.879,,19.401,9,3.819,0,0,62.879
ruuka,41.667,,22.837,1,4.782,0,0,41.667
Tsui,33.962,,25.349,5,4.796,0,0,33.962
Jube,33.333,,26.41,0,4.906,0,0,33.333
MahiruShiina,32.704,,24.51,6,4.519,0,0,32.704
UselessPanda,32.075,,27.563,1,5.098,0,0,32.075
ilmatar,24.242,,23.68,1,5.094,0,0,24.242
Zeal_Kido,19.697,,23.865,0,4.808,0,0,19.697
,,,,,,,,
2023-12-02,,,,,,,,
revel_,46.809,,23.002,4,4.394,0,0,46.809
Rissa,41.714,,26.65,5,4.562,0,0,41.714
Mikasaaaaaaa,38.286,,26.61,3,4.478,0,0,38.286
yahallonyanpasu,36.571,,22.62,10,3.953,0,0,36.571
ruuka,36.17,,24.658,2,4.686,0,0,36.17
UselessPanda,34.043,,28.204,1,5.125,0,0,34.043
GodSaiHugeFan,26.286,,28.075,2,4.957,0,0,26.286
mahzrunner,19.858,,29.727,3,5.536,0,0,19.858
,,,,,,,,
2023-12-05,,,,,,,,
Shuuka,52.713,,27.543,4,4.559,0,0,52.713
kar72,48.837,,28.741,1,4.714,0,0,48.837
Tsui,46.452,,27.705,3,4.444,0,0,46.452
Sniparook,42.958,,27.155,5,4.213,0,0,42.958
Chata,40.152,,27.167,6,4.208,0,0,40.152
MahiruShiina,37.879,,30.268,3,4.4,0,0,37.879
yahallonyanpasu,37.419,,24.761,5,4.172,0,0,37.419
peeku,32.394,,29.389,4,4.609,0,0,32.394
JuliAless64,32.258,,31.599,1,4.92,0,0,32.258
UselessPanda,30.282,,31.729,1,4.93,0,0,30.282
MrWolf,29.577,,27.842,3,4.69,0,0,29.577
thjalago,29.457,,27.248,2,4.763,0,0,29.457
Ephemeral,23.871,,33.647,0,5.297,0,0,23.871
SaikiChan,21.705,,30.871,1,5.143,0,0,21.705
mahzrunner,18.939,,39.074,0,5.4,0,0,18.939
,,,,,,,,
,,,,,,,,
2023-12-25,,,,,,,,
Tsui,43.537,,24.405,5,3.812,0,0,43.537
SakurabaRola,42.336,,28.631,4,4.017,0,0,42.336
MahiruShiina,38.017,,27.703,7,4.217,0,0,38.017
MrWolf,37.415,,26.336,4,3.982,0,0,37.415
yahallonyanpasu,37.226,,24.538,10,3.49,0,0,37.226
