# Full PV List:
ID: 4 | watashiii played like a 143.2. (Current rank 143.2, Δ0.0)
ID: 16 | yahallonyanpasu played like a 104.95. (Current rank 104.95, Δ0.0)
ID: 33 | Tsui played like a 93.71. (Current rank 93.71, Δ0.0)
ID: 34 | YuriMeguri played like a 112.67. (Current rank 112.67, Δ0.0)
ID: 38 | Diukes played like a 70.01. (Current rank 70.01, Δ0.0)
ID: 46 | Orfey played like a 93.19. (Current rank 93.19, Δ0.0)
ID: 49 | accelerator11 played like a 103.3. (Current rank 103.3, Δ0.0)
ID: 50 | Sniparook played like a 97.07. (Current rank 97.07, Δ0.0)
ID: 51 | Chata played like a 109.97. (Current rank 109.97, Δ0.0)
ID: 59 | neoburnz played like a 90.5. (Current rank 90.5, Δ0.0)
ID: 64 | Yokipi played like a 103.12. (Current rank 103.12, Δ0.0)
ID: 70 | MahiruShiina played like a 79.45. (Current rank 79.45, Δ0.0)
ID: 79 | JuliAless64 played like a 91.5. (Current rank 91.5, Δ0.0)
ID: 82 | ShiinaMahiru played like a 87.44. (Current rank 87.44, Δ0.0)
ID: 87 | Beokros played like a 77.74. (Current rank 77.74, Δ0.0)
ID: 91 | Baikinman played like a 82.88. (Current rank 82.88, Δ0.0)
ID: 104 | joey played like a 79.92. (Current rank 79.92, Δ0.0)
ID: 115 | Saiki played like a 73.76. (Current rank 73.76, Δ0.0)
ID: 119 | Fumiii played like a 83.31. (Current rank 83.31, Δ0.0)
ID: 143 | mahzrunner played like a 78.94. (Current rank 78.94, Δ0.0)
ID: 150 | Bommie played like a 69.3. (Current rank 69.3, Δ0.0)
ID: 171 | JustAWeirdo played like a 47.47. (Current rank 47.47, Δ0.0)
ID: 217 | ShelterRin played like a 73.47. (Current rank 73.47, Δ0.0)
ID: 274 | Mami played like a 83.59. (Current rank 83.59, Δ0.0)
ID: 289 | Provenance played like a 72.51. (Current rank 72.51, Δ0.0)
ID: 292 | FeyFey played like a 64.66. (Current rank 64.66, Δ0.0)
ID: 335 | xeyz played like a 59.16. (Current rank 59.16, Δ0.0)
ID: 347 | Selaph played like a 92.78. (Current rank 92.78, Δ0.0)
ID: 353 | Solosion played like a 67.49. (Current rank 67.49, Δ0.0)
ID: 357 | chommy played like a 63.24. (Current rank 63.24, Δ0.0)
ID: 394 | Komari played like a 80.48. (Current rank 80.48, Δ0.0)
ID: 399 | ElJuanchi played like a 65.01. (Current rank 65.01, Δ0.0)
ID: 430 | HaruUrara played like a 86.77. (Current rank 86.77, Δ0.0)
ID: 431 | Luna played like a 54.76. (Current rank 54.76, Δ0.0)
ID: 441 | Dav1d played like a 60.9. (Current rank 60.9, Δ0.0)
ID: 453 | RyoutaVN played like a 68.64. (Current rank 68.64, Δ0.0)
ID: 505 | MaikaSasaki played like a 77.54. (Current rank 77.54, Δ0.0)

# MVPS:
:first_place: watashiii. Played like a 143.2 rank (Current Rank: 143.2, Δ0.0)
:second_place: ID: yahallonyanpasu. Played like a 104.95 rank (Current Rank: 104.95, Δ0.0)
:third_place: ID: Tsui. Played like a 93.71 rank (Current Rank: 93.71, Δ0.0)
