Player ID,PlayerName,ELONOWR,ELO,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,TotalSongs,WIN,LOSE,TIE,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,PALL,PRECENT,WR,STREAK,FINAL MODIFIER
4,watashiii,134.67,134.67,0.449,0.631,0.006,0.0,0.695,21.5,27.5,134.0,3,9,0,2,3,9,0,12,12,0.0,0.0,0.0
21,PoolNoodle,132.8,132.8,0.443,0.603,0.005,0.5,0.707,17.5,31.5,129.5,2,10,0,2,2,10,0,12,12,0.0,0.0,0.0
34,YuriMeguri,112.68,112.68,0.376,0.495,0.004,0.0,0.618,12.0,13.5,114.0,5,7,0,2,5,7,0,12,12,0.0,0.0,0.0
16,yahallonyanpasu,104.95,104.95,0.35,0.366,0.003,2.0,0.679,17.0,13.0,145.0,4,2,0,1,4,2,0,6,6,0.0,0.0,0.0
51,Chata,104.84,104.84,0.349,0.447,0.003,0.0,0.591,13.667,13.333,149.0,15,2,1,3,15,2,1,18,18,0.0,0.0,0.0
64,Yokipi,103.12,103.12,0.344,0.389,0.003,1.0,0.635,12.0,11.0,149.0,2,4,0,1,2,4,0,6,6,0.0,0.0,0.0
49,accelerator11,100.06,100.06,0.334,0.392,0.004,0.667,0.601,14.667,8.0,146.667,13,5,0,3,13,5,0,18,18,0.0,0.0,0.0
33,Tsui,99.6,99.6,0.332,0.41,0.001,0.333,0.579,10.667,12.0,151.667,12,6,0,3,12,6,0,18,18,0.0,0.0,0.0
59,neoburnz,98.17,98.17,0.327,0.428,0.001,0.0,0.544,7.333,12.333,155.667,9,7,2,3,9,7,2,18,18,0.0,0.0,0.0
50,Sniparook,97.07,97.07,0.324,0.372,0.002,0.0,0.594,6.0,21.0,156.0,1,3,2,1,1,3,2,6,6,0.0,0.0,0.0
20,kar72,92.76,92.76,0.309,0.37,0.001,0.0,0.551,5.0,9.0,135.0,5,1,0,1,5,1,0,6,6,0.0,0.0,0.0
347,Selaph,92.2,92.2,0.307,0.372,0.001,0.0,0.544,8.0,11.0,138.5,9,3,0,2,9,3,0,12,12,0.0,0.0,0.0
79,JuliAless64,91.5,91.5,0.305,0.348,0.001,0.0,0.563,8.0,6.5,120.5,5,7,0,2,5,7,0,12,12,0.0,0.0,0.0
78,doomchicken,91.19,91.19,0.304,0.353,0.002,0.0,0.553,11.0,8.0,153.0,3,2,1,1,3,2,1,6,6,0.0,0.0,0.0
46,Orfey,90.34,90.34,0.301,0.275,0.002,1.0,0.629,7.667,9.667,135.667,9,9,0,3,9,9,0,18,18,0.0,0.0,0.0
