chommy, old rank: 12.484, new rank: 12.859, diff: 0.375
Spitzell, old rank: 11.027, new rank: 11.291, diff: 0.264
keysha18, old rank: 10.723, new rank: 10.969, diff: 0.246
Tsui, old rank: 13.312, new rank: 13.542, diff: 0.23
pomo, old rank: 11.928, new rank: 11.867, diff: -0.061
JustAWeirdo, old rank: 9.477, new rank: 9.412, diff: -0.065
Patoche49, old rank: 10.807, new rank: 10.623, diff: -0.184
neoburnz, old rank: 17.351, new rank: 17.091, diff: -0.26
Isekaijoucho, old rank: 11.71, new rank: 11.361, diff: -0.349
mangoss, old rank: 13.542, new rank: 12.977, diff: -0.565
Shadow, old rank: 12.269, new rank: 11.363, diff: -0.906
