Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Player ID,Offlist hit
2026-01-09 22:25:54,20.721,watashiii,74.483,23.81,7,10,0,3.935,48,0,0,74.483,15,27,108,145,2,3,0,78.889,67.273,62.069,90,6,6,71,19,4,3,3.489,4,37
2026-01-09 22:25:54,13.323,Tsui,46.512,12.217,3,9,0,4.45,18,0,0,46.512,5,13,60,129,3,1,1,64.286,41.584,21.705,28,3,3,18,10,1,1,3.821,33,42
2026-01-18 13:47:44,13.323,Tsui,49.701,10.304,5,6,0,4.94,15,0,0,49.701,6,8,83,167,4,2,0,82.353,41.353,20.359,34,8,1,28,6,1,0,4.0,33,55
2026-01-09 22:25:54,18.688,Thaleko,71.901,20.78,7,1,0,4.264,36,0,0,71.901,10,17,87,121,3,2,0,100,58.025,33.058,40,2,0,40,0,0,1,4.075,52,47
2026-01-11 17:19:26,17.746,neoburnz,72.917,19.995,10,11,0,4.305,40,0,0,72.917,17,20,105,144,4,1,0,90.164,60.241,42.361,61,11,2,55,6,1,0,3.77,59,50
2026-01-18 13:47:44,17.746,neoburnz,74.359,18.421,4,5,0,4.457,38,0,0,74.359,10,15,116,156,3,3,0,93.151,57.831,46.795,73,8,1,68,5,1,0,4.411,59,48
2026-01-26 16:08:49,17.746,neoburnz,71.552,20.425,4,2,0,4.313,33,0,0,71.552,10,19,83,116,1,4,0,95.652,55.714,39.655,46,5,0,44,2,1,2,4.0,59,39
2026-01-05 18:59:48,15.233,bamboo,38.462,14.119,4,6,1,3.657,17,0,0,38.462,7,7,35,91,1,4,0,95.238,21.429,23.077,21,4,1,20,1,0,0,3.048,66,15
2026-01-09 22:25:54,14.319,bamboo,50.394,14.588,2,3,0,4.172,27,0,0,50.394,12,8,64,127,3,2,0,100,36.364,22.047,28,3,0,28,0,0,0,3.857,66,36
2026-01-26 16:08:49,14.319,bamboo,59.292,15.806,5,4,0,4.552,20,0,0,59.292,10,8,67,113,3,2,0,100,40.26,31.858,36,9,0,36,0,0,0,4.278,66,31
2026-01-11 17:19:26,10.846,DKing20,50.459,10.057,1,3,0,4.8,13,0,0,50.459,4,7,55,109,3,2,0,100,28,31.193,34,1,0,34,0,0,0,4.706,67,21
2026-01-09 22:25:54,14.988,MahiruShiina,47.015,15.097,5,8,3,4.016,30,0,0,47.015,8,12,63,134,3,2,0,79.032,19.444,46.269,62,3,2,49,13,1,1,4.016,70,14
2026-01-26 16:08:49,14.204,JuliAless64,55.039,13.713,3,6,1,4.592,25,0,0,55.039,11,7,71,129,5,0,0,82.812,27.692,49.612,64,7,1,53,11,3,0,4.078,79,18
2026-01-09 22:25:54,11.064,Pile,47.692,11.655,3,6,1,4.645,18,0,0,47.692,7,7,62,130,2,2,1,69.841,26.866,48.462,63,7,5,44,19,3,0,3.937,81,18
2026-01-11 17:19:26,16.911,ShiinaMahiru,64.463,15.97,4,8,1,4.487,27,0,0,64.463,8,14,78,121,1,4,0,94.444,51.765,29.752,36,8,0,34,2,1,0,4.083,82,44
2026-01-09 22:25:54,14.751,Fumiii,49.558,9.473,1,6,0,5.214,13,0,0,49.558,4,6,56,113,1,4,0,85,30.137,35.398,40,5,1,34,6,0,0,4.7,119,22
2026-01-11 17:19:26,14.751,Fumiii,57.6,15.511,2,5,0,4.403,29,0,0,57.6,7,20,72,125,3,2,0,84.483,34.328,46.4,58,7,3,49,9,0,0,3.862,119,23
2026-01-18 13:47:44,14.751,Fumiii,66.026,14.871,5,5,0,4.66,24,0,0,66.026,11,9,103,156,3,3,0,97.368,36.25,48.718,76,8,1,74,2,0,0,4.421,119,29
2026-01-26 16:08:49,14.751,Fumiii,59.559,12.691,1,5,1,4.914,22,0,0,59.559,5,21,81,136,0,5,0,86.957,31.343,50.735,69,3,1,60,9,3,0,4.261,119,21
2026-01-05 18:59:48,9.832,Janoxx,21.552,10.322,10,6,2,3.6,13,0,0,21.552,11,2,25,116,3,2,0,100,10.784,12.069,14,10,0,14,0,0,1,1.857,121,11
2026-01-09 22:25:54,10.685,Janoxx,31.522,11.944,5,3,0,3.724,15,0,0,31.522,8,6,29,92,2,2,0,94.444,16.216,19.565,18,6,0,17,1,0,0,2.778,121,12
2026-01-11 17:19:26,10.685,Janoxx,24.561,9.728,5,7,4,3.464,17,0,0,24.561,11,1,28,114,4,1,0,89.474,11.579,16.667,19,10,2,17,2,0,0,2.0,121,11
2026-01-18 13:47:44,10.685,Janoxx,35.329,13.771,15,6,6,3.949,26,0,0,35.329,17,7,59,167,4,2,0,93.548,22.059,18.563,31,25,2,29,2,0,0,2.0,121,30
2026-01-05 18:59:48,12.04,Konsumenci,31.868,11.235,5,6,0,4.0,12,0,0,31.868,8,4,29,91,1,4,0,70.588,22.973,18.681,17,10,3,12,5,1,0,2.118,123,17
2026-01-09 22:25:54,11.225,Konsumenci,37.398,9.067,5,7,3,5.065,11,0,0,37.398,5,6,46,123,2,3,0,85.714,23.158,22.764,28,8,2,24,4,1,0,3.857,123,22
2026-01-11 17:19:26,11.225,Konsumenci,37.391,8.371,3,5,0,4.744,11,0,0,37.391,4,4,43,115,0,5,0,83.333,28.866,15.652,18,4,1,15,3,0,0,4.0,123,28
