Player ID,Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Offlist hit
1,2026-02-13 15:17:16,13.7,atsui,53.077,13.676,5,12,1,5.141,21,0,0,53.077,7,9,78,160,6,5,0,86.667,43,26.25,42,10,3,34,8,1,1,4.619,44
4,2026-01-09 22:25:54,20.721,watashiii,74.483,23.81,7,10,0,3.935,48,0,0,74.483,15,27,108,145,2,3,0,78.889,67.273,62.069,90,6,6,71,19,4,3,3.489,37
8,2026-04-14 12:21:10,120.32,Hejsan,51.667,125.993,3,6,1,4.328,26,0,0,51.667,10,9,62,133,6,4,0,76,36.364,45,54,6,5,38,16,4,0,3.8,24
21,2026-04-14 12:21:10,170.0,PoolNoodle,85.393,287.07,7,4,0,3.714,42,0,0,85.393,14,28,84,100,4,6,0,95.833,80.263,29.213,26,7,0,26,1,0,3,3.5,61
32,2026-06-05 11:50:28,135.0,beanman87,90.066,249.941,13,2,0,3.956,57,0,0,90.066,24,34,136,151,4,2,0,100,86.607,25.828,39,11,0,39,0,0,3,3.385,97
33,2026-03-01 17:03:20,128.811,Tsui,63.158,147.917,8,9,1,4.94,45,0,0,63.158,16,20,108,171,24,19,1,86.111,57.258,27.485,47,10,5,37,10,3,2,4.294,71
50,2026-05-17 19:20:26,127.04,Sniparook,62.264,176.53,5,6,1,4.297,32,0,0,62.264,14,11,91,156,9,1,1,80.328,37.778,57.547,88,7,4,66,22,3,0,3.77,25
51,2026-04-14 12:21:10,135.0,Chata,54.955,156.582,9,6,0,4.311,23,0,0,54.955,13,4,61,111,5,0,0,87.5,36.62,36.036,40,10,1,35,5,1,3,4.075,26
52,2026-01-09 22:25:54,18.688,Thaleko,71.901,20.78,7,1,0,4.264,36,0,0,71.901,10,17,87,121,3,2,0,100,58.025,33.058,40,2,0,40,0,0,1,4.075,47
58,2026-05-17 11:44:12,130.0,Lika,51.613,158.159,15,8,0,3.925,36,0,0,51.613,17,13,80,155,3,3,0,90.244,37.719,26.452,41,14,3,37,4,1,2,2.585,43
59,2026-06-05 11:50:28,147.374,neoburnz,74.359,196.294,10,9,1,4.612,49,0,0,74.359,17,33,117,173,49,46,2,96.364,60.87,48.696,73,11,4,68,7,3,2,4.545,60
66,2026-05-10 14:32:43,124.162,bamboo,59.292,181.536,11,6,1,4.552,29,0,0,59.292,17,12,67,130,22,14,0,96.875,40.26,32,36,12,3,36,3,1,0,4.278,36
67,2026-03-21 23:58:10,99.33,DKing20,50.459,94.698,2,3,1,4.8,13,0,0,50.459,4,7,55,109,7,3,0,95.652,28,31.193,34,5,0,34,1,0,0,4.706,21
70,2026-01-09 22:25:54,14.988,MahiruShiina,47.015,15.097,5,8,3,4.016,30,0,0,47.015,8,12,63,134,3,2,0,79.032,19.444,46.269,62,3,2,49,13,1,1,4.016,14
72,2026-02-27 17:49:06,111.82,ruuka,50.0,128.787,6,9,1,4.987,22,0,0,50,12,14,76,160,7,9,0,69.811,37.255,53.636,76,12,6,47,29,8,1,4.237,29
77,2026-05-19 16:16:06,140.0,neptune,67.76,159.094,7,9,0,4.595,43,0,0,67.76,11,28,124,183,15,11,0,96.491,45.055,45.902,84,10,2,80,5,4,1,4.211,44
79,2026-02-17 22:57:01,119.64,JuliAless64,61.333,135.902,5,6,1,4.592,30,0,0,61.333,14,9,92,150,8,2,0,89.61,31.507,51.333,77,7,1,69,11,3,0,4.234,23
81,2026-03-24 19:06:22,107.15,Pile,47.692,97.41,6,8,2,4.796,21,0,0,47.692,8,7,62,139,8,6,1,69.841,26.866,48.462,66,9,5,44,22,7,0,3.937,18
82,2026-05-10 14:32:43,133.81,ShiinaMahiru,68.345,186.315,6,8,1,4.487,46,0,0,68.345,17,23,95,139,18,13,1,95.238,58.824,29.752,37,8,2,35,5,1,3,4.083,64
83,2026-02-16 14:25:39,13.0,Milar,49.524,17.596,3,12,0,3.846,28,0,0,49.524,13,9,52,105,4,1,0,88.889,41.379,17.143,18,4,2,16,2,0,2,3.278,36
88,2026-02-16 14:25:39,14.822,Emdiel,54.128,15.562,6,8,0,4.506,28,0,0,54.128,10,14,83,155,5,6,0,86.567,35.714,48.624,67,9,3,58,14,5,0,4.164,25
91,2026-02-17 22:57:01,107.12,Baikinman,44.037,83.108,4,13,0,4.56,14,0,0,44.037,8,5,50,124,4,5,1,59.375,31.915,56.881,64,9,8,38,29,10,0,3.453,15
97,2026-05-19 16:16:06,105.0,chaabdu92,34.078,73.3,4,5,5,4.951,18,0,0,34.078,5,8,61,179,4,7,0,77.5,19.697,30.769,47,8,5,35,12,1,0,4.0,26
98,2026-02-17 22:57:01,115.0,Comete,38.71,81.981,1,13,2,4.396,16,0,0,38.71,5,5,48,124,1,4,0,61.818,20.29,44.355,55,5,3,34,21,7,0,3.436,14
100,2026-05-10 14:32:43,118.4,IrinaShidou,63.433,133.107,5,9,1,5.108,28,0,0,63.433,8,19,85,144,15,11,0,78.082,48.148,64.423,87,11,5,61,26,8,0,4.184,26
106,2026-03-21 23:58:10,120.0,cafezinho,43.0,99.186,2,6,1,4.442,16,0,0,43,9,5,43,100,4,1,0,65.789,29.032,38,38,4,2,25,13,1,2,3.579,18
119,2026-06-05 11:50:28,130.924,Fumiii,68.939,159.415,8,9,1,5.214,39,0,0,68.939,17,25,111,179,51,58,1,97.468,42.857,58.333,93,8,4,84,15,4,2,4.975,33
121,2026-05-17 11:44:12,113.819,Janoxx,35.329,125.58,15,8,6,4.28,26,0,0,35.329,17,8,59,167,41,45,0,95.455,9.677,21.277,31,25,3,29,4,3,1,2.778,30
123,2026-05-19 16:16:06,99.32,Konsumenci,38.462,104.004,5,8,3,5.31,18,0,0,38.462,9,6,58,155,13,19,0,90.323,30.769,25.275,31,10,3,28,7,2,1,4.097,32
133,2026-03-19 16:41:20,80.0,ChrisLefko,24.265,28.851,1,14,3,5.667,4,0,0,24.265,1,1,33,136,4,1,0,46,11.628,36.765,50,7,5,23,27,2,0,3.78,10
134,2026-04-30 15:50:01,110.0,Jakemonkey,43.284,102.193,3,9,0,4.414,21,0,0,43.284,11,3,58,134,3,2,0,87.879,28.713,24.627,33,2,1,29,4,0,0,3.97,29
143,2026-05-10 14:32:43,124.68,mahzrunner,56.774,137.891,6,8,2,4.932,31,0,0,56.774,16,11,88,155,21,15,0,94.444,37.805,41.007,63,9,2,55,10,2,2,4.254,34
144,2026-04-18 14:09:24,111.77,liljakatsuragi,60.544,102.203,4,6,1,4.886,21,0,0,60.544,10,16,89,167,13,14,0,91.935,38.053,46.789,62,8,1,57,10,2,0,4.778,43
149,2026-05-17 19:20:26,119.09,Zozo,63.462,160.288,7,9,2,4.743,33,0,0,63.462,14,22,99,160,28,23,1,92.308,50,41.29,64,10,4,56,10,5,2,4.525,43
150,2026-05-17 19:20:26,120.421,Bommie,66.038,142.002,8,8,1,5.209,35,0,0,66.038,12,17,105,173,53,61,4,95.833,34.066,57.862,92,6,3,86,10,3,2,4.988,31
155,2026-02-17 22:57:01,74.88,Unborned,25.899,44.149,1,8,3,5.056,9,0,0,25.899,3,3,36,139,6,3,1,80.645,8.889,30.769,40,5,2,25,15,1,1,4.425,11
156,2026-04-18 14:09:24,131.14,Zental,60.0,150.377,8,5,0,4.179,34,0,0,60,12,24,84,140,4,6,0,83.019,45.977,37.857,53,7,3,44,9,3,1,3.697,40
159,2026-03-18 15:43:11,89.18,legrandort,43.03,71.67,4,8,2,5.648,8,0,0,43.03,6,5,71,165,12,15,0,96.552,24.138,29.697,49,5,3,43,6,1,0,5.367,28
160,2026-05-10 14:32:43,89.23,Skychael,35.043,85.99,5,4,2,4.512,13,0,0,35.043,8,6,41,117,8,2,0,80,21.25,31.624,37,9,6,24,13,1,0,3.55,17
