Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Onlist,Offlist,Rig %,Rigs,Solo rigs,Missed solos,Rigs hit,Rigs missed,Lives lost on rigs,Offlist erigs,avg/8 of your rigs,Player ID,Offlist hit
2026-02-03 14:14:42,13.7,atsui,48.75,10.093,2,12,0,5.141,15,0,0,48.75,6,9,78,160,3,3,0,80.952,37.288,26.25,42,4,3,34,8,1,1,4.619,1,44
2026-02-13 15:17:16,12.909,atsui,53.077,13.676,5,12,1,4.739,21,0,0,53.077,7,9,69,130,3,2,0,86.667,43,23.077,30,10,3,26,4,0,0,3.367,1,43
2026-01-09 22:25:54,20.721,watashiii,74.483,23.81,7,10,0,3.935,48,0,0,74.483,15,27,108,145,2,3,0,78.889,67.273,62.069,90,6,6,71,19,4,3,3.489,4,37
2026-02-17 22:57:01,110.0,Hejsan,51.667,125.993,2,10,1,4.194,26,0,0,51.667,10,9,62,120,4,1,0,70.37,36.364,45,54,6,5,38,16,2,0,3.37,8,24
2026-04-14 12:21:10,120.32,Hejsan,43.609,108.512,3,6,1,4.328,23,0,0,43.609,6,7,58,133,2,3,0,76,24.096,37.594,50,5,1,38,12,4,0,3.8,8,20
2026-03-21 23:58:10,170.0,PoolNoodle,84.0,247.926,7,3,0,3.714,42,0,0,84,14,23,84,100,1,4,0,95.833,80.263,24,24,7,0,23,1,0,2,3.5,21,61
2026-04-14 12:21:10,158.49,PoolNoodle,85.393,287.07,6,4,0,3.539,40,0,0,85.393,14,28,76,89,3,2,0,100,79.365,29.213,26,6,0,26,0,0,3,2.923,21,50
2026-06-05 11:50:28,135.0,beanman87,90.066,249.941,13,2,0,3.956,57,0,0,90.066,24,34,136,151,4,2,0,100,86.607,25.828,39,11,0,39,0,0,3,3.385,32,97
2026-01-09 22:25:54,13.323,Tsui,46.512,12.217,3,9,0,4.45,18,0,0,46.512,5,13,60,129,3,1,1,64.286,41.584,21.705,28,3,3,18,10,1,1,3.821,33,42
2026-01-18 13:47:44,13.323,Tsui,49.701,10.304,5,6,0,4.94,15,0,0,49.701,6,8,83,167,4,2,0,82.353,41.353,20.359,34,8,1,28,6,1,0,4.0,33,55
2026-02-03 14:14:42,13.312,Tsui,50.968,13.579,2,8,0,4.62,25,0,0,50.968,10,10,79,155,4,2,0,82.353,42.149,21.935,34,5,1,28,6,0,1,4.294,33,51
2026-02-13 15:17:16,13.542,Tsui,63.158,18.604,6,14,0,4.213,45,0,0,63.158,16,16,108,171,2,4,0,78.723,57.258,27.485,47,10,5,37,10,2,1,3.191,33,71
2026-02-17 22:57:01,119.77,Tsui,57.463,134.126,5,10,0,4.403,24,0,0,57.463,8,12,77,134,4,1,0,86.111,46.939,26.866,36,3,1,31,5,3,2,3.861,33,46
2026-02-23 13:34:06,121.14,Tsui,54.717,125.163,2,8,0,4.207,21,0,0,54.717,5,15,58,106,2,3,0,84,45.679,23.585,25,4,2,21,4,2,0,3.64,33,37
2026-02-27 17:49:06,128.811,Tsui,56.452,138.492,3,8,1,4.443,26,0,0,56.452,5,20,70,124,0,5,0,82.759,48.421,23.387,29,5,1,24,5,2,0,3.483,33,46
2026-03-01 17:03:20,120.654,Tsui,56.115,147.917,8,10,1,4.205,29,0,0,56.115,11,13,78,139,5,1,0,85.294,46.667,24.46,34,7,2,29,5,2,2,3.5,33,49
2026-04-14 12:21:10,125.0,Sniparook,62.264,176.53,4,2,1,4.0,27,0,0,62.264,9,11,66,106,4,1,0,80.328,37.778,57.547,61,6,1,49,12,2,0,3.77,50,17
2026-05-17 19:20:26,127.04,Sniparook,58.333,139.4,5,6,1,4.297,32,0,0,58.333,14,11,91,156,5,0,1,75,36.765,56.41,88,7,4,66,22,3,0,3.727,50,25
2026-04-14 12:21:10,135.0,Chata,54.955,156.582,9,6,0,4.311,23,0,0,54.955,13,4,61,111,5,0,0,87.5,36.62,36.036,40,10,1,35,5,1,3,4.075,51,26
2026-01-09 22:25:54,18.688,Thaleko,71.901,20.78,7,1,0,4.264,36,0,0,71.901,10,17,87,121,3,2,0,100,58.025,33.058,40,2,0,40,0,0,1,4.075,52,47
2026-05-17 11:44:12,130.0,Lika,51.613,158.159,15,8,0,3.925,36,0,0,51.613,17,13,80,155,3,3,0,90.244,37.719,26.452,41,14,3,37,4,1,2,2.585,58,43
2026-01-11 17:19:26,17.746,neoburnz,72.917,19.995,10,11,0,4.305,40,0,0,72.917,17,20,105,144,4,1,0,90.164,60.241,42.361,61,11,2,55,6,1,0,3.77,59,50
2026-01-18 13:47:44,17.746,neoburnz,74.359,18.421,4,5,0,4.457,38,0,0,74.359,10,15,116,156,3,3,0,93.151,57.831,46.795,73,8,1,68,5,1,0,4.411,59,48
2026-01-26 16:08:49,17.746,neoburnz,71.552,20.425,4,2,0,4.313,33,0,0,71.552,10,19,83,116,1,4,0,95.652,55.714,39.655,46,5,0,44,2,1,2,4.0,59,39
2026-02-03 14:14:42,17.351,neoburnz,65.957,18.69,6,9,0,4.527,29,0,0,65.957,8,20,93,141,3,3,0,90,48.148,42.553,60,2,2,54,6,0,1,4.117,59,39
2026-02-13 15:17:16,17.091,neoburnz,72.297,19.571,4,6,0,4.374,40,0,0,72.297,9,33,107,148,3,3,0,96.364,58.065,37.162,55,9,1,53,2,0,0,4.545,59,54
2026-02-23 13:34:06,144.37,neoburnz,65.6,165.507,4,11,1,4.049,35,0,0,65.6,10,17,82,125,3,2,0,90.385,47.945,41.6,52,6,2,47,5,2,1,4.115,59,35
2026-02-27 17:49:06,144.38,neoburnz,63.551,169.166,3,6,0,4.088,27,0,0,63.551,8,16,68,107,4,1,0,82.5,52.239,37.383,40,5,4,33,7,1,1,3.325,59,35
2026-03-13 15:56:00,147.374,neoburnz,69.643,0.0,7,6,0,3.974,35,0,0,69.643,14,24,78,112,1,4,0,91.489,53.846,41.964,47,8,1,43,4,2,0,3.532,59,35
2026-03-14 16:32:17,140.081,neoburnz,66.406,151.964,7,6,0,4.529,30,0,0,66.406,15,10,85,128,5,1,0,90.909,47.945,42.969,55,10,0,50,5,2,1,4.4,59,35
2026-03-19 16:41:20,145.676,neoburnz,70.29,174.019,6,11,0,4.247,39,0,0,70.29,11,32,97,138,2,3,0,87.273,59.036,39.855,55,10,4,48,7,1,0,3.891,59,49
2026-03-24 19:06:22,140.498,neoburnz,62.609,157.76,5,10,0,4.208,30,0,0,62.609,11,13,72,115,3,2,0,87.5,38.983,48.696,56,3,2,49,7,1,1,3.857,59,23
2026-04-14 12:21:10,138.707,neoburnz,60.902,149.823,4,6,0,4.309,26,0,0,60.902,9,11,81,133,2,3,0,87.234,46.512,35.338,47,4,2,41,6,3,1,3.957,59,40
2026-04-18 14:09:24,136.112,neoburnz,72.358,191.249,5,5,0,4.045,37,0,0,72.358,12,19,89,123,3,1,1,87.037,60.87,43.902,54,8,3,47,7,1,0,3.444,59,42
2026-04-30 15:50:01,138.547,neoburnz,57.5,139.14,2,4,0,4.333,27,0,0,57.5,5,17,69,120,1,4,0,83.333,48.889,25,30,6,1,25,5,3,0,3.867,59,44
2026-05-10 14:32:43,134.883,neoburnz,73.125,196.294,9,8,0,4.094,49,0,0,73.125,16,33,117,160,2,3,0,95,60,37.5,60,4,1,57,3,1,1,4.083,59,60
2026-05-17 19:20:26,135.786,neoburnz,67.052,142.727,6,8,0,4.612,31,0,0,67.052,11,15,116,173,3,2,1,89.706,52.381,39.306,68,10,1,61,7,2,0,4.132,59,55
2026-05-19 16:16:06,136.649,neoburnz,67.097,160.986,5,8,0,4.5,42,0,0,67.097,10,24,104,155,3,3,0,93.103,51.546,37.419,58,4,2,54,4,1,1,4.397,59,50
2026-06-05 11:50:28,122.285,neoburnz,58.273,135.238,3,4,0,4.259,31,0,0,58.273,7,21,81,139,3,3,0,93.478,40.86,33.094,46,6,0,43,3,1,0,4.13,59,38
2026-01-05 18:59:48,15.233,bamboo,38.462,14.119,4,6,1,3.657,17,0,0,38.462,7,7,35,91,1,4,0,95.238,21.429,23.077,21,4,1,20,1,0,0,3.048,66,15
2026-01-09 22:25:54,14.319,bamboo,50.394,14.588,2,3,0,4.172,27,0,0,50.394,12,8,64,127,3,2,0,100,36.364,22.047,28,3,0,28,0,0,0,3.857,66,36
2026-01-26 16:08:49,14.319,bamboo,59.292,15.806,5,4,0,4.552,20,0,0,59.292,10,8,67,113,3,2,0,100,40.26,31.858,36,9,0,36,0,0,0,4.278,66,31
2026-04-14 12:21:10,118.21,bamboo,40.566,98.811,2,2,0,4.419,16,0,0,40.566,6,6,43,106,4,1,0,89.286,23.077,26.415,28,4,0,25,3,0,0,4.179,66,18
2026-04-18 14:09:24,113.53,bamboo,50.0,143.155,9,6,1,4.138,29,0,0,50,10,12,65,130,3,2,0,96.774,35.354,23.846,31,12,0,30,1,0,0,3.0,66,35
2026-04-28 18:07:21,114.89,bamboo,52.542,128.402,4,3,1,4.306,26,0,0,52.542,13,10,62,118,4,2,0,96.875,36.047,27.119,32,4,0,31,1,1,0,3.844,66,31
2026-05-10 14:32:43,124.162,bamboo,48.0,181.536,11,6,0,3.354,27,0,0,48,17,8,48,100,4,1,0,90.625,27.941,32,32,10,3,29,3,0,0,2.281,66,19
2026-01-11 17:19:26,10.846,DKing20,50.459,10.057,1,3,0,4.8,13,0,0,50.459,4,7,55,109,3,2,0,100,28,31.193,34,1,0,34,0,0,0,4.706,67,21
2026-03-21 23:58:10,99.33,DKing20,43.678,94.698,2,1,1,4.553,13,0,0,43.678,4,4,38,87,4,1,0,95.652,25,26.437,23,5,0,22,1,0,0,4.696,67,16
2026-01-09 22:25:54,14.988,MahiruShiina,47.015,15.097,5,8,3,4.016,30,0,0,47.015,8,12,63,134,3,2,0,79.032,19.444,46.269,62,3,2,49,13,1,1,4.016,70,14
2026-02-03 14:14:42,13.7,ruuka,47.5,10.677,1,12,1,4.987,20,0,0,47.5,6,14,76,160,3,3,0,61.842,34.524,47.5,76,0,6,47,29,2,1,4.237,72,29
2026-02-23 13:34:06,103.0,ruuka,46.491,128.787,6,8,1,4.057,22,0,0,46.491,12,10,53,114,2,3,0,69.811,26.23,46.491,53,12,3,37,16,2,0,3.509,72,16
2026-02-27 17:49:06,111.82,ruuka,50.0,125.111,1,9,0,4.182,19,0,0,50,6,8,55,110,2,3,0,61.017,37.255,53.636,59,5,5,36,23,8,0,3.288,72,19
2026-02-27 17:49:06,140.0,neptune,58.182,140.698,1,9,0,4.156,23,0,0,58.182,6,9,64,110,2,3,0,88.636,37.879,40,44,1,1,39,5,4,0,3.795,77,25
2026-03-19 16:41:20,115.82,neptune,65.441,139.991,4,14,0,4.494,30,0,0,65.441,8,11,89,136,4,1,0,96.491,43.038,41.912,57,7,1,55,2,0,1,4.211,77,34
2026-03-24 19:06:22,118.7,neptune,60.305,133.049,6,10,0,4.595,23,0,0,60.305,11,8,79,131,3,2,0,91.228,36.486,43.511,57,6,2,52,5,0,1,4.14,77,27
2026-04-30 15:50:01,121.68,neptune,59.701,120.696,0,9,0,4.525,26,0,0,59.701,4,11,80,134,3,2,0,90.698,45.055,32.09,43,1,2,39,4,1,0,3.721,77,41
2026-05-19 16:16:06,118.69,neptune,67.76,159.094,7,12,0,4.476,43,0,0,67.76,10,28,124,183,3,3,0,95.238,44.444,45.902,84,10,2,80,4,0,1,4.143,77,44
2026-01-26 16:08:49,14.204,JuliAless64,55.039,13.713,3,6,1,4.592,25,0,0,55.039,11,7,71,129,5,0,0,82.812,27.692,49.612,64,7,1,53,11,3,0,4.078,79,18
2026-02-17 22:57:01,119.64,JuliAless64,61.333,135.902,5,10,0,4.435,30,0,0,61.333,14,9,92,150,3,2,0,89.61,31.507,51.333,77,6,0,69,8,1,0,4.234,79,23
2026-01-09 22:25:54,11.064,Pile,47.692,11.655,3,6,1,4.645,18,0,0,47.692,7,7,62,130,2,2,1,69.841,26.866,48.462,63,7,5,44,19,3,0,3.937,81,18
2026-02-17 22:57:01,107.15,Pile,41.727,97.41,4,8,2,4.448,21,0,0,41.727,8,6,58,139,4,1,0,66.667,19.178,47.482,66,9,5,44,22,6,0,3.439,81,14
2026-03-24 19:06:22,105.85,Pile,42.241,96.599,6,4,1,4.796,17,0,0,42.241,7,6,49,116,2,3,0,68.519,19.355,46.552,54,8,1,37,17,7,0,3.759,81,12
2026-01-11 17:19:26,16.911,ShiinaMahiru,64.463,15.97,4,8,1,4.487,27,0,0,64.463,8,14,78,121,1,4,0,94.444,51.765,29.752,36,8,0,34,2,1,0,4.083,82,44
2026-02-27 17:49:06,128.54,ShiinaMahiru,65.556,186.315,6,7,0,4.085,26,0,0,65.556,12,8,59,90,4,1,0,88,56.923,27.778,25,6,2,22,3,1,3,3.96,82,37
2026-03-13 15:56:00,133.81,ShiinaMahiru,56.522,0.0,5,7,0,3.942,20,0,0,56.522,8,14,52,92,3,2,0,91.667,44.118,26.087,24,3,0,22,2,1,2,3.375,82,30
2026-03-18 15:43:11,129.66,ShiinaMahiru,68.345,169.452,2,8,0,3.884,46,0,0,68.345,17,17,95,139,4,2,0,94.595,58.824,26.619,37,1,0,35,2,1,0,3.676,82,60
2026-04-09 15:36:48,133.45,ShiinaMahiru,64.122,140.991,3,6,1,4.405,31,0,0,64.122,7,23,84,131,2,3,1,95.238,58.182,16.031,21,4,0,20,1,0,1,3.714,82,64
2026-05-10 14:32:43,131.13,ShiinaMahiru,55.118,134.564,5,13,0,4.257,23,0,0,55.118,12,6,70,127,4,1,0,84.848,44.681,25.984,33,3,1,28,5,1,1,3.97,82,42
2026-02-16 14:25:39,13.0,Milar,49.524,17.596,3,12,0,3.846,28,0,0,49.524,13,9,52,105,4,1,0,88.889,41.379,17.143,18,4,2,16,2,0,2,3.278,83,36
2026-02-03 14:14:42,13.6,Emdiel,53.548,15.422,6,8,0,4.506,28,0,0,53.548,10,14,83,155,4,2,0,86.567,28.409,43.226,67,9,2,58,9,2,0,4.164,88,25
2026-02-16 14:25:39,14.822,Emdiel,54.128,15.562,3,4,0,4.407,21,0,0,54.128,6,11,59,109,1,4,0,73.585,35.714,48.624,53,7,3,39,14,5,0,3.679,88,20
