Player ID,PlayerName,ELONOWR,ELO,RANK,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples,WINSTREAK,LOSESTREAK,TIESTREAK,PALL,PRECENT,WR,STREAK,FINAL MODIFIER
32,beanman87,151.46,151.46,0.505,0.901,0.006,0.0,0.578,24.0,34.0,4,2,0,39.0,97.0,39.0,0.0,11.0,0.0,0.0,3.0,3.385,151.0,1,4,2,0,6,6,0.0,0.0,0.0
21,PoolNoodle,150.3,150.3,0.501,0.847,0.005,0.0,0.625,14.0,25.5,4,6,0,24.5,55.5,25.0,0.5,6.5,0.0,0.0,2.5,3.212,94.5,2,4,6,0,10,10,0.0,0.0,0.0
4,watashiii,135.14,135.14,0.45,0.745,0.003,0.0,0.581,15.0,27.0,2,3,0,71.0,37.0,90.0,19.0,6.0,6.0,4.0,3.0,3.489,145.0,1,2,3,0,5,5,0.0,0.0,0.0
52,Thaleko,127.91,127.91,0.426,0.719,0.004,0.0,0.534,10.0,17.0,3,2,0,40.0,47.0,40.0,0.0,2.0,0.0,0.0,1.0,4.075,121.0,1,3,2,0,5,5,0.0,0.0,0.0
82,ShiinaMahiru,118.95,121.294,0.397,0.624,0.002,0.333,0.546,10.667,13.667,18,13,1,26.833,46.167,29.333,2.5,4.167,0.5,0.833,1.167,3.796,116.667,6,18,13,1,32,32,0.078,0.078,0.156
59,neoburnz,120.42,120.914,0.401,0.656,0.003,0.0,0.527,10.7,19.5,49,46,2,47.5,43.6,52.9,5.4,6.5,1.6,1.6,0.5,4.016,138.4,10,27,25,2,97,54,0.015,0.019,0.034
50,Sniparook,117.19,117.19,0.391,0.603,0.002,1.0,0.55,11.5,11.0,9,1,1,57.5,21.0,74.5,17.0,6.5,2.5,2.5,0.0,3.748,131.0,2,9,1,1,11,11,0.0,0.0,0.0
156,Zental,116.18,116.18,0.387,0.587,0.003,0.0,0.556,9.0,15.5,4,6,0,38.5,30.5,43.0,4.5,5.5,1.5,1.5,1.0,3.434,117.0,2,4,6,0,10,10,0.0,0.0,0.0
77,neptune,115.02,115.02,0.383,0.623,0.002,0.0,0.507,7.8,13.4,15,11,0,53.0,34.2,57.0,4.0,5.0,1.6,1.0,0.6,4.002,138.8,5,15,11,0,26,26,0.0,0.0,0.0
220,Bofu,114.36,114.36,0.381,0.61,0.003,1.0,0.513,11.0,16.0,5,1,0,49.0,48.0,52.0,3.0,6.0,0.0,1.0,3.0,3.904,159.0,1,5,1,0,6,6,0.0,0.0,0.0
119,Fumiii,114.02,113.294,0.38,0.61,0.002,0.1,0.51,10.3,14.0,51,58,1,63.0,23.3,69.2,6.2,3.7,1.8,1.4,0.5,4.224,141.3,10,27,28,1,110,56,-0.032,-0.009,-0.041
286,Lakumix,112.48,112.48,0.375,0.518,0.004,0.5,0.591,9.5,9.0,5,5,0,27.5,24.0,28.5,1.0,9.5,1.0,0.0,0.0,2.966,98.0,2,5,5,0,10,10,0.0,0.0,0.0
379,CipherKai,112.4,112.4,0.375,0.614,0.0,0.0,0.492,8.0,7.0,2,3,0,62.0,19.0,78.0,16.0,3.0,3.0,2.0,0.0,4.205,132.0,1,2,3,0,5,5,0.0,0.0,0.0
