Player ID,PlayerName,GuessRate,erigs,Seven8,avg8,LivesTaken,LivesSaved,WIN,LOSE,TIE,RigsHit,OfflistHit,Rigs,RigsMissed,SoloRigs,MissedSolos,LivesLostOnRigs,OfflistErigs,rigs8,TotalSongs,Samples
1,atsui,50.914,3.5,0.5,4.94,6.5,9.0,6,5,0,30.0,43.5,36.0,6.0,7.0,3.0,0.5,0.5,3.993,145.0,2
4,watashiii,74.483,7.0,0.0,3.935,15.0,27.0,2,3,0,71.0,37.0,90.0,19.0,6.0,6.0,4.0,3.0,3.489,145.0,1
8,Hejsan,47.638,2.5,1.0,4.261,8.0,8.0,6,4,0,38.0,22.0,52.0,14.0,5.5,3.0,3.0,0.0,3.585,126.5,2
21,PoolNoodle,84.696,6.5,0.0,3.626,14.0,25.5,4,6,0,24.5,55.5,25.0,0.5,6.5,0.0,0.0,2.5,3.212,94.5,2
32,beanman87,90.066,13.0,0.0,3.956,24.0,34.0,4,2,0,39.0,97.0,39.0,0.0,11.0,0.0,0.0,3.0,3.385,151.0,1
33,Tsui,54.386,4.25,0.25,4.435,8.25,13.375,24,19,1,27.0,49.625,33.375,6.375,5.625,2.0,1.625,0.875,3.724,140.625,8
50,Sniparook,60.299,4.5,1.0,4.148,11.5,11.0,9,1,1,57.5,21.0,74.5,17.0,6.5,2.5,2.5,0.0,3.748,131.0,2
51,Chata,54.955,9.0,0.0,4.311,13.0,4.0,5,0,0,35.0,26.0,40.0,5.0,10.0,1.0,1.0,3.0,4.075,111.0,1
52,Thaleko,71.901,7.0,0.0,4.264,10.0,17.0,3,2,0,40.0,47.0,40.0,0.0,2.0,0.0,0.0,1.0,4.075,121.0,1
58,Lika,51.613,15.0,0.0,3.925,17.0,13.0,3,3,0,37.0,43.0,41.0,4.0,14.0,3.0,1.0,2.0,2.585,155.0,1
59,neoburnz,65.561,5.2,0.0,4.314,10.7,19.5,27,25,2,47.5,43.6,52.9,5.4,6.5,1.6,1.6,0.5,4.016,138.4,10
66,bamboo,48.465,5.286,0.429,4.085,10.714,8.429,22,14,0,28.429,26.429,29.714,1.286,6.571,0.571,0.143,0.0,3.498,112.143,7
67,DKing20,47.068,1.5,0.5,4.676,4.0,5.5,7,3,0,28.0,18.5,28.5,0.5,3.0,0.0,0.0,0.0,4.701,98.0,2
70,MahiruShiina,47.015,5.0,3.0,4.016,8.0,12.0,3,2,0,49.0,14.0,62.0,13.0,3.0,2.0,1.0,1.0,4.016,134.0,1
72,ruuka,47.997,2.667,0.667,4.409,8.0,10.667,7,9,0,40.0,21.333,62.667,22.667,5.667,4.667,4.0,0.333,3.678,128.0,3
77,neptune,62.278,3.6,0.0,4.449,7.8,13.4,15,11,0,53.0,34.2,57.0,4.0,5.0,1.6,1.0,0.6,4.002,138.8,5
79,JuliAless64,58.186,4.0,0.5,4.514,12.5,8.0,8,2,0,61.0,20.5,70.5,9.5,6.5,0.5,2.0,0.0,4.156,139.5,2
81,Pile,43.887,4.333,1.333,4.63,7.333,6.333,8,6,1,41.667,14.667,61.0,19.333,8.0,3.667,5.333,0.0,3.712,128.333,3
82,ShiinaMahiru,62.354,4.167,0.333,4.177,10.667,13.667,18,13,1,26.833,46.167,29.333,2.5,4.167,0.5,0.833,1.167,3.796,116.667,6
83,Milar,49.524,3.0,0.0,3.846,13.0,9.0,4,1,0,16.0,36.0,18.0,2.0,4.0,2.0,0.0,2.0,3.278,105.0,1
88,Emdiel,53.838,4.5,0.0,4.456,8.0,12.5,5,6,0,48.5,22.5,60.0,11.5,8.0,2.5,3.5,0.0,3.922,132.0,2
91,Baikinman,42.18,2.5,0.0,4.54,6.5,4.5,4,5,1,35.5,13.5,63.0,27.5,7.0,6.5,6.5,0.0,3.307,116.5,2
97,chaabdu92,33.962,3.0,4.5,4.862,4.5,6.5,4,7,0,33.0,19.5,43.5,10.5,7.0,4.5,1.0,0.0,3.926,154.5,2
98,Comete,38.71,1.0,2.0,4.396,5.0,5.0,1,4,0,34.0,14.0,55.0,21.0,5.0,3.0,7.0,0.0,3.436,124.0,1
100,IrinaShidou,57.811,2.6,0.2,4.482,6.2,13.0,15,11,0,53.8,19.2,74.8,21.0,7.0,3.6,5.0,0.0,3.697,126.6,5
106,cafezinho,43.0,2.0,1.0,4.442,9.0,5.0,4,1,0,25.0,18.0,38.0,13.0,4.0,2.0,1.0,2.0,3.579,100.0,1
119,Fumiii,61.014,4.6,0.1,4.429,10.3,14.0,27,28,1,63.0,23.3,69.2,6.2,3.7,1.8,1.4,0.5,4.224,141.3,10
121,Janoxx,27.284,7.5,2.0,3.655,9.0,5.5,22,33,0,16.2,14.5,18.4,2.2,10.8,1.2,0.5,0.3,2.119,112.8,10
123,Konsumenci,36.722,4.333,0.833,4.712,7.333,4.333,13,19,0,19.0,24.167,23.333,4.333,6.833,1.5,0.833,0.167,3.512,117.0,6
133,ChrisLefko,24.265,1.0,3.0,5.667,1.0,1.0,4,1,0,23.0,10.0,50.0,27.0,7.0,5.0,2.0,0.0,3.78,136.0,1
134,Jakemonkey,43.284,3.0,0.0,4.414,11.0,3.0,3,2,0,29.0,29.0,33.0,4.0,2.0,1.0,0.0,0.0,3.97,134.0,1
143,mahzrunner,51.619,3.143,0.286,4.483,8.714,7.857,21,15,0,39.286,28.286,45.714,6.429,5.714,1.571,0.714,0.571,3.848,129.857,7
144,liljakatsuragi,51.216,3.0,0.2,4.684,6.8,8.0,13,14,0,43.4,24.8,51.4,8.0,5.6,0.2,1.2,0.0,4.436,131.6,5
149,Zozo,55.223,3.9,0.7,4.389,8.4,12.2,28,23,1,38.9,30.4,44.7,5.8,4.8,1.1,1.8,0.7,4.013,124.6,10
150,Bommie,55.471,2.2,0.2,4.617,6.7,10.8,21,31,2,56.7,20.5,61.6,4.9,3.3,1.1,1.2,0.2,4.342,138.1,10
155,Unborned,25.642,1.0,1.5,4.982,3.0,2.5,6,3,1,25.0,9.5,35.5,10.5,2.5,1.5,0.5,0.5,4.374,134.5,2
156,Zental,58.724,5.5,0.0,4.108,9.0,15.5,4,6,0,38.5,30.5,43.0,4.5,5.5,1.5,1.5,1.0,3.434,117.0,2
159,legrandort,37.814,1.4,0.4,5.128,4.6,3.2,12,15,0,32.2,17.2,35.0,2.8,3.6,1.0,0.4,0.0,4.808,129.2,5
160,Skychael,31.807,3.0,1.5,4.396,6.5,6.0,8,2,0,20.0,16.5,28.5,8.5,8.5,3.5,1.0,0.0,3.194,114.5,2
164,IAmAsianNoob,33.09,0.667,0.833,5.625,2.0,1.333,14,18,0,24.5,19.5,29.833,5.333,1.333,0.667,0.5,0.0,5.021,132.5,6
170,hubcioskubcio,21.156,0.5,3.5,6.166,1.0,0.5,5,6,0,20.5,7.5,26.0,5.5,2.5,0.0,0.5,0.0,5.71,132.0,2
171,JustAWeirdo,30.987,2.0,1.0,5.09,4.1,2.9,24,27,3,20.7,18.8,24.9,4.2,5.2,0.9,0.9,0.3,4.366,127.4,10
172,oolli,35.128,1.7,1.3,4.872,4.7,3.1,26,26,2,40.5,6.2,56.9,16.4,4.1,1.7,2.9,0.0,4.226,134.4,10
174,TateyamaAyano,28.28,3.0,1.5,4.552,3.5,3.5,2,9,0,26.0,8.5,39.5,13.5,5.5,4.0,4.0,0.0,3.446,122.0,2
176,Spitzell,45.452,1.571,0.429,4.999,3.714,5.429,24,13,0,37.714,22.571,43.286,5.571,3.857,0.857,1.0,0.143,4.577,132.143,7
191,redeyes,47.0,0.0,0.0,4.426,10.0,5.0,4,1,0,43.0,4.0,54.0,11.0,4.0,3.0,1.0,0.0,3.981,100.0,1
201,rorf,42.056,2.0,0.0,5.0,4.0,3.0,3,2,0,21.0,24.0,27.0,6.0,6.0,1.0,2.0,1.0,3.852,107.0,1
