,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate,rigs,rigs hit,correct count,song count,Rigs missed,Offlist GR
,,,,,,,,,,,,,,
2025-11-03,,,,,,,,,,,,,,
AKl,71.171,26.665,23.349,7,3.57,0,0,71.171,50,42,79,111,8,60.66%
neoburnz,69.444,19.136,24.891,4,4.26,0,0,69.444,61,57,100,144,4,51.81%
sayuogiwara,69.231,20.118,25.94,4,4.198,0,0,69.231,48,48,81,117,0,47.83%
Emdiel,62.308,15.479,25.49,1,4.494,0,0,62.308,67,57,81,130,10,38.10%
Fumiii,55.245,14.845,26.456,1,4.203,0,0,55.245,56,53,79,143,3,29.89%
Bommie,52.308,9.977,26.319,0,4.926,0,0,52.308,57,53,68,130,4,20.55%
MizukiNana,51.389,15.564,25.602,6,4.081,0,0,51.389,55,43,74,144,12,34.83%
Nephirea,50.943,18.267,25.508,6,3.611,0,0,50.943,28,28,54,106,0,33.33%
yahallonyanpasu,50,22.751,22.571,13,3.186,0,0,50,33,24,59,118,9,41.18%
Tapumomo_,47.222,12.106,27.01,1,4.412,0,0,47.222,49,43,68,144,6,26.32%
mahzrunner,47.009,14.581,25.499,3,4,0,0,47.009,30,26,55,117,4,33.33%
bamboo,46.512,14.594,24.256,3,3.875,0,0,46.512,16,16,40,86,0,34.29%
Wuffles,45.763,14.125,26.164,3,3.981,0,0,45.763,29,28,54,118,1,29.21%
ESPERMINHA,44.755,13.889,26.485,6,3.984,0,0,44.755,46,37,64,143,9,27.84%
Kryuell,42.735,14.725,25.224,8,4,0,0,42.735,32,27,50,117,5,27.06%
Konsumenci,42.361,8.736,26.036,4,4.967,0,0,42.361,26,22,61,144,4,33.05%
_Shadow,42.308,10.791,27.032,4,4.655,0,0,42.308,44,41,55,130,3,16.28%
CipherKai,41.86,10.189,26.26,2,4.389,0,0,41.86,38,31,36,86,7,10.42%
Amel,40.559,12.496,26.182,6,4.155,0,0,40.559,44,43,58,143,1,15.15%
IDeja,39.316,10.724,25.901,3,4.5,0,0,39.316,34,30,46,117,4,19.28%
Wolbachia,38.679,14.2,24.216,3,3.512,0,0,38.679,27,24,41,106,3,21.52%
HaruUrara,37.209,12.786,24.643,4,3.719,0,0,37.209,26,17,32,86,9,25.00%
MageFlameFreeze,36.111,8.771,26.818,3,4.558,0,0,36.111,33,31,52,144,2,18.92%
chaabdu92,35.043,11.481,25.852,4,4.122,0,0,35.043,40,32,41,117,8,11.69%
Heleos,34.188,5.316,27.161,0,5.35,0,0,34.188,32,28,40,117,4,14.12%
Vigard,33.333,8.266,25.062,2,4.514,0,0,33.333,39,33,37,111,6,5.56%
Kyuuuu,32.479,8.056,26.22,1,4.421,0,0,32.479,31,25,38,117,6,15.12%
