Tournament Date,Player ID,player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate,rigs,rigs hit,correct count,song count,Rigs missed,Offlist GR
2025-10-11,12,KaoriMaeda,71.318,17.543,30.297,3,4.761,0,0,71.318,52,49,92,129,3,55.84%
2025-10-17,16,yahallonyanpasu,42.991,20.524,24.098,10,3.022,0,0,42.991,41,24,46,107,17,33.33%
2025-07-20,21,PoolNoodle,82.759,21.609,28.296,8,4.108,0,0,82.759,38,35,120,145,3,79.44%
2025-09-14,21,PoolNoodle,82.569,23.504,28.897,3,3.811,0,0,82.569,26,26,90,109,0,77.11%
2025-10-17,21,PoolNoodle,76.768,29.218,27.31,8,3.592,0,0,76.768,23,21,76,99,2,72.37%
2025-09-02,24,supersmooth,46.903,12.334,28.798,4,4.038,0,0,46.903,40,36,53,113,4,23.29%
2025-09-12,24,supersmooth,54.478,10.65,29.983,3,4.74,0,0,54.478,51,48,73,134,3,30.12%
2025-09-14,34,YuriMeguri,56.25,14.51,29.862,5,4.19,0,0,56.25,42,33,63,112,9,42.86%
2025-10-17,34,YuriMeguri,70.0,22.401,28.479,5,3.935,0,0,70,35,33,77,110,2,58.67%
2025-10-17,38,Diukes,28.814,8.225,30.445,3,4.382,0,0,28.814,49,25,34,118,24,13.04%
2025-07-20,43,mkby,68.919,12.227,31.205,3,4.971,0,0,68.919,63,58,102,148,5,51.76%
2025-08-19,43,mkby,57.258,14.359,30.106,7,4.338,0,0,57.258,45,40,71,124,5,39.24%
2025-10-17,49,BlackCondor,27.273,9.524,27.964,3,3.967,0,0,27.273,60,20,30,110,40,20.00%
2025-07-20,52,Thaleko,71.304,16.295,28.594,7,4.537,0,0,71.304,49,46,82,115,3,54.55%
2025-09-07,52,Thaleko,71.053,19.452,29.178,5,3.988,0,0,71.053,42,39,81,114,3,58.33%
2025-09-12,52,Thaleko,72.152,18.182,30.296,10,4.237,0,0,72.152,71,63,114,158,8,58.62%
2025-09-25,52,Thaleko,76.522,18.935,29.798,4,4.227,0,0,76.522,53,51,88,115,2,59.68%
2025-10-26,52,Thaleko,72.951,21.031,30.026,5,4.067,0,0,72.951,53,50,89,122,3,56.52%
2025-09-07,55,sumii,57.018,13.151,30.317,5,4.369,0,0,57.018,34,33,65,114,1,40.00%
2025-09-14,55,sumii,40.659,10.445,29.38,3,4.108,0,0,40.659,17,15,37,91,2,29.73%
2025-10-17,55,xieliann,42.657,13.489,29.626,4,4.098,0,0,42.657,35,30,61,143,5,28.70%
2025-10-11,58,2486,40.0,11.314,29.454,4,4.595,0,0,40,23,17,42,105,6,30.49%
2025-07-20,59,neoburnz,70.064,13.978,31.359,4,4.655,0,0,70.064,66,62,110,157,4,52.75%
2025-09-07,59,neoburnz,65.649,13.925,30.154,4,4.535,0,0,65.649,55,49,86,131,6,48.68%
2025-10-11,59,neoburnz,66.667,17.098,30.597,3,4.479,0,0,66.667,63,55,94,141,8,50.00%
2025-10-26,59,neoburnz,69.281,19.339,30.011,8,4.236,0,0,69.281,74,67,106,153,7,49.37%
2025-09-12,66,bamboo,55.14,13.365,30.225,3,4.492,0,0,55.14,27,27,59,107,0,40.00%
2025-09-07,69,Jube,57.252,12.704,29.684,5,4.533,0,0,57.252,43,39,75,131,4,40.91%
2025-09-07,72,ruuka,53.704,11.12,28.707,1,4.586,0,0,53.704,54,39,58,108,15,35.19%
2025-08-19,77,TomoriKusunoki,66.412,15.577,31.138,4,4.287,0,0,66.412,60,53,87,131,7,47.89%
2025-09-12,77,TomoriKusunoki,71.711,15.343,30.803,7,4.569,0,0,71.711,72,69,109,152,3,50.00%
2025-10-17,77,TomoriKusunoki,64.8,20.296,28.914,3,3.963,0,0,64.8,58,52,81,125,6,43.28%
2025-08-19,79,JuliAless64,57.759,16.048,30.112,3,3.896,0,0,57.759,60,54,67,116,6,23.21%
2025-09-02,79,JuliAless64,59.701,13.131,30.87,2,4.35,0,0,59.701,70,63,80,134,7,26.56%
2025-09-12,79,JuliAless64,59.259,12.557,30.767,7,4.775,0,0,59.259,77,64,80,135,13,27.59%
2025-09-25,79,JuliAless64,53.043,9.716,31.253,1,4.836,0,0,53.043,52,41,61,115,11,31.75%
2025-10-17,79,JuliAless64,63.78,18.485,31.462,4,4.16,0,0,63.78,67,58,81,127,9,38.33%
2025-09-02,81,Pile,46.309,9.707,32.038,5,4.725,0,0,46.309,77,52,69,149,25,23.61%
2025-10-11,82,ShiinaMahiru,57.547,15.76,30.844,5,4.672,0,0,57.547,36,31,61,106,5,42.86%
2025-10-26,82,ShiinaMahiru,75.591,16.887,32.365,4,4.677,0,0,75.591,47,43,96,127,4,66.25%
2025-09-12,88,Emdiel,54.43,11.43,30.674,3,4.57,0,0,54.43,87,73,86,158,14,18.31%
2025-09-02,91,Baikinman,46.903,11.496,30.809,2,4.094,0,0,46.903,56,41,53,113,15,21.05%
2025-09-25,91,Baikinman,43.902,8.435,30.391,0,4.759,0,0,43.902,73,44,54,123,29,20.00%
2025-10-11,91,Baikinman,41.509,7.196,31.698,0,5.341,0,0,41.509,70,40,44,106,30,11.11%
2025-10-17,91,Baikinman,45.038,11.576,30.85,5,4.661,0,0,45.038,80,50,59,131,30,17.65%
2025-10-11,97,chaabdu92,38.06,7.236,32.769,2,5.255,0,0,38.06,47,40,51,134,7,12.64%
2025-10-26,97,chaabdu92,40.336,9.827,28.693,3,4.542,0,0,40.336,40,32,48,119,8,20.25%
2025-09-12,100,753,55.97,10.426,30.927,1,4.76,0,0,55.97,81,57,75,134,24,33.96%
2025-10-17,100,753,52.727,16.248,29.952,4,4.155,0,0,52.727,60,44,58,110,16,28.00%
2025-08-19,104,PLAY_MORE,51.908,12.042,29.008,5,4.485,0,0,51.908,45,41,68,131,4,31.40%
2025-09-14,104,ASSMODE,40.659,10.903,28.629,3,3.946,0,0,40.659,24,19,37,91,5,26.87%
2025-09-25,104,ASSMODE,52.381,14.277,29.42,5,4,0,0,52.381,36,30,55,105,6,36.23%
2025-09-02,109,Ephemeral,66.901,12.964,30.762,4,4.705,0,0,66.901,47,44,95,142,3,53.68%
2025-09-12,109,Ephemeral,63.704,11.122,30.853,2,4.965,0,0,63.704,53,47,86,135,6,47.56%
2025-09-14,109,Ephemeral,64.912,14.607,30.931,4,4.432,0,0,64.912,33,32,74,114,1,51.85%
2025-09-25,109,Ephemeral,52.846,11.161,31.411,3,4.662,0,0,52.846,37,33,65,123,4,37.21%
2025-10-17,109,Ephemeral,59.459,14.621,32.724,2,4.47,0,0,59.459,32,29,66,111,3,46.84%
2025-09-07,113,Maki04,43.878,9.714,30.647,2,4.442,0,0,43.878,33,27,43,98,6,24.62%
2025-10-11,114,Mayottatoki,50.0,11.832,30.692,3,4.754,0,0,50,49,38,61,122,11,31.51%
2025-08-19,115,SaikiChan,45.614,13.803,29.101,6,3.981,0,0,45.614,28,26,52,114,2,30.23%
2025-09-25,115,SaikiChan,38.095,10.063,30.093,2,4.05,0,0,38.095,18,18,40,105,0,25.29%
2025-10-17,115,SaikiChan,43.925,15.091,29.435,5,3.894,0,0,43.925,30,28,47,107,2,24.68%
2025-08-19,119,Fumiii,60.63,14.121,31.453,3,4.299,0,0,60.63,62,59,77,127,3,27.69%
2025-09-02,119,Fumiii,67.407,13.895,30.835,3,4.604,0,0,67.407,73,67,91,135,6,38.71%
2025-09-12,119,Fumiii,62.222,11.235,30.346,2,4.917,0,0,62.222,68,61,84,135,7,34.33%
2025-09-25,119,Fumiii,54.369,13.015,28.517,4,4.5,0,0,54.369,47,43,56,103,4,23.21%
2025-10-11,119,Fumiii,63.529,13.261,31.585,3,4.972,0,0,63.529,91,86,108,170,5,27.85%
2025-10-17,119,Fumiii,60.123,14.194,28.955,1,4.449,0,0,60.123,86,78,98,163,8,25.97%
2025-10-11,120,HiHi,58.209,13.912,32.248,5,4.795,0,0,58.209,46,43,78,134,3,39.77%
2025-07-20,121,Janoxx,17.797,5.275,25.78,3,3.952,0,0,17.797,12,8,21,118,4,12.26%
2025-08-19,121,Janoxx,23.14,9.332,26.253,8,3.429,0,0,23.14,16,13,28,121,3,14.29%
