# Full PV List:
ID: 16 | yahallonyanpasu played like a 91.5. (Current rank 91.5, Δ0.0)
ID: 34 | YuriMeguri played like a 124.93. (Current rank 124.93, Δ0.0)
ID: 58 | Lika played like a 120.71. (Current rank 120.71, Δ0.0)
ID: 59 | neoburnz played like a 120.35. (Current rank 120.35, Δ0.0)
ID: 77 | neptune played like a 113.34. (Current rank 113.34, Δ0.0)
ID: 79 | JuliAless64 played like a 97.21. (Current rank 97.21, Δ0.0)
ID: 82 | ShiinaMahiru played like a 113.0. (Current rank 113.0, Δ0.0)
ID: 119 | Fumiii played like a 115.26. (Current rank 115.26, Δ0.0)
ID: 121 | Janoxx played like a 86.12. (Current rank 86.12, Δ0.0)
ID: 143 | mahzrunner played like a 101.69. (Current rank 101.69, Δ0.0)
ID: 149 | Zozo played like a 105.62. (Current rank 105.62, Δ0.0)
ID: 150 | Bommie played like a 104.42. (Current rank 104.42, Δ0.0)
ID: 164 | IAmAsianNoob played like a 81.79. (Current rank 81.79, Δ0.0)
ID: 171 | JustAWeirdo played like a 73.7. (Current rank 73.7, Δ0.0)
ID: 174 | TateyamaAyano played like a 68.08. (Current rank 68.08, Δ0.0)
ID: 176 | Spitzell played like a 103.14. (Current rank 103.14, Δ0.0)
ID: 191 | redeyes played like a 98.41. (Current rank 98.41, Δ0.0)
ID: 205 | TBDhater played like a 96.51. (Current rank 96.51, Δ0.0)
ID: 217 | ShelterRin played like a 103.11. (Current rank 103.11, Δ0.0)
ID: 244 | KNotAnyMore played like a 93.72. (Current rank 93.72, Δ0.0)
ID: 247 | Shadow played like a 96.41. (Current rank 96.41, Δ0.0)
ID: 259 | Patoche49 played like a 79.73. (Current rank 79.73, Δ0.0)
ID: 274 | Mami played like a 90.22. (Current rank 90.22, Δ0.0)
ID: 277 | chemist played like a 80.86. (Current rank 80.86, Δ0.0)
ID: 322 | Catge played like a 82.23. (Current rank 82.23, Δ0.0)
ID: 326 | pomo played like a 91.86. (Current rank 91.86, Δ0.0)
ID: 334 | 2skr played like a 80.27. (Current rank 80.27, Δ0.0)
ID: 335 | xeyz played like a 65.83. (Current rank 65.83, Δ0.0)
ID: 353 | Solosion played like a 97.27. (Current rank 97.27, Δ0.0)
ID: 356 | Isekaijoucho played like a 92.38. (Current rank 92.38, Δ0.0)
ID: 357 | chommy played like a 89.57. (Current rank 89.57, Δ0.0)
ID: 358 | mangoss played like a 103.05. (Current rank 103.05, Δ0.0)
ID: 367 | PotassiumF played like a 78.6. (Current rank 78.6, Δ0.0)
ID: 393 | Kyuuuu played like a 80.16. (Current rank 80.16, Δ0.0)
ID: 399 | ElJuanchi played like a 69.8. (Current rank 69.8, Δ0.0)
ID: 405 | anicomi played like a 56.7. (Current rank 56.7, Δ0.0)
ID: 417 | YellowRose played like a 81.97. (Current rank 81.97, Δ0.0)
ID: 419 | keysha18 played like a 81.64. (Current rank 81.64, Δ0.0)
ID: 431 | Luna played like a 67.56. (Current rank 67.56, Δ0.0)
ID: 451 | AkatsukiKirika played like a 76.51. (Current rank 76.51, Δ0.0)
ID: 466 | metak played like a 67.67. (Current rank 67.67, Δ0.0)
ID: 489 | zomg played like a 71.08. (Current rank 71.08, Δ0.0)
ID: 493 | chiabobo played like a 37.25. (Current rank 37.25, Δ0.0)
ID: 495 | AppuruPai played like a 63.36. (Current rank 63.36, Δ0.0)
ID: 505 | MaikaSasaki played like a 90.8. (Current rank 90.8, Δ0.0)

# MVPS:
:first_place: yahallonyanpasu. Played like a 91.5 rank (Current Rank: 91.5, Δ0.0)
:second_place: ID: YuriMeguri. Played like a 124.93 rank (Current Rank: 124.93, Δ0.0)
:third_place: ID: Lika. Played like a 120.71 rank (Current Rank: 120.71, Δ0.0)
