# Full PV List:
ID: 31 | SakurabaRola played like a 97.02. (Current rank 97.02, Δ0.0)
ID: 81 | Pile played like a 101.69. (Current rank 101.69, Δ0.0)
ID: 82 | ShiinaMahiru played like a 75.54. (Current rank 75.54, Δ0.0)
ID: 83 | Milar played like a 131.94. (Current rank 131.94, Δ0.0)
ID: 84 | Alkios played like a 137.11. (Current rank 137.11, Δ0.0)
ID: 97 | chaabdu92 played like a 96.92. (Current rank 96.92, Δ0.0)
ID: 106 | cafezinho played like a 76.34. (Current rank 76.34, Δ0.0)
ID: 113 | Maki04 played like a 95.13. (Current rank 95.13, Δ0.0)
ID: 115 | Saiki played like a 82.89. (Current rank 82.89, Δ0.0)
ID: 123 | Konsumenci played like a 86.71. (Current rank 86.71, Δ0.0)
ID: 143 | mahzrunner played like a 70.37. (Current rank 70.37, Δ0.0)
ID: 155 | Unborned played like a 71.96. (Current rank 71.96, Δ0.0)
ID: 177 | oh95 played like a 90.61. (Current rank 90.61, Δ0.0)
ID: 181 | Yolowolf75 played like a 94.33. (Current rank 94.33, Δ0.0)
ID: 228 | Dry played like a 105.1. (Current rank 105.1, Δ0.0)
ID: 325 | Swapin played like a 80.95. (Current rank 80.95, Δ0.0)
ID: 327 | Flato played like a 100.16. (Current rank 100.16, Δ0.0)
ID: 344 | Naizuri played like a 78.36. (Current rank 78.36, Δ0.0)
ID: 368 | arpia97 played like a 67.51. (Current rank 67.51, Δ0.0)
ID: 370 | Andrey_K played like a 68.71. (Current rank 68.71, Δ0.0)
ID: 382 | Shiku played like a 82.83. (Current rank 82.83, Δ0.0)
ID: 386 | Coglionedown played like a 93.85. (Current rank 93.85, Δ0.0)
ID: 405 | anicomi played like a 66.04. (Current rank 66.04, Δ0.0)
ID: 422 | MapleSyyrup played like a 66.06. (Current rank 66.06, Δ0.0)
ID: 455 | l_elf10 played like a 85.27. (Current rank 85.27, Δ0.0)
ID: 477 | FurLain played like a 72.55. (Current rank 72.55, Δ0.0)
ID: 490 | fanna played like a 145.19. (Current rank 145.19, Δ0.0)
ID: 493 | chiabobo played like a 55.93. (Current rank 55.93, Δ0.0)
ID: 511 | nekko_khayal played like a 59.29. (Current rank 59.29, Δ0.0)

# MVPS:
:first_place: SakurabaRola. Played like a 97.02 rank (Current Rank: 97.02, Δ0.0)
:second_place: ID: Pile. Played like a 101.69 rank (Current Rank: 101.69, Δ0.0)
:third_place: ID: ShiinaMahiru. Played like a 75.54 rank (Current Rank: 75.54, Δ0.0)
