Tournament Date,Player ID,player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
2025-06-01,91,Baikinman,73.438,19.561,28.348,6,4.34,73.438,0,0
2025-06-08,91,Baikinman,71.622,19.534,28.041,7,4.132,71.622,0,0
2025-06-15,91,Baikinman,76.812,22.778,27.757,4,3.717,76.812,0,0
2025-06-23,91,Baikinman,74.138,26.335,25.449,11,3.628,74.138,0,0
2025-06-24,91,Baikinman,70.37,24.694,26.592,15,3.561,70.37,0,0
2025-06-29,91,Baikinman,72.581,25.443,26.986,10,3.911,72.581,0,0
2025-07-06,91,Baikinman,74.38,22.749,27.705,8,3.756,74.38,0,0
2025-07-20,91,Baikinman,80.488,28.735,25.318,10,3.707,80.488,,
2025-07-24,91,Baikinman,69.697,25.014,26.2,10,3.58,69.697,,
2025-07-28,91,Kyshua,70.492,23.796,26.095,10,3.663,70.492,,
2025-08-03,91,Baikinman,81.308,27.73,27.64,9,3.575,81.308,0,0
2025-06-01,115,SaikiChan,29.577,4.565,32.942,0,5.238,29.577,0,0
2025-06-08,115,SaikiChan,26.797,5.356,31.188,0,4.805,26.797,0,0
2025-06-15,115,SaikiChan,33.951,5.086,31.719,0,5.091,33.951,0,0
2025-06-23,115,SaikiChan,31.897,5.571,31.821,0,5.027,31.897,0,0
2025-06-29,115,SaikiChan,26.923,5.727,31.168,1,4.857,26.923,0,0
2025-07-06,115,SaikiChan,22.901,4.885,31.142,1,4.567,22.901,0,0
2025-07-13,115,SaikiChan,21.008,4.625,30.241,2,4.84,21.008,,
2025-07-20,115,SaikiChan,29.268,5.031,30.732,0,5.056,29.268,,
2025-07-28,115,SaikiChan,30.088,8.763,30.268,5,4.118,30.088,,
2025-08-03,115,SaikiChan,25.781,7.76,29.738,3,4.03,25.781,0,0
2025-06-01,121,Janoxx,36.134,7.346,27.493,0,4.651,36.134,0,0
2025-06-08,121,Janoxx,34.646,5.893,29.717,0,5.091,34.646,0,0
2025-06-15,121,Janoxx,28.261,6.469,27.516,1,4.282,28.261,0,0
2025-06-23,121,Janoxx,25.197,5.305,26.729,1,4.656,25.197,0,0
2025-06-29,121,Janoxx,33.871,8.041,26.73,0,4.571,33.871,0,0
