Tournament Date,Player ID,player name,guess rate,usefulness,avg diff,erigs,avg /8 correct,OP guess rate,ED guess rate,IN guess rate
2025-07-06,1,Dummy_,18.182,3.022,31.328,0,5.182,18.182,0,0
2025-08-30,1,Dummy_,17.164,2.058,33.097,0,5.348,17.164,0,0
2025-03-12,4,AKl,83.761,29.726,23.56,24,2.745,83.761,0,0
2025-04-28,4,poyoyoyoyo,83.75,29.681,27.057,18,3.075,83.75,0,0
2025-05-18,4,poyoyoyoyo,85.321,29.519,26.302,9,3.645,85.321,0,0
2025-06-01,4,poyoyoyoyo,84.762,28.001,27.167,7,3.775,84.762,0,0
2025-06-15,4,AKl,78.448,27.852,26.041,14,3.44,78.448,0,0
2025-06-23,4,AKl,81.731,29.239,24.017,5,3.341,81.731,0,0
2025-06-29,4,poyoyoyoyo,79.464,31.146,24.554,8,3.371,79.464,0,0
2025-07-20,4,AKl,86.087,31.214,26.112,12,3.717,86.087,,
2025-07-24,4,poyoyoyoyo,82.292,30.981,26.024,14,3.633,82.292,,
2025-04-15,8,Hejsan,73.984,20.937,26.207,9,4,73.984,0,0
2025-05-10,8,Hejsan,68.269,29.218,25.847,16,3.549,68.269,0,0
2025-05-18,8,Hejsan,77.273,26.151,27.043,9,3.755,77.273,0,0
2025-05-26,8,Hejsan,75.333,26.809,27.01,12,3.858,75.333,0,0
2025-06-08,8,Hejsan,74.51,22.539,27.052,8,3.965,74.51,0,0
2025-06-29,8,Hejsan,82.609,27.784,27.189,9,3.905,82.609,0,0
2025-08-30,14,ArronChu,62.5,18.238,28.394,8,3.893,62.5,0,0
2025-04-15,16,yahallonyanpasu,65.873,16.282,25.879,3,4.193,65.873,0,0
2025-05-18,17,gro,33.333,10.27,25.746,4,4,33.333,0,0
2025-06-23,17,Kripparrian,37.5,9.034,24.789,0,4.231,37.5,0,0
2025-07-06,17,gro,43.511,12.933,26.291,5,3.825,43.511,0,0
2025-07-20,17,gro,47.573,14.336,26.504,5,4.327,47.573,,
2025-07-24,17,gro,49.558,16.878,25.439,5,3.625,49.558,,
2025-08-03,17,gro,49.6,12.4,27.31,0,4.081,49.6,0,0
2025-08-10,17,gro,48.077,14.573,24.87,4,3.84,48.077,,
2025-05-04,18,GyroInmobile,66.929,17.157,31.053,9,4.141,66.929,0,0
2025-05-18,18,GyroInmobile,50.505,13.201,29.793,3,4.32,50.505,0,0
2025-04-15,20,kar72,50.515,10.807,29.073,0,4.224,50.515,0,0
2025-05-04,20,kar72,50.704,12.624,29.831,4,4.236,50.704,0,0
2025-05-18,20,kkura_,50.0,12.636,28.777,0,4.258,50,0,0
2025-06-08,20,kkura_,62.838,14.088,30.312,3,4.43,62.838,0,0
2025-06-15,20,kkura_,46.721,10.273,30.535,0,4.316,46.721,0,0
2025-08-16,20,kar72,56.452,13.046,29.153,2,4.171,56.452,0,0
2025-06-01,21,PoolNoodle,58.824,12.508,28.237,1,4.543,58.824,0,0
2025-06-08,21,PoolNoodle,60.14,14.223,29.589,3,4.453,60.14,0,0
2025-07-24,21,PoolNoodle,60.331,11.839,30.099,1,4.849,60.331,,
2025-07-28,21,PoolNoodle,47.706,12.046,32.196,2,4.231,47.706,,
2025-08-16,21,PoolNoodle,57.353,14.301,30.712,2,3.962,57.353,0,0
2025-08-17,21,PoolNoodle,57.143,15.416,30.678,5,3.972,57.143,0,0
2025-04-15,23,Shuuka,44.086,11.968,28.175,2,4.024,44.086,0,0
2025-04-21,23,Shuuka,53.077,12.683,29.483,4,4.406,53.077,0,0
2025-05-04,23,Shuuka,52.632,12.89,28.63,1,4.2,52.632,0,0
2025-05-26,23,Shuuka,43.478,11.32,27.24,4,4.371,43.478,0,0
2025-06-01,31,CarbonatedLove,57.031,11.907,30.987,3,4.808,57.031,0,0
2025-07-20,31,CarbonatedLove,51.456,12.803,29.615,2,4.528,51.456,,
2025-03-12,34,YuriMeguri,78.495,23.981,24.315,5,2.973,78.495,0,0
2025-06-01,38,Diukes,48.148,11.375,28.966,4,4.677,48.148,0,0
2025-06-08,38,Diukes,52.318,13.722,28.127,6,4.392,52.318,0,0
2025-08-17,38,Diukes,43.293,11.333,29.862,5,4.056,43.293,0,0
2025-08-24,38,Diukes,47.967,11.71,29.384,4,4.085,47.967,0,0
2025-09-07,38,Diukes,49.495,14.56,29.219,4,4.143,49.495,0,0
2025-05-18,41,badatlife,41.667,8.679,30.899,1,4.745,41.667,0,0
2025-07-28,41,badatlife,47.518,11.16,28.213,5,4.478,47.518,,
2025-09-07,41,badatlife,51.282,12.737,29.756,1,4.433,51.282,0,0
2025-04-15,43,mkby,38.462,8.739,26.518,2,4.525,38.462,0,0
2025-06-29,43,mkby,46.154,9.063,28.483,1,4.95,46.154,0,0
2025-07-13,43,mkby,45.652,15.806,27.124,7,3.595,45.652,,
2025-07-20,43,mkby,45.652,11.306,28.971,1,4.476,45.652,,
2025-08-03,43,mkby,52.381,13.443,30.293,6,4.221,52.381,0,0
2025-08-10,43,mkby,56.452,13.958,31.088,2,4.2,56.452,,
2025-09-07,43,mkby,51.961,16.176,28.058,1,3.962,51.961,0,0
2025-04-15,45,Anoru_,54.206,11.778,30.766,3,4.483,54.206,0,0
2025-05-10,45,Anoru_,55.455,14.553,31.099,1,4.344,55.455,0,0
2025-08-03,45,Anoru_,49.194,10.866,31.244,1,4.328,49.194,0,0
2025-08-24,45,Anoru_,48.696,10.618,33.045,3,4.232,48.696,0,0
2025-05-18,46,AkihaPitsSniffer,41.176,10.242,26.64,1,4.31,41.176,0,0
2025-04-15,47,Rissa,30.928,7.818,26.719,2,4,30.928,0,0
2025-05-04,47,Rissa,33.333,7.305,31.083,2,4.514,33.333,0,0
2025-05-18,47,Rissa,28.283,7.353,31.585,3,4.536,28.283,0,0
2025-04-15,49,BeakoLovely,75.61,24.61,28.395,11,3.919,75.61,0,0
2025-05-18,49,BlackCondor,81.308,35.173,24.803,18,3.184,81.308,0,0
2025-06-01,49,BeakoLovely,75.54,23.618,26.855,8,3.962,75.54,0,0
2025-06-08,49,BlackCondor,83.465,27.88,26.283,11,3.811,83.465,0,0
2025-06-15,49,BlackCondor,80.864,21.937,28.846,5,3.992,80.864,0,0
2025-06-23,49,BlackCondor,84.252,33.998,25.553,21,3.252,84.252,0,0
2025-07-13,49,BlackCondor,84.848,29.54,26.549,8,3.417,84.848,,
2025-08-03,49,BlackCondor,72.059,26.881,26.073,11,3.357,72.059,0,0
2025-08-10,49,BlackCondor,88.0,33.704,25.961,13,3.239,88,,
2025-08-16,49,BlackCondor,81.579,24.006,28.874,4,3.613,81.579,0,0
2025-08-20,49,BlackCondor,86.923,37.001,26.899,17,3.124,86.923,0,0
2025-08-24,49,BlackCondor,82.243,30.384,25.939,18,3.023,82.243,0,0
2025-09-03,49,BlackCondor,89.796,31.996,27.482,10,3.795,89.796,0,0
2025-04-15,52,Thaleko,55.725,11.521,29.105,1,4.685,55.725,0,0
2025-04-21,52,Thaleko,53.901,13.245,30.696,3,4.263,53.901,0,0
2025-06-15,52,Thaleko,52.586,11.971,29.444,1,4.246,52.586,0,0
2025-06-23,52,Thaleko,50.442,12.436,28.96,3,4.263,50.442,0,0
2025-06-29,52,Thaleko,57.692,13.357,29.355,1,4.667,57.692,0,0
2025-07-28,55,xieliann,51.095,14.779,25.712,5,3.986,51.095,,
2025-08-20,55,sumii,61.702,23.082,28.256,9,3.741,61.702,0,0
2025-08-17,56,Kazaseno,40.0,9.904,30.359,4,4.308,40,0,0
2025-08-24,56,Kazaseno,38.583,9.596,29.667,3,4.041,38.583,0,0
2025-05-04,59,neoburnz,40.714,6.824,32.83,1,5.035,40.714,0,0
2025-06-01,59,neoburnz,42.446,7.581,30.917,0,5.119,42.446,0,0
2025-07-24,59,neoburnz,49.038,9.79,29.969,2,4.98,49.038,,
2025-07-28,59,neoburnz,52.632,11.268,29.601,3,4.5,52.632,,
2025-09-07,59,neoburnz,48.039,13.844,29.624,1,4.102,48.039,0,0
2025-05-10,61,PulseVorteX,47.525,13.582,26.95,3,4.396,47.525,0,0
2025-04-15,64,Yokipi,26.829,3.274,35.503,0,5.591,26.829,0,0
2025-04-21,64,Yokipi,29.231,3.61,33.607,0,5.447,29.231,0,0
2025-04-28,64,Yokipi,25.424,3.455,33.833,1,4.833,25.424,0,0
2025-05-26,64,Yokipi,20.93,3.808,35.028,3,5.528,20.93,0,0
2025-06-15,64,Yokipi,18.333,2.056,34.84,0,5.727,18.333,0,0
2025-06-24,64,Yokipi,29.63,4.38,34.043,0,5.188,29.63,0,0
2025-06-29,64,Yokipi,25.0,3.314,34.435,0,5.71,25,0,0
2025-08-24,64,Yokipi,31.967,4.811,32.137,0,4.769,31.967,0,0
2025-06-29,65,Baguett,64.423,18.613,29.455,4,4.209,64.423,0,0
2025-08-16,65,Baguett,47.656,13.803,29.307,4,3.672,47.656,0,0
2025-05-10,70,MahiruShiina,28.319,5.257,32.221,0,4.969,28.319,0,0
2025-03-12,76,comfv,81.818,25.721,24.524,12,3.069,81.818,0,0
2025-08-03,76,comfv,80.8,27.763,26.841,13,3.525,80.8,0,0
2025-08-16,76,comfv,86.364,30.379,27.819,17,3.347,86.364,0,0
2025-08-20,76,comfv,85.455,33.31,28.014,13,3.532,85.455,0,0
2025-08-24,76,comfv,87.705,29.371,26.958,14,3.299,87.705,0,0
2025-09-03,76,comfv,90.058,34.826,26.542,9,3.636,90.058,0,0
2025-03-12,79,JuliAless64,29.915,5.357,30.565,0,4.086,29.915,0,0
2025-05-18,79,JuliAless64,37.374,8.05,32.421,1,4.703,37.374,0,0
2025-05-26,79,JuliAless64,39.227,7.921,30.285,3,4.958,39.227,0,0
2025-06-01,79,JuliAless64,41.007,7.346,32.544,0,5.018,41.007,0,0
2025-06-08,79,JuliAless64,46.154,9.135,31.38,3,4.931,46.154,0,0
2025-06-24,79,JuliAless64,39.062,7.271,31.635,1,4.78,39.062,0,0
2025-08-03,79,JuliAless64,45.161,9.595,32.673,1,4.429,45.161,0,0
2025-08-20,79,JuliAless64,38.571,5.786,33.614,2,5.444,38.571,0,0
2025-07-24,80,moosepi,52.893,9.296,32.197,1,5.062,52.893,,
2025-04-15,81,Pile,47.561,8.774,33.166,0,4.949,47.561,0,0
2025-06-08,81,Pile,45.033,9.947,30.587,3,4.75,45.033,0,0
2025-07-20,81,OnlyAiM,42.276,9.597,29.301,0,4.519,42.276,,
2025-07-28,81,Pile,48.936,13.004,29.133,5,4.203,48.936,,
2025-08-24,81,Pile,43.902,12.728,29.617,9,3.815,43.902,0,0
2025-09-07,81,Pile,48.718,13.664,31.309,3,4.316,48.718,0,0
2025-03-12,83,FaLiLV,51.2,13.733,26.272,8,3.5,51.2,0,0
2025-04-15,83,FaLiLV,55.67,16.664,26.803,6,3.722,55.67,0,0
2025-04-21,83,FaLiLV,64.228,16.756,29.038,5,4.228,64.228,0,0
2025-04-28,83,FaLiLV,57.353,16.771,27.842,11,3.333,57.353,0,0
2025-05-04,83,FaLiLV,57.857,16.417,28.607,11,4.173,57.857,0,0
2025-05-10,83,FaLiLV,51.24,12.496,27.352,2,4.565,51.24,0,0
2025-05-18,83,FaLiLV,66.667,20.478,28.912,4,3.889,66.667,0,0
2025-05-26,83,FaLiLV,56.977,15.458,28.786,4,4.347,56.977,0,0
2025-06-01,83,FaLiLV,60.544,13.695,30.424,4,4.573,60.544,0,0
2025-06-08,83,FaLiLV,64.748,15.571,26.734,1,4.378,64.748,0,0
2025-06-23,83,FaLiLV,61.6,17.389,27.982,4,4.039,61.6,0,0
2025-06-29,83,FaLiLV,59.854,15.538,26.843,2,4.476,59.854,0,0
2025-07-06,83,FaLiLV,65.854,17.762,29.018,7,4.086,65.854,0,0
2025-07-13,83,FaLiLV,65.546,21.343,28.937,10,3.744,65.546,,
2025-07-20,83,FaLiLV,57.759,16.93,28.867,3,4.164,57.759,,
2025-08-03,83,GabrielaRobin,69.697,17.816,29.901,5,4.13,69.697,0,0
2025-08-10,83,GabrielaRobin,59.292,16.177,27.622,2,4.045,59.292,,
2025-08-16,83,GabrielaRobin,66.327,21.888,27.844,7,3.415,66.327,0,0
2025-08-30,83,GabrielaRobin,66.667,18.71,29.58,9,3.946,66.667,0,0
2025-09-07,83,GabrielaRobin,64.167,19.942,28.72,5,4,64.167,0,0
2025-04-21,84,Alkios,44.0,12.646,28.723,2,3.818,44,0,0
2025-04-28,84,Alkios,38.776,11.406,26.113,6,3.447,38.776,0,0
2025-05-04,84,Alkios,55.118,11.43,30.042,0,4.486,55.118,0,0
2025-05-10,84,Alkios,46.094,11.783,28.692,2,4.373,46.094,0,0
2025-05-18,84,Alkios,39.45,9.506,29.716,2,4.395,39.45,0,0
2025-06-01,84,Alkios,42.857,8.862,30.972,4,4.857,42.857,0,0
2025-06-08,84,Alkios,44.444,8.375,30.362,0,4.838,44.444,0,0
2025-06-23,84,Alkios,42.276,11.107,28.156,5,4.423,42.276,0,0
2025-06-29,84,Alkios,42.336,7.511,27.841,0,5.121,42.336,0,0
2025-07-13,84,Alkios,42.268,14.644,27.341,5,3.512,42.268,,
2025-07-20,84,Alkios,43.478,11.534,27.708,2,4.425,43.478,,
2025-07-28,84,Alkios,52.212,14.279,28.467,5,4.051,52.212,,
2025-08-03,84,Alkios,45.455,8.57,29.662,0,4.617,45.455,0,0
2025-08-10,84,Alkios,51.471,11.631,29.874,2,4.371,51.471,,
2025-08-16,84,Alkios,57.025,15.522,29.015,9,4.116,57.025,0,0
2025-08-17,84,Alkios,50.0,14.883,29.205,9,3.756,50,0,0
2025-08-24,84,Alkios,58.065,16.335,29.105,8,3.819,58.065,0,0
2025-08-30,84,Alkios,50.0,15.426,27.805,4,3.736,50,0,0
2025-09-07,84,Alkios,56.881,18.475,29.618,7,4.016,56.881,0,0
2025-03-12,85,AnimeroD,36.697,8.904,26.197,2,3.675,36.697,0,0
2025-07-24,85,AnimeroD,38.843,8.092,30.227,4,5.021,38.843,,
2025-08-20,85,AnimeroD,32.955,8.794,29.181,2,4.379,32.955,0,0
2025-05-04,88,Emdiel,33.571,5.38,34.484,1,5.106,33.571,0,0
2025-03-12,90,Kenzou_Tenma,34.409,8.394,25.789,1,3.469,34.409,0,0
2025-04-15,90,Kenzou_Tenma,33.654,7.306,27.218,2,4.657,33.654,0,0
2025-04-21,90,Kenzou_Tenma,36.22,6.652,28.507,0,4.804,36.22,0,0
2025-05-10,90,Kenzou_Tenma,36.719,8.977,26.861,1,4.489,36.719,0,0
2025-07-13,90,Kenzou_Tenma,32.143,7.005,30.023,0,4.528,32.143,,
2025-07-28,90,Kenzou_Tenma,34.426,7.321,30.591,1,4.619,34.426,,
2025-08-03,90,Kenzou_Tenma,34.694,7.377,31.667,0,4.569,34.694,0,0
2025-09-03,90,Kenzou_Tenma,39.326,7.14,31.413,1,5.329,39.326,0,0
2025-03-12,91,Baikinman,61.856,18.597,25.683,10,3.267,61.856,0,0
2025-04-15,91,Baikinman,69.474,24.431,24.923,10,3.561,69.474,0,0
2025-04-21,91,Baikinman,75.591,22.698,27.621,9,3.958,75.591,0,0
2025-05-04,91,Baikinman,78.74,23.991,27.284,12,3.81,78.74,0,0
2025-05-10,91,Baikinman,69.027,22.51,28.617,10,4.051,69.027,0,0
2025-05-18,91,Baikinman,70.297,20.9,29.071,6,4.042,70.297,0,0
2025-05-26,91,Baikinman,66.46,21.141,26.279,5,3.897,66.46,0,0
2025-06-01,91,Baikinman,73.438,19.561,28.348,6,4.34,73.438,0,0
2025-06-08,91,Baikinman,71.622,19.534,28.041,7,4.132,71.622,0,0
2025-06-15,91,Baikinman,76.812,22.778,27.757,4,3.717,76.812,0,0
2025-06-23,91,Baikinman,74.138,26.335,25.449,11,3.628,74.138,0,0
2025-06-24,91,Baikinman,70.37,24.694,26.592,15,3.561,70.37,0,0
2025-06-29,91,Baikinman,72.581,25.443,26.986,10,3.911,72.581,0,0
2025-07-06,91,Baikinman,74.38,22.749,27.705,8,3.756,74.38,0,0
2025-07-20,91,Baikinman,80.488,28.735,25.318,10,3.707,80.488,,
2025-07-24,91,Baikinman,69.697,25.014,26.2,10,3.58,69.697,,
2025-07-28,91,Kyshua,70.492,23.796,26.095,10,3.663,70.492,,
2025-08-03,91,Baikinman,81.308,27.73,27.64,9,3.575,81.308,0,0
2025-08-10,91,Baikinman,77.206,22.971,28.457,10,3.838,77.206,,
2025-08-16,91,Baikinman,72.043,27.828,26.19,9,2.97,72.043,0,0
2025-08-17,91,Baikinman,78.125,26.284,27.523,21,3.6,78.125,0,0
2025-08-20,91,Baikinman,76.23,34.388,28.347,14,2.968,76.23,0,0
2025-08-24,91,Baikinman,81.395,29.845,26.592,20,3.171,81.395,0,0
2025-08-30,91,Baikinman,81.343,26.92,27.546,19,3.578,81.343,0,0
2025-09-03,91,Baikinman,80.899,25.871,28.094,8,4.229,80.899,0,0
2025-04-15,97,chaabdu92,36.923,6.088,30.825,1,5.062,36.923,0,0
2025-04-15,98,comete,52.672,11.971,29.836,6,4.609,52.672,0,0
2025-05-10,98,comete,55.455,15.953,28.345,1,4.148,55.455,0,0
2025-06-08,98,comete,61.151,16.834,28.481,6,4.235,61.151,0,0
2025-06-15,98,comete,61.682,17.049,30.131,4,3.955,61.682,0,0
2025-06-29,98,comete,60.577,14.861,30.082,1,4.413,60.577,0,0
2025-08-16,98,comete,57.143,16.36,30.028,3,3.656,57.143,0,0
2025-09-07,98,comete,56.757,17.109,30.977,6,4.127,56.757,0,0
2025-03-12,100,753,36.697,9.146,26.859,3,3.65,36.697,0,0
2025-04-15,100,753,46.154,7.356,31.084,0,5.017,46.154,0,0
2025-04-21,100,753,44.961,10.108,30.678,0,4.345,44.961,0,0
2025-05-10,100,753,34.127,6.504,30.351,0,4.814,34.127,0,0
2025-05-18,100,753,31.481,5.997,32.859,0,4.824,31.481,0,0
2025-06-01,100,753,45.714,10.153,30.396,3,4.667,45.714,0,0
2025-04-21,102,MoltenAshes,38.583,5.798,33.484,0,5.122,38.583,0,0
2025-08-16,102,MoltenAshes,42.647,8.693,32.74,2,4.431,42.647,0,0
2025-05-04,103,MrWolf,40.541,12.843,27.54,5,3.8,40.541,0,0
2025-05-10,103,MrWolf,45.545,11.876,27.75,3,4.587,45.545,0,0
2025-05-18,103,MrWolf,32.632,10.892,27.135,4,3.903,32.632,0,0
2025-03-12,105,Zeal_Kido,32.773,6.817,26.727,2,4.077,32.773,0,0
2025-08-10,105,Zeal_Kido,31.313,7.66,28.532,0,4.161,31.313,,
2025-04-21,106,cafezinho,35.0,8.765,33.046,1,4.257,35,0,0
2025-04-28,106,cafezinho,35.821,7.51,31.708,3,4.167,35.821,0,0
2025-05-04,106,cafezinho,37.857,6.375,33.706,1,5,37.857,0,0
2025-05-10,106,cafezinho,41.593,8.775,32.165,1,4.745,41.593,0,0
2025-05-18,106,cafezinho,27.419,5.323,32.957,0,4.824,27.419,0,0
2025-06-15,106,cafezinho,30.841,6.345,30.121,1,4.576,30.841,0,0
2025-06-24,106,cafezinho,35.294,7.054,29.984,1,4.683,35.294,0,0
2025-07-24,106,cafezinho,42.308,8.6,31.911,2,5.023,42.308,,
2025-09-03,106,Poppyjr,35.673,6.353,33.121,0,5.115,35.673,0,0
2025-06-08,109,Ephemeral,26.144,3.157,33.864,0,5.575,26.144,0,0
2025-03-12,113,Maki04,35.2,7.219,28.362,3,4.045,35.2,0,0
2025-04-15,113,Maki04,36.842,8.003,29.654,0,4.543,36.842,0,0
2025-04-28,113,Maki04,43.802,9.537,30.324,4,4.019,43.802,0,0
2025-05-10,113,Maki04,45.545,11.165,30.179,3,4.717,45.545,0,0
2025-06-15,113,Maki04,42.735,8.448,30.322,0,4.44,42.735,0,0
2025-06-23,113,Maki04,42.4,9.134,31.757,1,4.623,42.4,0,0
2025-07-13,113,Maki04,30.579,6.881,30.634,1,4.486,30.579,,
2025-07-20,113,Maki04,46.154,8.343,31.833,0,4.889,46.154,,
2025-07-24,113,Maki04,42.424,10.683,30.118,2,4.238,42.424,,
2025-07-28,113,Maki04,42.308,8.983,30.134,1,4.509,42.308,,
2025-08-20,113,Maki04,40.196,8.466,32.2,0,4.732,40.196,0,0
