Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE
2026-01-03 18:46:20,21.591,accelerator11,91.089,36.851,14,2,0,3.348,54,91.089,0,0,17,36,92,101,3,2,0
2026-01-03 18:46:20,19.486,Baikinman,80,27.096,8,2,1,3.774,42,80,0,0,17,24,84,105,3,2,0
2026-01-03 18:46:20,16.273,Alkios,65.217,19.631,2,7,0,3.893,35,65.217,0,0,7,23,75,115,2,3,0
2026-01-03 18:46:20,16.22,ArronChu,61.538,19.709,7,10,2,3.975,39,61.538,0,0,10,18,80,130,2,3,0
2026-01-03 18:46:20,17.047,Milar,61.207,18.166,4,10,0,4.127,34,61.207,0,0,5,22,71,116,1,3,1
2026-01-03 18:46:20,13.17,ChrisLefko,50.42,11.824,4,13,0,4.633,17,50.42,0,0,6,9,60,119,3,1,1
2026-01-03 18:46:20,11.87,Flato,47.059,8.889,0,13,0,4.893,14,47.059,0,0,2,3,56,119,3,1,1
2026-01-03 18:46:20,9.93,Chata,40.517,9.743,3,10,1,4.66,14,40.517,0,0,4,8,47,116,1,3,1
2026-01-03 18:46:20,10.144,l_elf10,40,8.616,2,2,1,4.762,11,40,0,0,7,1,42,105,3,2,0
2026-01-03 18:46:20,9.373,AnnaYanami,37.931,5.551,0,10,0,5.364,7,37.931,0,0,1,2,44,116,1,3,1
2026-01-03 18:46:20,10.321,chemist,37.692,7.677,2,10,1,4.939,11,37.692,0,0,4,3,49,130,2,3,0
2026-01-03 18:46:20,9.149,Shiku,36.154,6.728,0,10,2,4.936,11,36.154,0,0,3,3,47,130,2,3,0
2026-01-03 18:46:20,9.936,Saiki,36.134,9.999,5,13,3,4.465,16,36.134,0,0,8,3,43,119,3,1,1
2026-01-03 18:46:20,9.592,Hibari,34.783,6.248,0,7,1,4.85,6,34.783,0,0,1,4,40,115,2,3,0
2026-01-03 18:46:20,9.706,Swapin,31.933,4.841,0,13,0,5.316,7,31.933,0,0,2,0,38,119,3,1,1
2026-01-03 18:46:20,8.87,Kirox,30,5.219,0,10,1,5.231,10,30,0,0,2,3,39,130,2,3,0
2026-01-03 18:46:20,8.705,Naizuri,29.703,4.848,0,2,0,5.067,4,29.703,0,0,1,1,30,101,3,2,0
2026-01-03 18:46:20,9,claydoll1091,29.565,5.727,0,7,0,4.794,8,29.565,0,0,3,2,34,115,2,3,0
2026-01-03 18:46:20,9.774,Konsumenci,28.696,5.272,1,7,0,4.97,7,28.696,0,0,3,1,33,115,2,3,0
2026-01-03 18:46:20,7.632,mahzrunner,24.762,3.115,0,2,1,5.577,3,24.762,0,0,2,1,26,105,3,2,0
2026-01-03 18:46:20,8.308,Spartric,23.276,3.069,0,10,3,5.63,3,23.276,0,0,1,2,27,116,1,3,1
2026-01-03 18:46:20,7.411,Mangalodon,22.857,5.222,1,2,1,4.792,8,22.857,0,0,6,1,24,105,3,2,0
2026-01-03 18:46:20,6.953,OkitaNobu,20.792,3.72,1,2,0,5.19,3,20.792,0,0,2,0,21,101,3,2,0
2026-01-03 18:46:20,7.303,FeyFey,14.851,2.365,0,2,2,5.333,3,14.851,0,0,1,0,15,101,3,2,0
,,,,,,,,,,,,,,,,,,,
2026-01-06 20:54:30,21.676,accelerator11,84.375,35.096,19,1,0,3.25,68,84.375,0,0,22,46,108,128,1,4,0
2026-01-06 20:54:30,19.47,kishua,73.786,25.617,8,7,0,3.566,39,73.786,0,0,10,28,76,103,0,5,0
2026-01-06 20:54:30,17.141,Milar,72,21.693,7,4,0,3.933,38,72,0,0,11,18,90,125,3,2,0
2026-01-06 20:54:30,16.268,Alkios,68.908,24.98,7,5,1,3.549,48,68.908,0,0,14,27,82,119,3,2,0
2026-01-06 20:54:30,14.917,Baguett,64,23.471,7,7,0,3.422,36,64,0,0,11,18,64,100,2,3,0
2026-01-06 20:54:30,15.456,Comete,59.813,15.674,3,11,0,4.406,23,59.813,0,0,7,15,64,107,4,1,0
2026-01-06 20:54:30,14.028,kar72,56,13.787,0,8,0,4.3,29,56,0,0,5,18,70,125,3,2,0
2026-01-06 20:54:30,13.554,oh95,48.8,12.019,3,8,0,4.443,23,48.8,0,0,9,6,61,125,3,2,0
