Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Player ID
2026-01-28 15:08:23,6.0,atsui,19.118,2.151,0,5,3,6.0,3,19.118,0,0,3,0,26,136,5,1,0,1
2026-02-08 15:46:14,8.438,atsui,14.375,2.499,0,17,3,5.565,5,14.375,0,0,2,0,23,160,2,3,1,1
2026-03-13 14:22:05,79.41,atsui,12.139,21.364,1,25,7,5.19,4,12.139,0,0,2,2,21,173,1,5,0,1
2026-03-18 18:09:18,79.87,atsui,15.723,18.074,1,9,6,5.88,2,15.723,0,0,1,0,25,159,3,3,0,1
2026-02-27 22:09:28,170.0,watashiii,82.5,315.33,17,4,0,3.384,60,82.5,0,0,21,33,99,120,2,3,0,4
2026-03-18 04:23:46,164.8,watashiii,79.389,289.73,18,8,1,3.74,57,79.389,0,0,19,38,104,131,3,3,0,4
2026-02-25 19:20:10,135.0,Hejsan,57.143,130.562,3,7,1,4.67,30,57.143,0,0,5,15,88,154,2,4,0,8
2026-02-27 22:09:28,119.05,Hejsan,63.478,153.532,2,7,0,4.493,27,63.478,0,0,7,15,73,115,4,1,0,8
2026-03-02 00:26:46,120.62,Hejsan,61.257,145.79,2,8,1,4.573,35,61.257,0,0,6,22,117,191,3,3,0,8
2026-03-03 17:37:41,121.68,Hejsan,72.109,178.677,7,5,0,4.472,36,72.109,0,0,14,12,106,147,5,1,0,8
2026-03-08 16:44:21,125.75,Hejsan,60.684,167.406,6,3,0,4.268,27,60.684,0,0,10,10,71,117,4,1,0,8
2026-03-10 22:16:34,126.6,Hejsan,69.531,184.522,2,6,1,4.079,38,69.531,0,0,9,15,89,128,2,2,1,8
2026-03-19 22:19:29,138.346,Hejsan,68.868,200.092,5,6,0,4.014,31,68.868,0,0,7,17,73,106,2,3,0,8
2026-03-30 18:55:02,134.531,Hejsan,66.12,178.864,10,18,0,4.281,44,66.12,0,0,18,19,121,183,3,1,2,8
2026-04-07 18:06:49,137.842,Hejsan,71.354,151.731,4,5,1,4.971,38,71.354,0,0,9,26,137,192,2,3,1,8
2026-03-03 17:37:41,100.0,KaoriMaeda,42.857,71.601,2,5,1,5.238,11,42.857,0,0,5,4,63,147,5,1,0,12
2026-03-13 14:22:05,103.47,KaoriMaeda,44.444,60.832,0,11,0,5.172,8,44.444,0,0,2,2,64,144,4,2,0,12
2026-01-03 18:46:20,16.22,ArronChu,61.538,19.709,7,10,2,3.975,39,61.538,0,0,10,18,80,130,2,3,0,14
2026-02-08 15:46:14,16.456,ArronChu,66.447,20.664,4,11,1,4.277,39,66.447,0,0,5,20,101,152,4,1,1,14
2026-02-10 21:22:07,16.271,ArronChu,66.667,23.68,8,8,3,3.83,41,66.667,0,0,16,11,88,132,5,0,0,14
2026-03-28 18:51:08,130.53,ArronChu,69.178,221.757,12,6,1,3.822,49,69.178,0,0,18,22,101,146,4,2,0,14
2026-01-06 20:54:30,14.028,kar72,56.0,13.787,0,8,0,4.3,29,56,0,0,5,18,70,125,3,2,0,20
2026-02-04 18:43:52,14.707,kar72,52.066,12.947,2,9,0,4.762,18,52.066,0,0,4,18,63,121,2,3,0,20
2026-03-18 04:23:46,113.89,kar72,50.303,99.503,2,17,0,4.807,22,50.303,0,0,2,13,83,165,2,4,0,20
2026-03-14 18:59:28,120.0,PoolNoodle,53.077,88.38,1,7,0,5.043,12,53.077,0,0,3,5,69,130,4,1,0,21
2026-03-18 04:23:46,108.03,PoolNoodle,47.727,94.413,4,22,0,4.881,20,47.727,0,0,4,14,84,176,4,2,0,21
2026-02-23 19:02:26,140.0,Tsui,72.642,207.642,1,6,0,3.805,38,72.642,0,0,8,21,77,106,1,4,0,33
2026-01-03 18:46:20,9.0,claydoll1091,29.565,5.727,0,7,0,4.794,8,29.565,0,0,3,2,34,115,2,3,0,37
2026-04-07 18:06:49,105.0,Diukes,46.591,60.48,0,5,1,5.573,8,46.591,0,0,2,1,82,176,3,2,1,38
2026-01-23 20:50:49,13.632,koroshiya,51.961,14.723,3,4,1,4.415,21,51.961,0,0,7,8,53,102,3,2,0,41
2026-02-04 18:43:52,14.044,koroshiya,43.925,12.071,1,7,0,4.447,16,43.925,0,0,6,4,47,107,3,2,0,41
2026-02-08 15:46:14,13.431,koroshiya,46.25,14.015,3,17,0,4.392,26,46.25,0,0,7,16,74,160,2,3,1,41
2026-02-23 19:02:26,112.04,koroshiya,45.536,102.049,2,7,0,4.647,17,45.536,0,0,5,10,51,112,3,2,0,41
2026-01-09 00:54:36,10.0,Nicole,36.879,7.25,0,5,1,4.846,10,36.879,0,0,4,1,52,141,3,1,1,44
2026-03-02 00:26:46,95.69,Nicole,43.103,75.381,2,2,0,5.24,14,43.103,0,0,7,1,75,174,5,0,1,44
2026-03-10 22:16:34,103.04,Nicole,35.484,83.071,1,7,2,4.318,14,35.484,0,0,4,4,44,124,3,2,0,44
2026-03-18 04:23:46,103.25,Nicole,41.216,78.317,1,7,0,4.934,16,41.216,0,0,4,3,61,148,3,3,0,44
2026-01-23 20:50:49,13.278,LeNainDuPSG,48.039,13.596,3,4,1,4.429,19,48.039,0,0,9,5,49,102,3,2,0,45
2026-02-23 19:02:26,112.43,LeNainDuPSG,49.474,94.083,0,6,0,4.745,13,49.474,0,0,1,7,47,95,3,1,0,45
2026-02-17 14:40:09,100.0,Orfey,44.693,84.055,0,4,5,5.138,20,44.693,0,0,7,5,80,179,4,0,2,46
