Timestamp,Rank,Player name,Guess rate,Usefulness,erigs,0/8s,7/8s,avg/8,# 3/8s or below,OP guess rate,ED guess rate,IN guess rate,Lives taken,Lives saved,Total hit,Total songs,WIN,LOSE,TIE,Player ID
2026-01-28 15:08:23,6.0,atsui,19.118,2.151,0,5,3,6.0,3,19.118,0,0,3,0,26,136,5,1,0,1
2026-02-08 15:46:14,8.438,atsui,14.375,2.499,0,17,3,5.565,5,14.375,0,0,2,0,23,160,2,3,1,1
2026-01-03 18:46:20,16.22,ArronChu,61.538,19.709,7,10,2,3.975,39,61.538,0,0,10,18,80,130,2,3,0,14
2026-02-08 15:46:14,16.456,ArronChu,66.447,20.664,4,11,1,4.277,39,66.447,0,0,5,20,101,152,4,1,1,14
2026-02-10 21:22:07,16.271,ArronChu,66.667,23.68,8,8,3,3.83,41,66.667,0,0,16,11,88,132,5,0,0,14
2026-01-06 20:54:30,14.028,kar72,56.0,13.787,0,8,0,4.3,29,56,0,0,5,18,70,125,3,2,0,20
2026-02-04 18:43:52,14.707,kar72,52.066,12.947,2,9,0,4.762,18,52.066,0,0,4,18,63,121,2,3,0,20
2026-01-03 18:46:20,9.0,claydoll1091,29.565,5.727,0,7,0,4.794,8,29.565,0,0,3,2,34,115,2,3,0,37
2026-01-23 20:50:49,13.632,koroshiya,51.961,14.723,3,4,1,4.415,21,51.961,0,0,7,8,53,102,3,2,0,41
2026-02-04 18:43:52,14.044,koroshiya,43.925,12.071,1,7,0,4.447,16,43.925,0,0,6,4,47,107,3,2,0,41
2026-02-08 15:46:14,13.431,koroshiya,46.25,14.015,3,17,0,4.392,26,46.25,0,0,7,16,74,160,2,3,1,41
2026-01-09 00:54:36,10.0,Nicole,36.879,7.25,0,5,1,4.846,10,36.879,0,0,4,1,52,141,3,1,1,44
2026-01-23 20:50:49,13.278,LeNainDuPSG,48.039,13.596,3,4,1,4.429,19,48.039,0,0,9,5,49,102,3,2,0,45
2026-01-03 18:46:20,21.591,accelerator11,91.089,36.851,14,2,0,3.348,54,91.089,0,0,17,36,92,101,3,2,0,49
2026-01-06 20:54:30,21.676,accelerator11,84.375,35.096,19,1,0,3.25,68,84.375,0,0,22,46,108,128,1,4,0,49
2026-01-09 00:54:36,21.591,accelerator11,85.849,30.645,9,1,0,3.769,46,85.849,0,0,10,35,91,106,0,5,0,49
2026-01-10 19:11:59,21.591,accelerator11,83.696,31.208,11,3,0,3.558,44,83.696,0,0,13,24,77,92,2,3,0,49
2026-01-28 15:08:23,21.676,accelerator11,86.066,37.853,16,3,0,3.2,66,86.066,0,0,19,44,105,122,1,5,0,49
2026-01-30 05:07:19,21.676,accelerator11,93.137,38.067,21,3,0,3.179,59,93.137,0,0,25,34,95,102,4,2,0,49
2026-01-03 18:46:20,9.93,Chata,40.517,9.743,3,10,1,4.66,14,40.517,0,0,4,8,47,116,1,3,1,51
2026-02-08 15:46:14,12.454,Chata,42.553,11.356,1,4,1,4.4,16,42.553,0,0,5,5,60,141,4,2,0,51
2026-02-08 15:46:14,15.0,Thaleko,59.868,15.333,3,11,0,4.615,28,59.868,0,0,4,11,91,152,4,1,1,52
2026-02-07 19:14:36,14.0,neoburnz,50.355,12.764,4,14,1,4.549,16,50.355,0,0,9,5,71,141,6,0,0,59
2026-01-06 20:54:30,9.366,Yokipi,26.0,5.031,0,7,0,4.654,6,26,0,0,2,1,26,100,2,3,0,64
2026-01-09 00:54:36,9.366,Yokipi,35.156,5.51,0,4,2,5.311,4,35.156,0,0,1,2,45,128,3,2,0,64
2026-01-06 20:54:30,14.917,Baguett,64.0,23.471,7,7,0,3.422,36,64,0,0,11,18,64,100,2,3,0,65
2026-01-09 00:54:36,14.917,Baguett,57.265,14.806,3,7,0,4.433,22,57.265,0,0,6,10,67,117,3,2,0,65
2026-01-28 15:08:23,13.5,ruuka,54.412,12.284,0,5,0,4.635,24,54.412,0,0,7,7,74,136,5,1,0,72
2026-01-28 15:08:23,11.073,JuliAless64,37.278,7.411,2,8,0,5.032,15,37.278,0,0,3,5,63,169,2,4,0,79
2026-02-10 21:22:07,11.735,JuliAless64,46.97,9.432,0,8,0,4.871,14,46.97,0,0,3,5,62,132,5,0,0,79
2026-01-06 20:54:30,13.371,Pile,45.0,13.948,2,7,0,3.778,23,45,0,0,5,9,45,100,2,3,0,81
2026-01-23 20:50:49,13.371,Pile,57.5,12.945,1,3,0,4.652,19,57.5,0,0,5,8,69,120,3,2,0,81
2026-01-27 23:01:56,13.626,Pile,45.312,12.595,3,15,1,4.017,22,45.312,0,0,7,15,58,128,1,3,1,81
2026-01-30 05:07:19,13.371,Pile,58.209,13.288,3,13,0,4.564,24,58.209,0,0,3,19,78,134,4,2,0,81
2026-02-04 18:43:52,14.197,Pile,56.522,20.287,6,5,0,3.877,30,56.522,0,0,12,10,65,115,2,3,0,81
2026-01-03 18:46:20,17.047,Milar,61.207,18.166,4,10,0,4.127,34,61.207,0,0,5,22,71,116,1,3,1,83
2026-01-06 20:54:30,17.141,Milar,72.0,21.693,7,4,0,3.933,38,72,0,0,11,18,90,125,3,2,0,83
2026-01-09 00:54:36,17.047,Milar,72.656,21.797,7,4,0,4.237,35,72.656,0,0,9,20,93,128,3,2,0,83
2026-01-23 20:50:49,17.141,Milar,71.667,18.857,3,3,0,4.36,30,71.667,0,0,8,16,86,120,3,2,0,83
2026-01-31 18:49:14,17.047,Milar,71.642,25.004,11,8,0,3.562,51,71.642,0,0,14,28,96,134,5,1,0,83
