Diukes, old rank: 150.33, new rank: 167.379, diff: 17.049
Beokros, old rank: 106.85, new rank: 122.72, diff: 15.87
zomg, old rank: 62.12, new rank: 75.69, diff: 13.57
Janoxx, old rank: 95.2, new rank: 108.471, diff: 13.271
bamboo, old rank: 99.45, new rank: 109.92, diff: 10.47
Catge, old rank: 79.54, new rank: 85.61, diff: 6.07
Orfey, old rank: 99.86, new rank: 105.69, diff: 5.83
chiabobo, old rank: 60.0, new rank: 63.69, diff: 3.69
redeyes, old rank: 115.0, new rank: 118.64, diff: 3.64
hakohoka, old rank: 60.0, new rank: 61.85, diff: 1.85
claydoll1091, old rank: 132.16, new rank: 132.01, diff: -0.15
Mami, old rank: 135.89, new rank: 135.72, diff: -0.17
Thaleko, old rank: 143.99, new rank: 143.8, diff: -0.19
kar72, old rank: 153.24, new rank: 153.02, diff: -0.22
koroshiya, old rank: 161.44, new rank: 161.2, diff: -0.24
LordGrond, old rank: 79.97, new rank: 79.17, diff: -0.8
FoopyPoopy, old rank: 77.56, new rank: 76.228, diff: -1.332
